Median Household Income,,,,,,,,,,
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
County,Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($),Dollars ($)
Florida,"61,777.0","57,703.0","55,660.0","53,267.0","50,883.0","48,900.0","47,507.0","47,212.0",46956,"47,309.0"
Alachua,"53,314.0","50,089.0","49,689.0","49,078.0","45,478.0","44,702.0","43,073.0","42,045.0",42149,"42,818.0"
Baker,"63,860.0","62,299.0","63,275.0","61,769.0","59,506.0","53,327.0","47,121.0","46,865.0",49236,"47,149.0"
Bay,"60,473.0","56,483.0","54,316.0","51,829.0","50,283.0","48,577.0","47,368.0","47,274.0",47461,"47,364.0"
Bradford,"48,803.0","43,580.0","45,921.0","46,197.0","46,106.0","43,373.0","41,606.0","40,481.0",40259,"39,082.0"
Brevard,"63,632.0","59,359.0","56,775.0","54,359.0","51,536.0","49,914.0","48,925.0","48,483.0",48039,"49,099.0"
Broward,"64,522.0","60,922.0","59,547.0","57,333.0","54,895.0","52,954.0","51,968.0","51,574.0",51251,"51,603.0"
Calhoun,"38,098.0","38,037.0","38,568.0","38,609.0","36,237.0","37,089.0","34,510.0","34,053.0",32780,"32,480.0"
Charlotte,"57,887.0","52,724.0","51,499.0","49,225.0","46,511.0","44,865.0","44,244.0","44,265.0",44378,"44,596.0"
Citrus,"48,664.0","45,689.0","44,237.0","41,424.0","40,574.0","39,054.0","38,312.0","38,109.0",39100,"39,034.0"
Clay,"74,059.0","68,657.0","65,740.0","62,653.0","61,971.0","59,179.0","58,290.0","59,103.0",59482,"59,649.0"
Collier,"75,543.0","70,217.0","69,653.0","65,675.0","62,407.0","59,783.0","57,452.0","56,250.0",55843,"56,104.0"
Columbia,"47,750.0","44,818.0","46,494.0","44,491.0","43,504.0","42,848.0","41,926.0","39,194.0",38070,"37,534.0"
Miami-Dade,"57,815.0","53,975.0","51,347.0","48,982.0","46,338.0","44,224.0","43,129.0","43,099.0",43100,"43,464.0"
DeSoto,"39,945.0","36,360.0","35,438.0","35,057.0","35,435.0","35,513.0","35,165.0","36,114.0",34963,"35,683.0"
Dixie,"44,287.0","41,674.0","39,828.0","38,237.0","35,910.0","34,634.0","36,292.0","35,000.0",33981,"35,476.0"
Duval,"59,541.0","56,769.0","55,807.0","53,473.0","51,296.0","49,196.0","47,690.0","47,582.0",48323,"48,906.0"
