SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,0 Sandsdale Rd,Macclenny,FL,32063,1800000,,,Metes & Bounds,,3267000,,1,,,Active,,,https://www.redfin.com/FL/Macclenny/Sandsdale-Rd-32063/home/58766806,NEFLMLS,1259970,N,Y,30.306674,-82.149258
MLS Listing,,Single Family Residential,9647 Barber Loop,Macclenny,FL,32063,435000,3,2.0,Barbers Sub,2152,,1985,5,202,,Active,,,https://www.redfin.com/FL/Macclenny/9647-Barber-Loop-32063/home/72832340,NEFLMLS,1259325,N,Y,30.2699341,-82.1090028
MLS Listing,,Single Family Residential,12030 McKendree Ln,Glen St. Mary,FL,32040,530000,4,3.0,Metes & Bounds,2563,,1990,6,207,,Active,,,https://www.redfin.com/FL/Glen-St-Mary/12030-Mckendree-LN-32040/home/170003218,NEFLMLS,1259131,N,Y,30.383425,-82.243764
MLS Listing,,Mobile/Manufactured Home,10380 Bertha Mae Harris Rd,Glen St. Mary,FL,32040,310000,4,2.0,Glen St Mary,2280,,1999,7,136,,Active,,,https://www.redfin.com/FL/Glen-Saint-Mary/10380-Bertha-Mae-Harris-Rd-32040/home/62465888,NEFLMLS,1258413,N,Y,30.4155678,-82.2145414
MLS Listing,,Mobile/Manufactured Home,8539 Creekside Dr,Macclenny,FL,32063,265000,4,2.0,Metes & Bounds,2052,,2002,8,129,,Active,,,https://www.redfin.com/FL/Macclenny/8539-Creekside-Dr-32063/home/108772961,NEFLMLS,1258920,N,Y,30.2533064,-82.1441005
MLS Listing,,Single Family Residential,480 Islamorada Dr S,Macclenny,FL,32063,399000,4,2.5,Cypress Pointe,2944,,2006,12,136,31,Active,,,https://www.redfin.com/FL/Macclenny/480-Islamorada-Dr-S-32063/home/62449980,NEFLMLS,1258627,N,Y,30.2868349,-82.11047
MLS Listing,,Single Family Residential,10726 Jeremys Way,Sanderson,FL,32087,1100000,4,2.5,Metes & Bounds,4212,,2008,13,261,,Active,,,https://www.redfin.com/FL/Sanderson/10726-Jeremy-s-Way-32087/home/171728277,NEFLMLS,1258571,N,Y,30.2873,-82.250158
MLS Listing,,Mobile/Manufactured Home,14624 Wesley Griffis Ln,Sanderson,FL,32087,140000,3,2.0,Sanderson,1216,,1999,17,115,,Active,,,https://www.redfin.com/FL/Sanderson/14624-Wesley-Griffis-Ln-32087/home/58712235,NEFLMLS,1258195,N,Y,30.4301204,-82.2857287
MLS Listing,,Single Family Residential,17442 Tommy Rd S,Glen St. Mary,FL,32040,499900,4,2.5,Metes & Bounds,3173,,2003,20,158,,Active,,,https://www.redfin.com/FL/Glen-Saint-Mary/17442-S-Tommy-Rd-32040/home/162233231,NEFLMLS,1257545,N,Y,30.3826733,-82.2353883
MLS Listing,,Vacant Land,0 TRACT B Mudlake Rd,Macclenny,FL,32063,620000,,,MacClenny,,1742400,,20,,,Active,,,https://www.redfin.com/FL/Macclenny/0-TRACT-B-Mud-Lake-Rd-32063/home/188567568,NEFLMLS,1257525,N,Y,30.221716,-82.190001
MLS Listing,,Vacant Land,0 TRACT C Mudlake Rd,Macclenny,FL,32063,620000,,,MacClenny,,1742400,,20,,,Active,,,https://www.redfin.com/FL/Macclenny/0-TRACT-C-Mud-Lake-Rd-32063/home/188567566,NEFLMLS,1257526,N,Y,30.221604,-82.188413
MLS Listing,,Vacant Land,0 TRACT A Mudlake Rd,Macclenny,FL,32040,620000,,,MacClenny,,1742400,,20,,,Active,,,https://www.redfin.com/FL/Glen-St-Mary/0-TRACT-A-Mud-Lake-Rd-32040/home/188567509,NEFLMLS,1257524,N,Y,30.222012,-82.190742
