SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,17614 Front Beach Rd Unit A14,Panama City Beach,FL,32413,299000,2,1.0,Endless Summer I,620,,1985,112,482,400,Active,,,https://www.redfin.com/FL/Panama-City-Beach/17614-Front-Beach-Rd-32413/unit-A14/home/117310807,CPARMLS,745187,N,Y,30.2323322,-85.9058747
MLS Listing,,Single Family Residential,5826 Hilltop Ave,Panama City Beach,FL,32408,599000,3,3.0,Biltmore Beach,1456,5663,1994,90,411,,Active,,,https://www.redfin.com/FL/Panama-City/5826-Hilltop-Ave-32408/home/118286634,CPARMLS,746151,N,Y,30.1502186,-85.7581932
MLS Listing,,Condo/Co-op,6505 Thomas Dr Unit 311-C,Panama City Beach,FL,32408,519000,2,2.0,Summerhouse Of P.C. 3,1015,,1987,94,511,920,Active,,,https://www.redfin.com/FL/Panama-City-Beach/6505-Thomas-Dr-32408/unit-311-C/home/178396783,CPARMLS,746061,N,Y,30.152172,-85.768458
MLS Listing,,Vacant Land,12340 Highway 2301,Youngstown,FL,32466,30888,,,Timber Run Estates,,53579,,118,,,Active,,,https://www.redfin.com/FL/Youngstown/12340-Highway-2301-32466/home/117072962,CPARMLS,744884,N,Y,30.373631,-85.533312
MLS Listing,,Single Family Residential,6610 Lake Dr,Panama City,FL,32404,335000,3,2.0,Callaway,1336,16553,2020,108,251,,Active,,,https://www.redfin.com/FL/Panama-City/6610-Lake-Dr-32404/home/117493339,CPARMLS,745380,N,Y,30.1341801,-85.576942
MLS Listing,,Vacant Land,11727 Owenwood Rd,Fountain,FL,32438,129000,,,[No Recorded Subdiv],,435600,,39,,,Active,,,https://www.redfin.com/FL/Fountain/11727-Owenwood-Rd-32438/home/117883247,CPARMLS,748404,N,Y,30.509412,-85.4302429
MLS Listing,,Single Family Residential,8210 Woodleigh Rd,Youngstown,FL,32466,199900,3,2.0,Floribay East,1100,39204,1989,66,182,,Active,,,https://www.redfin.com/FL/Youngstown/8210-Woodleigh-Rd-32466/home/118060631,CPARMLS,747259,N,Y,30.2975956,-85.5343372
MLS Listing,,Condo/Co-op,17462 Front Beach 82 D Rd,Panama City Beach,FL,32413,329900,2,2.0,Horizon South XVI,960,,1993,62,344,517,Active,,,https://www.redfin.com/FL/Inlet-Beach/17462-Front-Beach-82-D-RD-32413/home/188433063,CPARMLS,747388,N,Y,30.230306,-85.900663
MLS Listing,,Single Family Residential,6813 Hwy 2311,Panama City,FL,32404,575000,3,2.0,Deerpoint Estates,2044,77798,1998,29,281,,Active,,,https://www.redfin.com/FL/Panama-City/6813-Highway-2311-32404/home/117877879,CPARMLS,748856,N,Y,30.27323,-85.587203
MLS Listing,,Single Family Residential,4922 Deerwood Ave,Youngstown,FL,32466,339000,3,2.0,Lake Forest Estates,1725,23479,2003,58,197,,Active,,,https://www.redfin.com/FL/Youngstown/4922-Deerwood-Ave-32466/home/117601652,CPARMLS,747633,N,Y,30.3152548,-85.5768274
MLS Listing,,Vacant Land,5103 Sacred Oak Dr,Panama City,FL,32404,75000,,,Bayou Oaks North,,29185,,206,,,Active,,,https://www.redfin.com/FL/Panama-City/5103-Sacred-Oak-Dr-32404/home/117382247,CPARMLS,741367,N,Y,30.2941705,-85.5734329
MLS Listing,,Single Family Residential,3123 Willie Dr,Southport,FL,32409,378000,4,2.0,Hodges Bayou Plantation 1,2306,6970,2023,27,164,58,Active,,,https://www.redfin.com/FL/Southport/3123-Willie-Dr-32409/home/183369352,CPARMLS,748976,N,Y,30.28354,-85.617039
MLS Listing,,Single Family Residential,1630 Mylisa Rd,Southport,FL,32409,114900,2,1.0,[No Recorded Subdiv],1664,130680,1980,82,69,,Active,,,https://www.redfin.com/FL/Southport/1630-Mylisa-Rd-32409/home/117231021,CPARMLS,746542,N,Y,30.3981612,-85.7142183
MLS Listing,,Vacant Land,Lot 36 A Hickory Bluff Dr,Southport,FL,32409,19500,,,No Named Subdivision,,21780,,253,,,Active,,,https://www.redfin.com/FL/Unknown/Lot-36-A-Hickory-Bluff-Dr-32409/home/184825439,CPARMLS,739280,N,Y,30.278883,-85.672577
MLS Listing,,Single Family Residential,4205 Deerpoint Lake Dr,Southport,FL,32409,599900,4,3.5,Deerpoint Lake Heights,2400,37113,1993,1,250,,Active,,,https://www.redfin.com/FL/Southport/4205-Deerpoint-Lake-Dr-32409/home/117508680,CPARMLS,749845,N,Y,30.3131037,-85.5955965
MLS Listing,,Vacant Land,7205 W Lakeland Dr,Panama City,FL,32404,395000,,,[No Recorded Subdiv],,61637,,395,,,Active,,,https://www.redfin.com/FL/Panama-City/7205-W-Lakeland-Dr-32404/home/117600505,CPARMLS,734297,N,Y,30.279969,-85.589042
MLS Listing,,Vacant Land,619 North Bay Dr,Lynn Haven,FL,32444,495000,,,[No Recorded Subdiv],,22085,,443,,,Active,,,https://www.redfin.com/FL/Lynn-Haven/619-N-Bay-Dr-32444/home/170577051,CPARMLS,732350,N,Y,30.254872,-85.617059
MLS Listing,,Single Family Residential,237 Hodges Bayou Plantation Blvd,Southport,FL,32409,369900,4,2.0,Hodges Bayou Plantation 1,2276,10890,2021,41,163,49,Active,,,https://www.redfin.com/FL/Southport/237-Hodges-Bayou-Plantation-Blvd-32409/home/170576938,CPARMLS,748290,N,Y,30.2788941,-85.6121861
MLS Listing,,Vacant Land,0 Hwy 77,Southport,FL,32409,399000,,,No Named Subdivision,,217800,,361,,,Active,,,https://www.redfin.com/FL/Southport/0-Hwy-77-32409/home/183234655,CPARMLS,735256,N,Y,30.357465,-85.667669
MLS Listing,,Vacant Land,20033 Highway 231,Fountain,FL,32438,75000,,,Tung Grove Ests 1st Sec,,61855,,454,,,Active,,,https://www.redfin.com/FL/Fountain/20033-US-231-32438/home/178401518,CPARMLS,731845,N,Y,30.512053,-85.411526
MLS Listing,,Vacant Land,3339 Nautical Dr,Southport,FL,32409,95000,,,Kirkland Manor,,27480,,105,,15,Active,,,https://www.redfin.com/FL/Southport/3339-Nautical-Dr-32409/home/118403034,CPARMLS,745372,N,Y,30.289581,-85.607954
MLS Listing,,Vacant Land,2008 Country Club Dr,Lynn Haven,FL,32444,225000,,,Country Club Harbour Estates,,17600,,70,,48,Active,,,https://www.redfin.com/FL/Lynn-Haven/2008-Country-Club-Dr-32444/home/117126547,CPARMLS,747065,N,Y,30.2542257,-85.6264053
MLS Listing,,Vacant Land,0 Dickerson Rd,Fountain,FL,32438,195500,,,No Named Subdivision,,1742400,,508,,,Active,,,https://www.redfin.com/FL/Fountain/Dickerson-Rd-32438/home/118465510,CPARMLS,729475,N,Y,30.519529,-85.39442
MLS Listing,,Vacant Land,00 Hwy 2311,Panama City,FL,32404,395000,,,Deer Point Lake,,49658,,395,,,Active,,,https://www.redfin.com/FL/Panama-City/Highway-2311-32404/home/117005245,CPARMLS,734298,N,Y,30.262168,-85.587398
MLS Listing,,Vacant Land,105 & 201 Harbour Pointe Dr,Lynn Haven,FL,32444,575000,,,Harbour Point Replat,,31799,,7,,,Active,,,https://www.redfin.com/FL/Lynn-Haven/105-Harbour-Pointe-Dr-32444/home/117130174,CPARMLS,749654,N,Y,30.2543021,-85.6476818
MLS Listing,,Vacant Land,9105 Ruff Rd,Youngstown,FL,32466,21562,,,[No Recorded Subdiv],,44997,,650,,,Active,,,https://www.redfin.com/FL/Youngstown/9105-Ruff-Rd-32466/home/178376990,CPARMLS,673732,N,Y,30.3146263,-85.5455115
MLS Listing,,Vacant Land,0000 Edwards Rd,Southport,FL,32409,1000000,,,No Named Subdivision,,1742400,,291,,,Active,,,https://www.redfin.com/FL/Southport/Edwards-Rd-32409/home/117891439,CPARMLS,737682,N,Y,30.323504,-85.600831
MLS Listing,,Vacant Land,0000 Jaycee Dr,Youngstown,FL,32466,19995,,,Airport Industrial Park,,55757,,251,,,Active,,,https://www.redfin.com/FL/Youngstown/Jaycee-Dr-32466/home/117827583,CPARMLS,739355,N,Y,30.316247,-85.552582
MLS Listing,,Vacant Land,2127 Bayberry Ln,Southport,FL,32409,55000,,,No Named Subdivision,,143748,,75,,,Active,,,https://www.redfin.com/FL/Southport/2127-Bayberry-Ln-32409/home/117694497,CPARMLS,746859,N,Y,30.390139,-85.71966
MLS Listing,,Single Family Residential,8660 Weekend Dr,Panama City Beach,FL,32413,475000,2,2.0,Latitude Margaritaville,1315,,2023,110,361,298,Active,,,https://www.redfin.com/FL/Inlet-Beach/8660-Weekend-DR-32413/home/186644284,CPARMLS,745325,N,Y,30.318062,-85.86944
MLS Listing,,Vacant Land,6312 B Hwy 77,Southport,FL,32409,139000,,,No Named Subdivision,,98010,,210,,,Active,,,https://www.redfin.com/FL/Panama-City/6312-FL-77-32409/home/178376840,CPARMLS,741151,N,Y,30.2645284,-85.6454339
MLS Listing,,Condo/Co-op,1600 Marina Bay Dr #807,Southport,FL,32409,475000,2,2.0,Marina Bay Condo,1525,,2001,29,311,522,Active,,,https://www.redfin.com/FL/Panama-City/1600-Marina-Bay-Dr-32409/unit-807/home/188448446,CPARMLS,748858,N,Y,30.2650996,-85.6470597
MLS Listing,,Vacant Land,TBD Elma Ruth Dr,Southport,FL,32409,75000,,,Carrie Bell Pt.,,19471,,84,,,Active,,,https://www.redfin.com/FL/Unknown/TBD-Elma-Ruth-Dr-32409/home/187435728,CPARMLS,746454,N,Y,30.268069,-85.648515
MLS Listing,,Single Family Residential,3260 Country Club Dr,Lynn Haven,FL,32444,720000,5,4.0,Country Club Harbour Estates,3744,13068,2002,67,192,48,Active,,,https://www.redfin.com/FL/Lynn-Haven/3260-Country-Club-Dr-32444/home/117909850,CPARMLS,747012,N,Y,30.2472414,-85.6348555
MLS Listing,,Vacant Land,8705 Dorothy Farris Rd,Southport,FL,32409,130000,,,Kingswood,,208217,,476,,,Active,,,https://www.redfin.com/FL/Southport/8705-Dorothy-Farris-Rd-32409/home/117135577,CPARMLS,730930,N,Y,30.308381,-85.62096
MLS Listing,,Vacant Land,9723 Sweetfield Ln,Southport,FL,32409,95000,,,[No Recorded Subdiv],,53579,,48,,121,Active,,,https://www.redfin.com/FL/Southport/9723-Sweetfield-Ln-32409/home/117660689,CPARMLS,748027,N,Y,30.328947,-85.59766
MLS Listing,,Single Family Residential,6839 Waverly St,Youngstown,FL,32466,310000,3,3.0,[No Recorded Subdiv],1575,19000,1977,62,197,,Active,,,https://www.redfin.com/FL/Youngstown/6839-Waverly-St-32466/home/118325174,CPARMLS,747407,N,Y,30.297075,-85.5365384
MLS Listing,,Vacant Land,000 Highway 77,Southport,FL,32409,899000,,,No Named Subdivision,,1219680,,650,,,Active,,,https://www.redfin.com/FL/Panama-City/Highway-77-32409/home/117405949,CPARMLS,717136,N,Y,30.295399,-85.647382
MLS Listing,,Vacant Land,641 Malaga Pl,Panama City Beach,FL,32413,300000,,,Sand Dollar Estates,,81022,,68,,,Active,,,https://www.redfin.com/FL/Panama-City-Beach/641-Malaga-Pl-32413/home/117317667,CPARMLS,747148,N,Y,30.247381,-85.920531
MLS Listing,,Vacant Land,9108 Ruff Dr,Youngstown,FL,32466,21562,,,[No Recorded Subdiv],,43996,,650,,,Active,,,https://www.redfin.com/FL/Youngstown/9108-Ruff-Rd-32466/home/118173840,CPARMLS,673735,N,Y,30.315058,-85.5443109
MLS Listing,,Vacant Land,11630 County Line Rd,Fountain,FL,32438,100000,,,No Named Subdivision,,435600,,291,,,Active,,,https://www.redfin.com/FL/Fountain/11630-County-Line-Rd-32438/home/118318596,CPARMLS,737704,N,Y,30.5664658,-85.4310187
MLS Listing,,Single Family Residential,5009 Highpoint Rd,Panama City,FL,32404,1104800,3,3.0,No Named Subdivision,2561,42253,2023,23,431,,Active,,,https://www.redfin.com/FL/Panama-City/5009-High-Point-Rd-32404/home/117907689,CPARMLS,749159,N,Y,30.2985849,-85.5748278
MLS Listing,,Single Family Residential,8526 Lost Shaker Way,Panama City Beach,FL,32413,832990,3,2.5,Latitude Margaritaville Phase III,2393,6926,2022,88,348,292,Active,,,https://www.redfin.com/FL/Panama-City-Beach/8526-Lost-Shaker-Way-32413/home/177654114,CPARMLS,746250,N,Y,30.308193,-85.8577339
MLS Listing,,Vacant Land,,Youngstown,FL,32466,38900,,,,,43560,,13,,,Active,,,https://www.redfin.com/FL/Youngstown/Undisclosed-address-32466/home/117804778,CPARMLS,749496,N,Y,30.316081,-85.5467542
MLS Listing,,Vacant Land,7515 Morning Marsh Trl,Panama City Beach,FL,32413,505000,,,Rivercamps On Crooked Creek Ph 2,,54450,,160,,948,Active,,,https://www.redfin.com/FL/Panama-City-Beach/7515-Morning-Marsh-Trl-32413/home/117384065,CPARMLS,743303,N,Y,30.289362,-85.818714
MLS Listing,,Mobile/Manufactured Home,9035 Keiber Pl,Youngstown,FL,32466,99000,4,2.0,No Named Subdivision,1620,44867,2006,5,61,,Active,,,https://www.redfin.com/FL/Youngstown/9035-Keiber-Pl-32466/home/117930624,CPARMLS,749711,N,Y,30.3132147,-85.5375218
MLS Listing,,Vacant Land,13100 Highway 77,Southport,FL,32409,1200000,,,No Named Subdivision,,87120,,111,,,Active,,,https://www.redfin.com/FL/Southport/13100-FL-77-32409/home/178399948,CPARMLS,745236,N,Y,30.389798,-85.67976
MLS Listing,,Vacant Land,Lot 6 A Hickory Bluff Dr,Southport,FL,32409,29500,,,Hickory Bluff,,21780,,119,,,Active,,,https://www.redfin.com/FL/Unknown/Lot-6-A-Hickory-Bluff-Dr-32409/home/186363334,CPARMLS,744861,N,Y,30.279994,-85.676815
MLS Listing,,Single Family Residential,7219 Hiawatha St,Panama City,FL,32404,335000,4,2.0,Callaway Bayou Estates Unit 3,2180,24800,1971,115,154,,Active,,,https://www.redfin.com/FL/Panama-City/7219-Hiawatha-St-32404/home/117925073,CPARMLS,745041,N,Y,30.1381669,-85.5653595
