SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,8833 NW 47th Dr,Coral Springs,FL,33067,775000,4,2.5,Pine Ridge 112-37 B,2453,11269,1986,3,316,117,Active,,,https://www.redfin.com/FL/Coral-Springs/8833-NW-47th-Dr-33067/home/41410458,Beaches MLS,F10411590,N,Y,26.2909286,-80.2444818
MLS Listing,,Condo/Co-op,4400 Hillcrest Dr Unit 210B,Hollywood,FL,33021,284000,2,2.0,HILLCREST NO 21 CONDO,1132,,1969,18,251,589,Active,,,https://www.redfin.com/FL/Hollywood/4400-Hillcrest-Dr-33021/unit-210B/home/41951447,MARMLS,A11482982,N,Y,25.9994886,-80.1870776
MLS Listing,,Condo/Co-op,450 Paradise Isle Blvd #204,Hallandale Beach,FL,33009,325000,2,2.0,ISLE OF PARADISE CO-OP,1050,,1966,21,310,527,Active,,,https://www.redfin.com/FL/Hallandale-Beach/450-Paradise-Isle-Blvd-33009/unit-204/home/41961410,MARMLS,A11481614,N,Y,25.9820847,-80.1295647
MLS Listing,,Single Family Residential,,Lauderdale Lakes,FL,33311,540000,3,2.0,,1617,9388,2004,24,334,122,Active,,,https://www.redfin.com/FL/Lauderdale-Lakes/Undisclosed-address-33311/home/42011792,Beaches MLS,F10409277,N,Y,26.1596007,-80.1932489
MLS Listing,,Single Family Residential,2301 SW 19th Ave,Fort Lauderdale,FL,33315,775000,3,2.0,Osceola Park,1572,15065,1945,29,493,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2301-SW-19th-Ave-33315/home/41809450,Beaches MLS,F10407042,N,Y,26.0936927,-80.1662972
MLS Listing,,Single Family Residential,501 NW 28th Ct,Wilton Manors,FL,33311,775000,3,2.0,Wilton Estates Resub 33-6,1083,7283,1955,31,716,,Active,,,https://www.redfin.com/FL/Wilton-Manors/501-NW-28th-Ct-33311/home/41675732,Beaches MLS,F10407047,N,Y,26.162194,-80.1499452
MLS Listing,,Single Family Residential,1011 SE 12th Ave,Deerfield Beach,FL,33441,799900,2,3.0,Cove 5th Sec,1885,9000,1962,31,424,,Active,,,https://www.redfin.com/FL/Deerfield-Beach/1011-SE-12th-Ave-33441/home/41513813,Beaches MLS,RX-10933142,N,Y,26.304422,-80.0876919
MLS Listing,,Condo/Co-op,2230 N Cypress Bend Dr #302,Pompano Beach,FL,33069,255000,2,2.0,Cypress Bend Condominium Vii,825,,1989,32,309,585,Active,,,https://www.redfin.com/FL/Pompano-Beach/2230-N-Cypress-Bend-Dr-33069/unit-302/home/41636291,Beaches MLS,RX-10932731,N,Y,26.2177404,-80.1520701
MLS Listing,,Single Family Residential,1141 NW 93rd Ter,Plantation,FL,33322,820000,4,2.0,Jacaranda Lakes Sec 2,2477,10291,1978,38,331,52,Active,,,https://www.redfin.com/FL/Plantation/1141-NW-93rd-Ter-33322/home/41616195,Beaches MLS,RX-10931274,N,Y,26.1387185,-80.2738805
MLS Listing,,Single Family Residential,3086 S Oakland Forest Dr #1205,Oakland Park,FL,33309,295000,2,2.0,Pines Of Oakland Forest,1060,,1985,38,278,470,Active,,,https://www.redfin.com/FL/Oakland-Park/3086-S-Oakland-Forest-Dr-33309/unit-1205/home/41661331,Beaches MLS,F10406963,N,Y,26.1693345,-80.1867873
MLS Listing,,Single Family Residential,411 SE 4th St,Pompano Beach,FL,33060,1799000,3,2.5,Garden Isles Sec 4,1917,8250,1960,47,938,,Active,,,https://www.redfin.com/FL/Pompano-Beach/411-SE-4th-St-33060/home/41631580,Beaches MLS,RX-10928732,N,Y,26.225381,-80.1175959
MLS Listing,,Townhouse,9931 W Atlantic Blvd,Coral Springs,FL,33071,385000,4,3.0,MAPLEWOOD TOWNHOUSES COND,1640,,1983,47,235,435,Active,,,https://www.redfin.com/FL/Coral-Springs/9931-W-Atlantic-Blvd-33071/home/188103702,MARMLS,A11429246,N,Y,26.2410678,-80.2583259
MLS Listing,,Multi-Family (2-4 Unit),5140-5142 NE 18th Ter,Fort Lauderdale,FL,33308,775000,4,2.0,Coral Ridge Add A 41-30 B,1966,,1958,48,394,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/5140-NE-18th-Ter-33308/home/41656439,Beaches MLS,F10404466,N,Y,26.190514,-80.1216326
MLS Listing,,Townhouse,5461 NW 59th Pl #5461,Tamarac,FL,33319,350000,3,2.5,WOODLAND LAKE ESTATES,1488,,1984,56,235,250,Active,,,https://www.redfin.com/FL/Tamarac/5461-NW-59th-Pl-33319/unit-5461/home/187386695,MARMLS,A11462793,N,Y,26.1983409,-80.2238028
MLS Listing,,Single Family Residential,4104 Garfield St,Hollywood,FL,33021,649000,3,2.0,HOLLYWOOD HILLS,1823,6253,1966,62,356,,Active,,,https://www.redfin.com/FL/Hollywood/4104-Garfield-St-33021/home/41915673,MARMLS,A11459459,N,Y,26.0205861,-80.1851342
MLS Listing,,Single Family Residential,209 SW 18th Ave,Fort Lauderdale,FL,33312,680000,3,2.0,Robertson Park 22-30 B,1269,9900,1955,66,536,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/209-SW-18th-Ave-33312/home/41798023,Beaches MLS,F10401975,N,Y,26.1194795,-80.1659287
MLS Listing,,Single Family Residential,5005 NW 50th St,Tamarac,FL,33319,340000,2,2.0,Mainlands Of Tamarac Lake,1104,4500,1969,72,308,42,Active,,,https://www.redfin.com/FL/Tamarac/5005-NW-50th-St-33319/home/41572782,Beaches MLS,F10401349,N,Y,26.1874099,-80.2178639
MLS Listing,,Single Family Residential,3943 Crescent Creek Dr,Coconut Creek,FL,33073,619900,3,2.5,Crescent Creek,1812,3970,1998,73,342,99,Active,,,https://www.redfin.com/FL/Coconut-Creek/3943-Crescent-Creek-Dr-33073/home/41972414,Beaches MLS,RX-10921675,N,Y,26.3211793,-80.1782431
MLS Listing,,Townhouse,7212 Woodmont Ave,Tamarac,FL,33321,319900,2,2.5,CYPRESS AT WOODMONT III,1184,,1986,80,270,195,Active,,,https://www.redfin.com/FL/Tamarac/7212-Woodmont-Ave-33321/home/41549393,MARMLS,A11452455,N,Y,26.2109014,-80.2680945
MLS Listing,,Condo/Co-op,1830 Radius Dr #812,Hollywood,FL,33020,399900,2,2.0,Radius Condo,1164,,2007,81,344,1127,Active,,,https://www.redfin.com/FL/Hollywood/1830-Radius-Dr-33020/unit-812/home/42077462,Beaches MLS,RX-10919537,N,Y,26.0132708,-80.1436673
MLS Listing,,Single Family Residential,760 Beachwood Ln,Plantation,FL,33317,674500,3,2.0,Plantation Manors-resub,1440,12527,1959,87,468,,Active,,,https://www.redfin.com/FL/Plantation/760-Beachwood-Ln-33317/home/41745564,Beaches MLS,F10397713,N,Y,26.1321274,-80.220607
