SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,11368 Baggot Ave,Englewood,FL,34224,399000,3,2.0,PORT CHARLOTTE J SEC 63,1769,10000,2006,21,226,,Active,,,https://www.redfin.com/FL/Englewood/11368-Baggot-Ave-34224/home/47474835,Stellar MLS as Distributed by MLS Grid,T3485256,N,Y,26.9309866,-82.2606001
MLS Listing,,Single Family Residential,432 Chamber St NW,Port Charlotte,FL,33948,409000,3,2.0,PORT CHARLOTTE SEC 008,1462,10000,1990,32,280,,Active,,,https://www.redfin.com/FL/Port-Charlotte/432-Chamber-St-NW-33948/home/47405502,Stellar MLS as Distributed by MLS Grid,T3482832,N,Y,26.9825328,-82.1301996
MLS Listing,,Single Family Residential,101 Beryl Dr,Rotonda West,FL,33947,770000,3,2.0,ROTONDA HEIGHTS,2171,25617,2006,55,355,19,Active,,,https://www.redfin.com/FL/Rotonda-West/101-Beryl-Dr-33947/home/47582273,Stellar MLS as Distributed by MLS Grid,T3477503,N,Y,26.8979424,-82.3037661
MLS Listing,,Single Family Residential,80 Herons Cove Dr,Punta Gorda,FL,33983,1099000,3,3.5,HERONS COVE,3303,64367,2009,62,333,125,Active,,,https://www.redfin.com/FL/Punta-Gorda/80-Herons-Cove-Dr-33983/home/47582102,Stellar MLS as Distributed by MLS Grid,T3475804,N,Y,27.0292147,-81.9993682
MLS Listing,,Single Family Residential,3756 Cobblestone Ln,Port Charlotte,FL,33980,340000,3,2.0,RIVER CLUB,1614,7916,2013,86,211,398,Active,,,https://www.redfin.com/FL/Port-Charlotte/3756-Cobblestone-Ln-33980/home/47397441,Stellar MLS as Distributed by MLS Grid,T3462976,N,Y,26.9772567,-82.050908
MLS Listing,,Single Family Residential,4074 Harbor Blvd,Port Charlotte,FL,33952,345000,3,2.0,PORT CHARLOTTE SEC 006,1344,10771,1961,117,257,,Active,,,https://www.redfin.com/FL/Port-Charlotte/4074-Harbor-Blvd-33952/home/47404228,Stellar MLS as Distributed by MLS Grid,T3454861,N,Y,26.9706922,-82.1006882
MLS Listing,,Single Family Residential,195 W Pine Valley Ln,Rotonda West,FL,33947,685000,3,3.0,ROTONDA WEST PINE VALLEY,1974,17600,2019,144,347,15,Active,,,https://www.redfin.com/FL/Rotonda-West/195-W-Pine-Valley-Ln-33947/home/47544991,Stellar MLS as Distributed by MLS Grid,T3457920,N,Y,26.8827053,-82.2713239
MLS Listing,,Vacant Land,21 Cleat Ct,Placida,FL,33946,30000,,,ROTONDA SANDS,,7405,,1,,,Active,,,https://www.redfin.com/FL/Placida/21-Cleat-Ct-33946/home/47553237,FORTMLS,223087454,N,Y,26.870239,-82.239746
MLS Listing,,Vacant Land,93 Annapolis Ln,Rotonda West,FL,33947,50000,,,ROTONDA WEST OAKLAND HILLS,,13199,,1,,15,Active,,,https://www.redfin.com/FL/Rotonda-West/93-Annapolis-Ln-33947/home/47541764,Stellar MLS as Distributed by MLS Grid,T3489627,N,Y,26.885091,-82.281178
MLS Listing,,Single Family Residential,21209 Chatburn Ave,Port Charlotte,FL,33952,549000,3,2.0,PORT CHARLOTTE SEC 027,2779,15016,1998,1,198,,Active,,,https://www.redfin.com/FL/Port-Charlotte/21209-Chatburn-Ave-33952/home/47431979,Stellar MLS as Distributed by MLS Grid,C7484531,N,Y,27.0131853,-82.1004117
MLS Listing,,Single Family Residential,10440 Yacht Basin Dr,Placida,FL,33946,945000,3,3.0,HIDDEN COVE ESTATES,2287,115088,1994,1,413,54,Active,,,https://www.redfin.com/FL/Placida/10440-Yacht-Basin-Dr-33946/home/47513592,Stellar MLS as Distributed by MLS Grid,D6133659,N,Y,26.8773718,-82.3227423
MLS Listing,,Single Family Residential,208 Annapolis Ln,Rotonda West,FL,33947,489900,3,2.0,ROTONDA WEST OAKLAND HILLS,1720,10000,1986,1,285,15,Active,,,https://www.redfin.com/FL/Rotonda-West/208-Annapolis-Ln-33947/home/47542100,Stellar MLS as Distributed by MLS Grid,D6133576,N,Y,26.8912328,-82.2851242
MLS Listing,,Single Family Residential,574 Orange Dr NW,Port Charlotte,FL,33952,399000,3,2.0,PORT CRARLUTTE SEC 18,1830,38543,1986,1,218,,Active,,,https://www.redfin.com/FL/Port-Charlotte/574-Orange-Dr-NW-33952/home/47419096,Stellar MLS as Distributed by MLS Grid,D6133639,N,Y,26.9887056,-82.1180393
MLS Listing,,Single Family Residential,1000 Kings Hwy #20,Port Charlotte,FL,33980,225000,2,2.0,PORT CHARLOTTE VILLAGE,1188,2144,2005,1,189,290,Active,,,https://www.redfin.com/FL/Port-Charlotte/1000-Kings-Hwy-33980/unit-20/home/47575742,Stellar MLS as Distributed by MLS Grid,C7483965,N,Y,27.0123426,-82.0532536
MLS Listing,,Vacant Land,28005 & 28009 Comistas Dr,Punta Gorda,FL,33955,16500,,,TROP G A,,10800,,1,,,Active,,,https://www.redfin.com/FL/Punta-Gorda/28005-Comistas-Dr-33955/home/47561411,Stellar MLS as Distributed by MLS Grid,C7484574,N,Y,26.845793,-81.989245
MLS Listing,,Vacant Land,10385 Redondo St,Port Charlotte,FL,33981,164900,,,PORT CHARLOTTE SEC 085,,9999,,1,,10,Active,,,https://www.redfin.com/FL/Port-Charlotte/10385-Redondo-St-33981/home/47490493,Stellar MLS as Distributed by MLS Grid,D6133656,N,Y,26.875765,-82.233027
MLS Listing,,Condo/Co-op,2002 Bal Harbor Blvd #1921,Punta Gorda,FL,33950,439900,3,2.0,CLIPPER COVE BILLAGE BLDG 19,1517,,2002,1,290,500,Active,,,https://www.redfin.com/FL/Punta-Gorda/2002-Bal-Harbor-Blvd-33950/unit-1921/home/47390578,Stellar MLS as Distributed by MLS Grid,C7484450,N,Y,26.9073983,-82.071348
MLS Listing,,Single Family Residential,18565 Robinson Ave,Port Charlotte,FL,33948,329900,2,2.0,PORT CHARLOTTE SEC 037,1120,9999,1979,1,295,,Active,,,https://www.redfin.com/FL/Port-Charlotte/18565-Robinson-Ave-33948/home/47442280,Stellar MLS as Distributed by MLS Grid,C7484432,N,Y,26.9727181,-82.138532
MLS Listing,,Condo/Co-op,25225 Rampart Blvd #1601,Punta Gorda,FL,33983,225000,2,2.0,LAKESHORE OF CHARLOTTE COUNTY,886,,1984,1,254,250,Active,,,https://www.redfin.com/FL/Punta-Gorda/25225-Rampart-Blvd-33983/unit-1601/home/47574474,Stellar MLS as Distributed by MLS Grid,C7484216,N,Y,27.001889,-82.034209
MLS Listing,,Vacant Land,13095 Via Flavia,Placida,FL,33946,228000,,,PORTOFINO,,14850,,2,,561,Active,,,https://www.redfin.com/FL/Placida/13095-Via-Flavia-33946/home/63743888,Stellar MLS as Distributed by MLS Grid,D6133617,N,Y,26.839938,-82.273453
MLS Listing,,Single Family Residential,1328 W Corktree Cir,Port Charlotte,FL,33952,275000,2,1.0,PORT CHARLOTTE SEC 96 01,957,5059,1985,2,287,65,Active,,,https://www.redfin.com/FL/Port-Charlotte/1328-W-Corktree-Cir-33952/home/47498456,Stellar MLS as Distributed by MLS Grid,C7484548,N,Y,27.012637,-82.1244116
MLS Listing,,Single Family Residential,207 Boundary Blvd #113,Rotonda West,FL,33947,263500,2,2.0,SUNSET VILLAGE AT ROTONDA WEST,1087,1306,2003,2,242,500,Active,,,https://www.redfin.com/FL/Rotonda-West/207-Boundary-Blvd-33947/unit-113/home/47390920,Stellar MLS as Distributed by MLS Grid,T3485396,N,Y,26.8935707,-82.2977689
MLS Listing,,Vacant Land,17153 Wintergarden Ave,Port Charlotte,FL,33948,22000,,,PORT CHARLOTTE SEC 031,,10011,,2,,,Active,,,https://www.redfin.com/FL/Port-Charlotte/17153-Wintergarden-Ave-33948/home/47435963,Stellar MLS as Distributed by MLS Grid,D6133653,N,Y,26.988407,-82.16768
MLS Listing,,Single Family Residential,6167 Redwing Ave,Englewood,FL,34224,174500,2,2.0,LEMON BAY ISLES PH 02,965,7507,1983,2,181,4,Active,,,https://www.redfin.com/FL/Englewood/6167-Redwing-Ave-34224/home/47514936,Stellar MLS as Distributed by MLS Grid,A4591315,N,Y,26.941261,-82.3106482
