SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,6344 E Slate St,Inverness,FL,34452,189000,2,1.0,INVERNESS HIGHLANDS WEST,924,9600,1975,39,205,,Active,,,https://www.redfin.com/FL/Inverness/6344-E-Slate-St-34452/home/129626175,Stellar MLS as Distributed by MLS Grid,O6151767,N,Y,28.7905116,-82.3293669
MLS Listing,,Vacant Land,2702 W Forbes Pl,Citrus Springs,FL,34434,20000,,,,,12632,,650,,,Active,,,https://www.redfin.com/FL/Citrus-Springs/2702-W-Forbes-Pl-34434/home/129474377,CPARMLS,708887,N,Y,28.988076,-82.479691
MLS Listing,,Vacant Land,2905 W Gardenia Dr,Citrus Springs,FL,34434,20000,,,,,12632,,650,,,Active,,,https://www.redfin.com/FL/Citrus-Springs/2905-W-Gardenia-Dr-34434/home/128053579,CPARMLS,708895,N,Y,28.994581,-82.483455
MLS Listing,,Vacant Land,9634 W Cleveland Ln,Crystal River,FL,34428,8000,,,Holiday Heights,,9604,,1,,,Active,,,https://www.redfin.com/FL/Crystal-River/9634-W-Cleveland-Ln-34428/home/129446484,RACC,829164,N,Y,28.983705,-82.595823
MLS Listing,,Condo/Co-op,2030 Forest Dr,Inverness,FL,34453,185000,2,2.0,Regency Park,1040,2178,1991,1,178,435,Active,,,https://www.redfin.com/FL/Inverness/2030-Forest-Dr-34453/home/129101811,RACC,829106,N,Y,28.8442229,-82.3584246
MLS Listing,,Vacant Land,855 S Fairlane Ter,Lecanto,FL,34461,135000,,,Not on List,,219184,,1,,,Active,,,https://www.redfin.com/FL/Lecanto/855-S-Fairlane-Ter-34461/home/128747130,RACC,829145,N,Y,28.850341,-82.509797
MLS Listing,,Single Family Residential,8428 W Periwinkle Ln,Homosassa,FL,34446,330000,3,2.0,Spring Gardens,1904,12150,2005,1,173,,Active,,,https://www.redfin.com/FL/Homosassa/8428-W-Periwinkle-Ln-34446/home/129620965,RACC,829128,N,Y,28.7990158,-82.5735029
MLS Listing,,Single Family Residential,1882 E Monopoly Loop,Inverness,FL,34453,430000,3,2.5,CAMBRIDGE GREENS CITRUS HILLS,1841,22575,1993,1,234,23,Active,,,https://www.redfin.com/FL/Inverness/1882-E-Monopoly-Loop-34453/home/128511427,Stellar MLS as Distributed by MLS Grid,G5076034,N,Y,28.8808845,-82.4030848
MLS Listing,,Vacant Land,8855 E Round Lake Loop,Floral City,FL,34436,50000,,,Round Lake,,32233,,1,,,Active,,,https://www.redfin.com/FL/Floral-City/8855-E-Round-Ct-34436/home/128710619,RACC,829133,N,Y,28.734083,-82.30218
MLS Listing,,Single Family Residential,6743 E Kingsbury Ln,Inverness,FL,34452,229000,2,2.0,Royal Oaks,1522,7777,1994,1,150,257,Active,,,https://www.redfin.com/FL/Inverness/6743-E-Kingsbury-Ln-34452/home/129376147,RACC,829017,N,Y,28.8117731,-82.322603
MLS Listing,,Single Family Residential,1769 N Prospect Ave,Lecanto,FL,34461,429900,4,2.0,Timberlane Est.,2233,44371,1990,1,193,,Active,,,https://www.redfin.com/FL/Lecanto/1769-N-Prospect-Ave-34461/home/129417023,RACC,827952,N,Y,28.8892646,-82.4681256
MLS Listing,,Single Family Residential,20 Deerwood Dr,Homosassa,FL,34446,373999,3,2.0,SOUTHERN WOODS AT SUGARMILL WOODS,2157,9425,1996,2,173,215,Active,,,https://www.redfin.com/FL/Homosassa/20-Deerwood-Dr-34446/home/129220712,Stellar MLS as Distributed by MLS Grid,OM668295,N,Y,28.7246707,-82.5102753
MLS Listing,,Single Family Residential,2620 N Comanche Pt,Crystal River,FL,34429,470000,2,1.0,MONTEZUMA WATERS MOBILE HOME ESTATES ADD 01,1056,5368,1977,2,445,,Active,,,https://www.redfin.com/FL/Crystal-River/2620-N-Comanche-Pt-34429/home/129598835,Stellar MLS as Distributed by MLS Grid,W7860113,N,Y,28.8996548,-82.6202545
MLS Listing,,Vacant Land,11067 N Glenda Ter,Citrus Springs,FL,34434,14995,,,Citrus Springs,,10000,,2,,,Active,,,https://www.redfin.com/FL/Citrus-Springs/11067-N-Glenda-Ter-34434/home/129281919,RACC,828389,N,Y,29.024743,-82.452072
MLS Listing,,Vacant Land,11035 N Glenda Ter,Citrus Springs,FL,34434,14995,,,Citrus Springs,,10000,,2,,,Active,,,https://www.redfin.com/FL/Citrus-Springs/11035-N-Glenda-Ter-34434/home/129128773,RACC,828386,N,Y,29.024256,-82.452176
