SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,0 Branan Field Rd,Middleburg,FL,32068,1149000,,,Middleburg,,1508918,,1,,,Active,,,https://www.redfin.com/FL/Middleburg/Branan-Field-Rd-32068/home/162339042,NEFLMLS,1154339,N,Y,30.128416,-81.832379
MLS Listing,,Vacant Land,0 Bills Way,Keystone Heights,FL,32656,37500,,,,,90605,,124,,,Active,,,https://www.redfin.com/FL/Keystone-Heights/Bills-Way-32656/home/108746555,CPARMLS,744666,N,Y,29.785685,-81.932519
MLS Listing,,Single Family Residential,6960 Immokalee Rd,Keystone Heights,FL,32656,295000,3,2.0,Metes & Bounds,1008,,1977,1,293,,Active,,,https://www.redfin.com/FL/Keystone-Heights/6960-Immokalee-Rd-32656/home/58727481,NEFLMLS,1259415,N,Y,29.8031487,-82.0354137
MLS Listing,,Single Family Residential,408 Forest Meadow Ln,Orange Park,FL,32065,389000,3,2.5,Forest Hammock,2220,,2014,1,175,40,Active,,,https://www.redfin.com/FL/Orange-Park/408-Forest-Meadow-Ln-32065/home/58719168,NEFLMLS,1259871,N,Y,30.1807801,-81.8521944
MLS Listing,,Condo/Co-op,150 Governor St #113,Green Cove Springs,FL,32043,207500,1,1.5,Governors Landing,854,,1985,1,243,385,Active,,,https://www.redfin.com/FL/Green-Cove-Springs/150-Governor-St-32043/unit-113/home/108736000,NEFLMLS,1259982,N,Y,30.006255,-81.690059
MLS Listing,,Mobile/Manufactured Home,4961 Windmill Ct,Middleburg,FL,32068,100000,3,2.0,Middleburg,992,,1989,1,101,,Active,,,https://www.redfin.com/FL/Middleburg/4961-Windmill-Ct-32068/home/108731685,NEFLMLS,1259969,N,Y,30.0939095,-81.9096021
MLS Listing,,Single Family Residential,2362 Gabriel Dr,Orange Park,FL,32073,365000,3,2.0,Montclair,1566,,1974,1,233,,Active,,,https://www.redfin.com/FL/Orange-Park/2362-Gabriel-Dr-32073/home/108759451,NEFLMLS,1258305,N,Y,30.1600098,-81.7231215
MLS Listing,,Mobile/Manufactured Home,5910 Villanueva Dr,Keystone Heights,FL,32656,79900,3,2.0,Plantation Farms,1680,,1983,2,48,,Active,,,https://www.redfin.com/FL/Keystone-Heights/5910-Villanueva-Dr-32656/home/72718296,NEFLMLS,1259938,N,Y,29.8602401,-81.8969673
MLS Listing,,Single Family Residential,1607 Harring St,Green Cove Springs,FL,32043,240000,3,1.5,Shands Platt,1025,,1976,2,234,,Active,,,https://www.redfin.com/FL/Green-Cove-Springs/1607-Harring-St-32043/home/108759138,NEFLMLS,1259903,N,Y,29.9928459,-81.6993892
MLS Listing,,Single Family Residential,404 Virgo Ln,Orange Park,FL,32073,255000,3,2.0,Meadowbrook,1246,,1973,2,205,,Active,,,https://www.redfin.com/FL/Orange-Park/404-Virgo-Ln-32073/home/72713774,NEFLMLS,1259194,N,Y,30.1763966,-81.7571458
MLS Listing,,Single Family Residential,1384 Fairway Village Dr,Fleming Island,FL,32003,429000,3,2.0,Fleming Island Pl,1650,,2001,2,260,105,Active,,,https://www.redfin.com/FL/Fleming-Island/1384-Fairway-Village-Dr-32003/home/108729078,NEFLMLS,1259885,N,Y,30.0757903,-81.7153855
MLS Listing,,Single Family Residential,1820 Lakedge Dr,Middleburg,FL,32068,434900,4,2.5,South Lake,2196,,1988,2,198,,Active,,,https://www.redfin.com/FL/Middleburg/1820-Lakedge-Dr-32068/home/62437746,NEFLMLS,1259875,N,Y,30.1022496,-81.7654785
MLS Listing,,Single Family Residential,5975 County Road 352,Keystone Heights,FL,32656,699990,4,3.0,**verifying Subd**,3600,,1960,2,194,,Active,,,https://www.redfin.com/FL/Keystone-Heights/5975-County-Road-352-32656/home/108731835,NEFLMLS,1259869,N,Y,29.813155,-81.979121
MLS Listing,,Single Family Residential,4752 Acacia St,Middleburg,FL,32068,315000,3,2.0,Middleburg,1269,,1998,2,248,,Active,,,https://www.redfin.com/FL/Middleburg/4752-Acacia-St-32068/home/62450401,NEFLMLS,1258270,N,Y,30.0540828,-81.9132695
MLS Listing,,Single Family Residential,2823 Southampton Dr,Middleburg,FL,32068,298900,3,2.0,Southampton,1518,,2001,3,197,18,Active,,,https://www.redfin.com/FL/Middleburg/2823-Southampton-Dr-32068/home/58716146,NEFLMLS,1259848,N,Y,30.1054383,-81.7773997
MLS Listing,,Single Family Residential,3330 Byron Rd,Green Cove Springs,FL,32043,300000,3,3.0,Lake Asbury,1980,,1983,3,152,,Active,,,https://www.redfin.com/FL/Green-Cove-Springs/3330-Byron-Rd-32043/home/72715139,NEFLMLS,1259839,N,Y,30.0718006,-81.8181451
MLS Listing,,Single Family Residential,809 Quiet Stone Ln,Orange Park,FL,32065,371000,4,2.5,Oakleaf Plantation,2466,,2010,3,150,10,Active,,,https://www.redfin.com/FL/Orange-Park/809-Quiet-Stone-Ln-32065/home/62425023,NEFLMLS,1259833,N,Y,30.1594338,-81.8437683
MLS Listing,,Vacant Land,1308 East St,Green Cove Springs,FL,32043,115000,,,Shands Platt,,37897,,3,,,Active,,,https://www.redfin.com/FL/Green-Cove-Springs/1308-East-St-32043/home/62480977,NEFLMLS,1259817,N,Y,29.99611,-81.695157
