SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,788 Park Shore Dr Unit E23,Naples,FL,34103,500000,2,2.0,HIDDEN LAKE VILLAS,1015,,1973,17,493,823,Active,,,https://www.redfin.com/FL/Naples/788-Park-Shore-Dr-34103/unit-E23/home/67446041,FORTMLS,223083399,N,Y,26.1906854,-81.8023669
MLS Listing,,Condo/Co-op,5287 Treetops Dr Unit V-105,Naples,FL,34113,220000,2,2.0,WOODGATE AT NAPLES,878,,1987,28,251,398,Active,,,https://www.redfin.com/FL/Naples/5287-Treetops-Dr-34113/unit-V-105/home/67536890,FORTMLS,223076104,N,Y,26.0786231,-81.727017
MLS Listing,,Single Family Residential,4831 Frattina St,Ave Maria,FL,34142,775000,5,5.0,MAPLE RIDGE,3866,11325,2021,63,200,211,Active,,,https://www.redfin.com/FL/Ave-Maria/4831-Frattina-St-34142/home/177272169,FORTMLS,223071162,N,Y,26.3340504,-81.4194206
MLS Listing,,Single Family Residential,8233 Laurel Lakes Blvd,Naples,FL,34119,864900,4,2.5,LAUREL LAKES,2642,6534,2002,82,327,168,Active,,,https://www.redfin.com/FL/Naples/8233-Laurel-Lakes-Blvd-34119/home/67576420,FORTMLS,223062821,N,Y,26.2701947,-81.6997764
MLS Listing,,Townhouse,404 Bristle Cone Ln,Naples,FL,34113,499000,3,2.5,NA19 - Lely Area,1729,,1975,1,289,698,Active,,,https://www.redfin.com/FL/Naples/404-Bristle-Cone-Ln-34113/home/184109698,NAPLESMLS,223008881,N,Y,26.1005164,-81.7318855
MLS Listing,,Single Family Residential,823 108th Ave N,Naples,FL,34108,850000,3,2.0,NA03 - Naples Park Area,1843,6534,1989,1,461,,Active,,,https://www.redfin.com/FL/Naples/823-108th-Ave-N-34108/home/67604401,BEARMLS,223089353,N,Y,26.2699285,-81.8044435
MLS Listing,,Condo/Co-op,201 Arbor Lake Dr Unit 2-402,Naples,FL,34110,245000,1,1.0,NA01 - N/O 111th Ave,1004,,1991,1,244,2555,Active,,,https://www.redfin.com/FL/Naples/201-Arbor-Lake-Dr-34110/unit-2-402/home/67453695,NAPLESMLS,223072021,N,Y,26.3015639,-81.8219132
MLS Listing,,Single Family Residential,5839 Bromelia Ct,Naples,FL,34119,2575000,4,4.5,NA14 - N/O Pine Ridge Rd and Vin,3697,13939,2006,1,697,425,Active,,,https://www.redfin.com/FL/Naples/5839-Bromelia-Ct-34119/home/67405441,NAPLESMLS,223089389,N,Y,26.2163671,-81.7207058
MLS Listing,,Single Family Residential,10333 Heritage Bay Blvd #1736,Naples,FL,34120,442000,2,2.0,NA31 - S/O Immokalee Rd,1232,,2010,1,359,922,Active,December-10-2023 01:00 PM,December-10-2023 03:00 PM,https://www.redfin.com/FL/Naples/10333-Heritage-Bay-Blvd-34120/unit-1736/home/67434924,BEARMLS,223089066,N,Y,26.2971425,-81.6620258
MLS Listing,,Condo/Co-op,1672 Spoonbill Ln Unit 1672A,Naples,FL,34105,365000,2,2.0,NA16 - S/O Pine Ridge Rd,1238,,1983,1,295,563,Active,,,https://www.redfin.com/FL/Naples/1672-Spoonbill-Ln-34105/unit-1672a/home/184878215,NAPLESMLS,223088867,N,Y,26.2078473,-81.7708126
MLS Listing,,Condo/Co-op,10220 Heritage Bay Blvd E #321,Naples,FL,34120,649500,2,2.0,NA21 - N/O Immokalee Rd E/O 75,1661,,2006,1,391,1013,Active,,,https://www.redfin.com/FL/Naples/10220-Heritage-Bay-Blvd-34120/unit-321/home/67425146,NAPLESMLS,223083847,N,Y,26.2873226,-81.6607896
MLS Listing,,Condo/Co-op,275 Indies Way #805,Naples,FL,34110,2295000,3,3.0,NA01 - N/O 111th Ave,2798,,2006,1,820,2318,Active,,,https://www.redfin.com/FL/Naples/275-Indies-Way-34110/unit-805/home/67420144,NAPLESMLS,223078802,N,Y,26.2776185,-81.8192567
MLS Listing,,Condo/Co-op,2335 Sawyers Hill Rd #501,Naples,FL,34120,519900,2,2.0,NA31 - S/O Immokalee Rd,1339,,2019,1,388,533,Active,December-9-2023 12:00 PM,December-9-2023 03:00 PM,https://www.redfin.com/FL/Naples/2335-Sawyers-Hill-Rd-34120/unit-501/home/169997529,NAPLESMLS,223088749,N,Y,26.2724968,-81.67443
MLS Listing,,Single Family Residential,4594 Ashton Ct,Naples,FL,34112,1099000,3,2.0,NA18 - N/O Rattlesnake Hammock,2105,10454,1988,1,522,557,Active,,,https://www.redfin.com/FL/Naples/4594-Ashton-Ct-34112/home/67591908,NAPLESMLS,223078794,N,Y,26.1127947,-81.721454
MLS Listing,,Condo/Co-op,1666 Osprey Ave NE #209,Naples,FL,34102,950000,3,2.0,NA08 - Royal Harbor-Windstar Are,1530,,1975,1,621,990,Active,,,https://www.redfin.com/FL/Naples/1666-Osprey-Ave-34102/unit-209/home/67545678,NAPLESMLS,223087855,N,Y,26.1362163,-81.7837202
