SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,11330 SW Essex Dr,Lake Suzy,FL,34269,350000,3,2.0,KINGSWAY GOLF VILLAS,2048,5793,1986,1,171,240,Active,,,https://www.redfin.com/FL/Lake-Suzy/11330-SW-Essex-Dr-34269/home/46317132,Stellar MLS as Distributed by MLS Grid,C7484508,N,Y,27.0351798,-82.0465746
MLS Listing,,Single Family Residential,12857 SW Pembroke Cir N,Lake Suzy,FL,34269,698000,3,3.0,PEMBROKE SUB,2191,11238,2017,2,319,15,Active,,,https://www.redfin.com/FL/Lake-Suzy/12857-SW-Pembroke-Cir-N-34269/home/46316784,Stellar MLS as Distributed by MLS Grid,C7484170,N,Y,27.035398,-82.052262
MLS Listing,,Single Family Residential,12951 SW Kingsway Cir,Lake Suzy,FL,34269,625000,3,2.5,KINGS XING,2359,13852,2002,2,265,,Active,,,https://www.redfin.com/FL/Lake-Suzy/12951-SW-Kingsway-Cir-34269/home/46317255,Stellar MLS as Distributed by MLS Grid,C7484269,N,Y,27.0345882,-82.0490139
MLS Listing,,Vacant Land,NE Hwy 70,Arcadia,FL,34266,90000,,,ARCADIA,,435600,,3,,,Active,,,https://www.redfin.com/FL/Arcadia/Unknown-Unknown/home/188798192,Stellar MLS as Distributed by MLS Grid,A4591194,N,Y,27.24782,-81.65897
MLS Listing,,Single Family Residential,1713 SE Pear Dr,Arcadia,FL,34266,245000,3,2.0,FOREST PINE ESTATES,1512,21780,2005,3,162,,Active,,,https://www.redfin.com/FL/Arcadia/1713-SE-Pear-Dr-34266/home/46309396,Stellar MLS as Distributed by MLS Grid,C7484497,N,Y,27.1959878,-81.8481562
MLS Listing,,Single Family Residential,11231 SW Thornton Ave,Arcadia,FL,34269,585000,3,2.5,SUNNYBREEZE OAKS SUB,2683,43651,1997,4,218,,Active,,,https://www.redfin.com/FL/Arcadia/11231-SW-Thornton-Ave-34269/home/46314548,Stellar MLS as Distributed by MLS Grid,N6129509,N,Y,27.0611137,-81.9709961
MLS Listing,,Single Family Residential,9656 SW Marina Dr,Arcadia,FL,34269,450000,2,2.0,DESOTO PEACE RIVER HEIGHTS,1710,8276,1973,5,263,,Active,,,https://www.redfin.com/FL/Arcadia/9656-SW-Marina-Dr-34269/home/46312895,Stellar MLS as Distributed by MLS Grid,C7484431,N,Y,27.0630125,-82.0022858
MLS Listing,,Single Family Residential,8929 SW Liverpool Rd,Arcadia,FL,34269,749000,3,2.0,ARCADIA,2923,170755,1991,5,256,,Active,,,https://www.redfin.com/FL/Arcadia/8929-SW-Liverpool-Rd-34269/home/46318253,Stellar MLS as Distributed by MLS Grid,C7484204,N,Y,27.0449468,-81.9805399
MLS Listing,,Vacant Land,NE Hwy 70,Arcadia,FL,34266,55000,,,ARCADIA,,217800,,5,,,Active,,,https://www.redfin.com/FL/Arcadia/Unknown-Unknown/home/188754824,Stellar MLS as Distributed by MLS Grid,A4590920,N,Y,27.24632,-81.66077
