SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,1811 NE 364th Ave,Old Town,FL,32680,84200,,,Palm Forest,,245678,,1,,,Active,,,https://www.redfin.com/FL/Old-Town/1811-NE-364th-Ave-32680/home/188811994,DGLMLS,789648,N,Y,29.6690973,-83.0108123
MLS Listing,,Vacant Land,472 NE 389th Ave,Old Town,FL,32680,27900,,,Glenwood Estates,,43560,,4,,,Active,,,https://www.redfin.com/FL/Old-Town/472-NE-389th-Ave-32680/home/188775514,DGLMLS,789630,N,Y,29.6867184,-83.0203316
MLS Listing,,Single Family Residential,577 NE 212th Ave,Old Town,FL,32680,215000,3,2.0,FLORIDA OAK FOREST,1440,217800,1983,4,149,,Active,,,https://www.redfin.com/FL/Old-Town/577-NE-212th-Ave-32680/home/132591270,Stellar MLS as Distributed by MLS Grid,GC517845,N,Y,29.641758,-82.987717
MLS Listing,,Single Family Residential,5048 NE Hwy 353,Old Town,FL,32680,189000,2,1.0,Not in Subdivision,1232,83635,1960,4,153,,Active,,,https://www.redfin.com/FL/Old-Town/5048-NE-Highway-353-32680/home/132979304,DGLMLS,789628,N,Y,29.762514,-83.027136
MLS Listing,,Vacant Land,LOT 46 NE 497th St,Old Town,FL,32680,24900,,,Indian Trails,,108900,,6,,,Active,,,https://www.redfin.com/FL/Old-Town/46-NE-497th-St-32680/home/188731261,DGLMLS,789615,N,Y,29.6601365,-83.0383956
MLS Listing,,Single Family Residential,230 SE 139th Ave,Old Town,FL,32680,795000,3,3.0,SUW RIVER WONDERLAND,2220,8790,2022,6,358,,Active,,,https://www.redfin.com/FL/Old-Town/230-SE-139th-Ave-32680/home/133298821,Stellar MLS as Distributed by MLS Grid,GC517695,N,Y,29.5868894,-82.9419422
MLS Listing,,Single Family Residential,105 SE 34th Ave,Cross City,FL,32628,209000,4,2.0,Gauldens Subdivision,2240,13504,1970,6,93,,Active,,,https://www.redfin.com/FL/Cross-City/105-SE-34th-Ave-32628/home/132328771,DGLMLS,789613,N,Y,29.6279535,-83.1242491
MLS Listing,,Vacant Land,829th St,Old Town,FL,32680,21900,,,Suwannee River Hillcrest,,38768,,7,,,Active,,,https://www.redfin.com/FL/Old-Town/NE-829th-St-32680/home/132526783,DGLMLS,789609,N,Y,29.699008,-82.961408
MLS Listing,,Single Family Residential,139 NE 429th Ave,Old Town,FL,32680,299000,3,2.0,Forest Park Hills,1400,41382,2023,8,214,,Active,,,https://www.redfin.com/FL/Old-Town/139-NE-429th-Ave-32680/home/188699646,DGLMLS,789606,N,Y,29.6876947,-82.9695123
MLS Listing,,Vacant Land,0 NE Rivers Bend Lot 2d Xing Lot 2D,Steinhatchee,FL,32359,69000,,,Rivers Bend,,6534,,9,,,Active,,,https://www.redfin.com/FL/Unknown/River-s-Bend-Way-NE-32359/unit-2D/home/183857354,CATRS,365930,N,Y,29.69183157,-83.35549381
MLS Listing,,Vacant Land,435 NE 937th Ave,Old Town,FL,32680,64999,,,BLUFFS OF SUWANNEE,,69793,,9,,,Active,,,https://www.redfin.com/FL/Old-Town/435-NE-937th-AVE-32680/home/188697962,Stellar MLS as Distributed by MLS Grid,A4590240,N,Y,29.80630607,-82.93686474
MLS Listing,,Single Family Residential,428 SW 911th St,Steinhatchee,FL,32359,199000,1,1.0,Stewart City Subdivision,800,11326,1974,12,249,,Active,,,https://www.redfin.com/FL/Steinhatchee/428-SW-911th-St-32359/home/188682924,DGLMLS,789602,N,Y,29.6625223,-83.3894762
MLS Listing,,Vacant Land,Tbd NE 461st Ave,Old Town,FL,32680,19900,,,Skyline Heights,,,,12,,,Active,,,https://www.redfin.com/FL/Unknown/TBD-NE-461st-Ave-32680/home/187853215,Beaches MLS,RX-10938009,N,Y,29.695496,-83.021258
MLS Listing,,Vacant Land,47 SE 892nd Ave,Suwannee,FL,32692,175000,,,Suwannee Shores Addition 3,,5837,,12,,,Active,,,https://www.redfin.com/FL/Suwannee/47-SE-892nd-AVE-32692/home/188674322,DGLMLS,789599,N,Y,29.331073,-83.14076
MLS Listing,,Vacant Land,828 NE 312th Ave,Old Town,FL,32680,129900,,,Suwannee Oak Forest,,103673,,12,,,Active,,,https://www.redfin.com/FL/Old-Town/828-NE-312th-Ave-32680/home/133727226,DGLMLS,789598,N,Y,29.658947,-82.9849104
MLS Listing,,Single Family Residential,138 SE 692nd St,Old Town,FL,32680,299900,3,2.0,FOX WOOD,1440,133293,1989,13,208,,Active,,,https://www.redfin.com/FL/Old-Town/138-Se-692nd-St-32680/home/132306424,Stellar MLS as Distributed by MLS Grid,OM668382,N,Y,29.5893004,-83.0190803
MLS Listing,,Single Family Residential,1728 NE Doyle St,Steinhatchee,FL,32359,450000,1,1.0,Steinhatchee Subdivision,682,31799,2001,13,660,,Active,,,https://www.redfin.com/FL/Steinhatchee/1728-Doyle-St-NE-32359/home/142588369,DGLMLS,789586,N,Y,29.6825105,-83.3602598
MLS Listing,,Single Family Residential,1028 NE 51 Hwy,Steinhatchee,FL,,795000,5,4.0,Riverside,3768,84506,1980,14,211,,Active,,,https://www.redfin.com/FL/Unknown/Unknown-Unknown/home/188644215,CATRS,365856,N,Y,29.68624743,-83.35831643
MLS Listing,,Single Family Residential,99 SE 245th St,Suwannee,FL,32692,550000,4,3.0,Suwannee Shores,3680,4966,1976,14,149,,Active,,,https://www.redfin.com/FL/Suwannee/99-SE-245th-ST-32692/home/188642449,DGLMLS,789585,N,Y,29.337324,-83.13642
MLS Listing,,Mobile/Manufactured Home,129 SE 867th Ave,Suwannee,FL,32692,150000,2,2.0,Suwannee Heights,980,11674,1983,14,153,,Active,,,https://www.redfin.com/FL/Suwannee/129-SE-867th-AVE-32692/home/188642390,DGLMLS,789584,N,Y,29.340209,-83.137343
MLS Listing,,Mobile/Manufactured Home,135 SE 340th St,Old Town,FL,32680,250000,4,4.0,Suwannee Palms,1308,39988,2005,14,191,,Active,,,https://www.redfin.com/FL/Suwannee/135-SE-340th-ST-32692/home/184444814,DGLMLS,789582,N,Y,29.342973,-83.112456
MLS Listing,,Single Family Residential,106 NE 429th Ave,Old Town,FL,32680,189000,2,1.0,Forest Park Hills,972,41382,1988,14,194,,Active,,,https://www.redfin.com/FL/Old-Town/106-NE-429th-Ave-32680/home/133822100,DGLMLS,789580,N,Y,29.6872075,-82.9700868
MLS Listing,,Vacant Land,217th St,Suwannee,FL,32692,96000,,,Demory Hill,,4835,,14,,,Active,,,https://www.redfin.com/FL/Unknown/SE-217th-St-32692/home/185442061,DGLMLS,789576,N,Y,29.32745898,-83.14617096
MLS Listing,,Single Family Residential,39 SW 468th Ave,Steinhatchee,FL,32359,379900,3,2.0,Not in Subdivision,1224,21344,1987,16,310,,Active,,,https://www.redfin.com/FL/Steinhatchee/39-SW-468th-Ave-32359/home/133792141,DGLMLS,789574,N,Y,29.592502,-83.377125
MLS Listing,,Single Family Residential,7393 CR 353 NE,Old Town,FL,32680,459000,3,2.0,Old Town,1196,490050,1982,17,384,,Active,,,https://www.redfin.com/FL/Unknown/7393-SE-353rd-St-32680/home/188600498,HCAR,2235249,N,Y,29.343995,-83.109886
