SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3711 Scenic Hwy,Pensacola,FL,32504,875000,3,2.5,Pensacola,3132,27007,2000,19,279,,Active,,,https://www.redfin.com/FL/Pensacola/3711-Scenic-Hwy-32504/home/144710750,PARMLS,635382,N,Y,30.4604129,-87.1657005
MLS Listing,,Townhouse,336 Ft Pickens Rd Rd,Pensacola Beach,FL,32561,324900,1,1.0,08 - Escambia County,672,,1979,40,483,,Active,,,https://www.redfin.com/FL/Gulf-Breeze/336-Fort-Pickens-Rd-32561/home/134628993,NAMLS,935327,N,Y,30.3303008,-87.1515631
MLS Listing,,Single Family Residential,3103 Las Brisas Dr,Pensacola,FL,32526,229000,4,2.0,No Named Subdivision,1728,13504,1980,33,133,,Active,,,https://www.redfin.com/FL/Pensacola/3103-Las-Brisas-Dr-32526/home/134007470,CPARMLS,748673,N,Y,30.4445789,-87.303944
MLS Listing,,Vacant Land,29 Sailmaker Way,Navarre,FL,32566,799000,,,11 - Navarre/Gulf Breeze,,4791,,67,,132,Active,,,https://www.redfin.com/FL/Navarre/29-Sailmaker-WAY-32566/home/178895585,NAMLS,933297,N,Y,30.372424,-86.917991
MLS Listing,,Single Family Residential,1407 Woodchuck Ave,Pensacola,FL,32504,279999,3,2.0,08 - Escambia County,1992,42253,1965,343,141,,Active,,,https://www.redfin.com/FL/Pensacola/1407-Woodchuck-Ave-32504/home/134367619,NAMLS,913925,N,Y,30.5012603,-87.1749746
MLS Listing,,Single Family Residential,5425 Dynasty Dr,Pensacola,FL,32504,407900,3,2.0,08 - Escambia County,2250,13503,1991,56,181,,Active,,,https://www.redfin.com/FL/Pensacola/5425-Dynasty-Dr-32504/home/134527402,NAMLS,934181,N,Y,30.4794451,-87.1684265
MLS Listing,,Single Family Residential,2020 W Hernandez St,Pensacola,FL,32501,243000,3,2.0,08 - Escambia County,1450,6969,1940,89,168,,Active,,,https://www.redfin.com/FL/Pensacola/2020-W-Hernandez-St-32501/home/135325491,NAMLS,931658,N,Y,30.433383,-87.239885
MLS Listing,,Townhouse,1500 Johnson Ave #110,Pensacola,FL,32514,170000,2,2.0,Lake Chateau Estates,1078,322779,1984,1,158,160,Active,,,https://www.redfin.com/FL/Pensacola/1500-E-Johnson-Ave-32514/unit-110/home/134217842,PARMLS,637176,N,Y,30.5187164,-87.2264917
MLS Listing,,Single Family Residential,1850 Sandra Dr,Pensacola,FL,32506,299000,4,2.0,Parish Heights,2074,18730,1969,1,144,,Active,,,https://www.redfin.com/FL/Pensacola/1850-Sandra-Dr-32506/home/135355800,PARMLS,637174,N,Y,30.4352272,-87.2986425
