SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,1300 S Ocean Shore Blvd,Flagler Beach,FL,32136,1500000,,,FUQUAY SUB,,13504,,166,,,Active,,,https://www.redfin.com/FL/Flagler-Beach/1300-S-Ocean-Shore-Blvd-32136/home/137238718,Stellar MLS as Distributed by MLS Grid,O6117071,N,Y,29.471972,-81.123362
MLS Listing,,Single Family Residential,2 Burrell Pl,Palm Coast,FL,32137,549000,3,2.0,PALM COAST SEC 35,1980,22521,1995,1,277,,Active,,,https://www.redfin.com/FL/Palm-Coast/2-Burrell-Pl-32137/home/113587077,Stellar MLS as Distributed by MLS Grid,FC296498,N,Y,29.5865226,-81.249345
MLS Listing,,Single Family Residential,181 Island Estates Pkwy,Palm Coast,FL,32137,1890000,4,3.5,HAMMOCK DUNES,3712,38381,2014,1,509,434,Active,,,https://www.redfin.com/FL/Palm-Coast/181-Island-Estates-Pkwy-32137/home/137130914,Stellar MLS as Distributed by MLS Grid,FC296515,N,Y,29.5355995,-81.1578236
MLS Listing,,Vacant Land,54 Canopy Walk Ln,Palm Coast,FL,32137,25000,,,PALM COAST,,,,1,,85,Active,,,https://www.redfin.com/FL/Palm-Coast/54-Canopy-Walk-Ln-32137/home/180025862,Stellar MLS as Distributed by MLS Grid,FC296527,N,Y,29.566731,-81.1893341
MLS Listing,,Single Family Residential,2268 S Ocean Shore Blvd,Flagler Beach,FL,32136,2000000,4,4.5,MORNINGSIDE SUB,3772,9916,2024,1,530,,Active,,,https://www.redfin.com/FL/Flagler-Beach/2268-S-Ocean-Shore-Blvd-32136/home/137179057,Stellar MLS as Distributed by MLS Grid,FC296523,N,Y,29.4542865,-81.1151471
MLS Listing,,Single Family Residential,53 Felwood Ln,Palm Coast,FL,32137,519900,3,2.0,PALM HARBOR,1797,10019,2019,2,289,,Active,,,https://www.redfin.com/FL/Palm-Coast/53-Felwood-Ln-32137/home/108498931,Stellar MLS as Distributed by MLS Grid,FC296453,N,Y,29.5857123,-81.2333602
MLS Listing,,Single Family Residential,25 Freneau Ln,Palm Coast,FL,32137,367000,3,2.0,Palm Harbor,1570,,1996,2,234,,Active,,,https://www.redfin.com/FL/Palm-Coast/25-Freneau-Ln-32137/home/136761420,Daytona MLS,1116809,N,Y,29.5808275,-81.2349093
MLS Listing,,Vacant Land,4 Upland Pl,Palm Coast,FL,32164,58900,,,PALM COAST SEC 57,,10193,,2,,,Active,,,https://www.redfin.com/FL/Palm-Coast/4-Upland-Pl-32164/home/137248504,Stellar MLS as Distributed by MLS Grid,FC296434,N,Y,29.4458816,-81.1788719
MLS Listing,,Single Family Residential,29 Nantucket Dr,Palm Coast,FL,32137,449000,2,2.0,SEA COLONY SUB,1417,5271,1987,2,317,225,Active,,,https://www.redfin.com/FL/Palm-Coast/29-Nantucket-Dr-32137/home/137251196,Stellar MLS as Distributed by MLS Grid,FC296398,N,Y,29.6257897,-81.1974101
MLS Listing,,Single Family Residential,15 Fernon Ln,Palm Coast,FL,32137,319500,3,2.0,FOREST GROVE BUS CENTER,1272,10237,2002,3,251,,Active,,,https://www.redfin.com/FL/Palm-Coast/15-Fernon-Ln-32137/home/137144942,Stellar MLS as Distributed by MLS Grid,FC296435,N,Y,29.5955527,-81.2259153
