SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,1028 Porter St,East Point,FL,32328,220000,,,,,14375,,173,,,Active,,,https://www.redfin.com/FL/Eastpoint/1028-Porter-St-32328/home/137899518,CPARMLS,742732,N,Y,29.654534,-84.890127
MLS Listing,,Condo/Co-op,331 Eagles Way #331,Carrabelle,FL,32322,579000,3,3.0,St James Bay,1666,,2006,73,348,573,Active,,,https://www.redfin.com/FL/Carrabelle/331-Eagles-Way-32322/unit-331/home/137931813,CPARMLS,746970,N,Y,29.906928,-84.559486
MLS Listing,,Vacant Land,163 Sand Bar Rd,Apalachicola,FL,32320,50000,,,,,44431,,152,,33,Active,,,https://www.redfin.com/FL/Apalachicola/163-Sand-Bar-RD-32320/home/184753850,CPARMLS,743552,N,Y,29.759396,-85.02935
MLS Listing,,Vacant Land,0 Pine Dr,Apalachicola,FL,32320,195000,,,No Named Subdivision,,32844,,77,,,Active,,,https://www.redfin.com/FL/Apalachicola/Unknown-32320/home/137919603,CPARMLS,746777,N,Y,29.715037,-85.014191
MLS Listing,,Vacant Land,0 Jackie Whitehurst St,Apalachicola,FL,32320,40000,,,,,5227,,77,,,Active,,,https://www.redfin.com/FL/Apalachicola/Unknown-32320/home/137887402,CPARMLS,746764,N,Y,29.716202,-85.01151
MLS Listing,,Single Family Residential,109 12th Street St,Apalachicola,FL,32320,339000,2,1.0,Apalachicola,686,6000,1925,80,494,,Active,,,https://www.redfin.com/FL/Apalachicola/109-12th-St-32320/home/137909815,CPARMLS,746688,N,Y,29.7231742,-84.9918401
MLS Listing,,Single Family Residential,149 10th St,Apalachicola,FL,32320,250000,7,2.0,No Named Subdivision,2115,6894,1910,241,118,,Active,,,https://www.redfin.com/FL/Apalachicola/149-10th-St-32320/home/137872417,CPARMLS,739860,N,Y,29.7257992,-84.9923377
MLS Listing,,Vacant Land,342 Brownsville Rd,Apalachicola,FL,32320,350000,,,,,96703,,77,,,Active,,,https://www.redfin.com/FL/Apalachicola/342-Brownsville-Rd-32320/home/187550887,CPARMLS,746775,N,Y,29.7174486,-85.0055681
MLS Listing,,Vacant Land,640 W Gorrie Dr,St. George Island,FL,32328,1600000,,,GULF BEACHES UNITS 1-5,,14375,,2,,,Active,,,https://www.redfin.com/FL/Eastpoint/640-W-Gorrie-Dr-32328/home/137904776,RAFGC,315934,N,Y,29.656185,-84.876697
