SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,0 Jacks Branch Rd,Labelle,FL,33935,425000,,,MUSE,,871200,,3,,,Active,,,https://www.redfin.com/FL/Labelle/Jacks-Branch-Rd-33935/home/72710015,FORTMLS,223089270,N,Y,26.784347,-81.541323
MLS Listing,,Single Family Residential,1051 Duck Ln,Okeechobee,FL,34974,178000,2,1.5,LITTLE SARASOTA WATERFRONT SUB,784,7797,1993,3,227,,Active,,,https://www.redfin.com/FL/Okeechobee/1051-Duck-Ln-34974/home/72710084,Stellar MLS as Distributed by MLS Grid,OK223522,N,Y,27.0034292,-81.0559193
MLS Listing,,Vacant Land,1435 8th St,Other City - In The State Of Florida,FL,33944,1800000,,,Palmdale,,3049200,,6,,,Active,,,https://www.redfin.com/FL/Palmdale/1435-8th-ST-33944/home/188745071,MARMLS,A11490551,N,Y,26.9693837,-81.3014284
MLS Listing,,Vacant Land,1314 County Road 721 Loop,Moore Haven,FL,33471,400000,,,Lakeport,,125452,,6,,,Active,,,https://www.redfin.com/FL/Moore-Haven/1314-County-Road-721-33471/home/179477760,MCRTC,M20042134,N,Y,26.981235,-81.098568
MLS Listing,,Single Family Residential,1133 Leader St,La Belle,FL,33935,330000,3,2.0,PORT LABELLE,1439,13065,2023,6,229,,Active,,,https://www.redfin.com/FL/LaBelle/1133-Leader-St-33935/home/188729039,MARMLS,A11492385,N,Y,26.7773415,-81.3542666
MLS Listing,,Single Family Residential,1111 W Leader Ct,La Belle,FL,33935,330000,3,2.0,PORT LABELLE,1439,10018,2023,6,229,,Active,,,https://www.redfin.com/FL/Labelle/1111-W-Leader-Ct-33935/home/80144674,MARMLS,A11492302,N,Y,26.778023,-81.3549589
MLS Listing,,Single Family Residential,1062 Jay Ct,La Belle,FL,33935,350000,3,2.0,PORT LABELLE,1673,10018,2023,7,209,,Active,,,https://www.redfin.com/FL/Labelle/1062-Jay-Ct-33935/home/80144609,MARMLS,A11491827,N,Y,26.779251,-81.361777
MLS Listing,,Mobile/Manufactured Home,1315 Sunset Trl,Other City - In The State Of Florida,FL,33935,225000,3,2.0,Muse,1352,108464,1983,7,166,,Active,,,https://www.redfin.com/FL/Labelle/1315-Sunset-Trl-33935/home/108707875,MARMLS,A11491675,N,Y,26.8467052,-81.4989346
MLS Listing,,Vacant Land,0000 March Ln,Labelle,FL,33935,27000,,,Port Labelle Unit 102,,,,7,,,Active,,,https://www.redfin.com/FL/Labelle/March-Ln-33935/home/72710625,Beaches MLS,RX-10938708,N,Y,26.783984,-81.353055
MLS Listing,,Vacant Land,1062 March Ln,Labelle,FL,33935,27000,,,Port Labelle Unit 102,,,,7,,,Active,,,https://www.redfin.com/FL/Labelle/1062-March-Ct-33935/home/108252016,Beaches MLS,RX-10938663,N,Y,26.784628,-81.353272
MLS Listing,,Vacant Land,1366 Williams Rd,Moore Haven,FL,33471,1087500,,,ACREAGE,,3158100,,7,,,Active,,,https://www.redfin.com/FL/Moore-Haven/1366-Williams-Rd-33471/home/177203281,FORTMLS,223085377,N,Y,26.7929349,-81.3053945
MLS Listing,,Vacant Land,0000 W Benbow Ct,Labelle,FL,33935,27000,,,Port Labelle Unit 102 Blk 59 Lot 9,,,,8,,,Active,,,https://www.redfin.com/FL/Unknown/W-Benbow-Cir-33935/home/146076163,Beaches MLS,RX-10938590,N,Y,26.775065,-81.357528
MLS Listing,,Vacant Land,1150 Azalea Ave,Moore Haven,FL,33471,65500,,,MOORE HAVEN,,29620,,8,,,Active,,,https://www.redfin.com/FL/Moore-Haven/1150-Azalea-Ave-33471/home/72709548,FORTMLS,223087531,N,Y,26.816066,-81.10136
MLS Listing,,Single Family Residential,1332 Greenwood Ave,Labelle,FL,33935,359900,3,2.0,LABELLE,1749,12632,2023,12,206,,Active,,,https://www.redfin.com/FL/Labelle/1332-Greenwood-Ave-33935/home/108706683,FORTMLS,223086632,N,Y,26.777579,-81.3722
MLS Listing,,Vacant Land,Jupiter Loop,Labelle,FL,33935,25000,,,PORT LABELLE,,10018,,13,,,Active,,,https://www.redfin.com/FL/Labelle/Jupiter-Loop-33935/home/108709574,FORTMLS,223086682,N,Y,26.773795,-81.361492
MLS Listing,,Vacant Land,1059 Friendship Dr,Moore Haven,FL,33471,37000,,,SON RISE LAKE SUB PH II,,11979,,16,,,Active,,,https://www.redfin.com/FL/Moore-Haven/1059-Friendship-Dr-33471/home/72709532,Stellar MLS as Distributed by MLS Grid,OK223474,N,Y,26.989713,-81.087465
MLS Listing,,Vacant Land,1029 Friendship Dr,Moore Haven,FL,33471,35000,,,SON RISE LAKE SUB PH II,,11979,,16,,,Active,,,https://www.redfin.com/FL/Moore-Haven/1029-Friendship-Dr-33471/home/72710910,Stellar MLS as Distributed by MLS Grid,OK223473,N,Y,26.989709,-81.087957
MLS Listing,,Vacant Land,1043 Friendship Dr,Moore Haven,FL,33471,35000,,,SON RISE LAKE SUB PH II,,11979,,16,,,Active,,,https://www.redfin.com/FL/Moore-Haven/1043-Friendship-Dr-33471/home/72709531,Stellar MLS as Distributed by MLS Grid,OK223472,N,Y,26.989711,-81.087711
MLS Listing,,Vacant Land,1075 Friendship Dr,Moore Haven,FL,33471,35000,,,SON RISE LAKE SUB PH II,,11979,,16,,,Active,,,https://www.redfin.com/FL/Moore-Haven/1075-Friendship-Dr-33471/home/72709522,Stellar MLS as Distributed by MLS Grid,OK223441,N,Y,26.989715,-81.08722
MLS Listing,,Vacant Land,Lot 19 River Rd,Moore Haven,FL,33471,149900,,,MOORE HAVEN,,20908,,17,,,Active,,,https://www.redfin.com/FL/Moore-Haven/Lot-19-River-Rd-33471/home/188600524,FORTMLS,223085780,N,Y,26.82994,-81.090365
MLS Listing,,Vacant Land,18229 County Road 731,Venus,FL,33960,625000,,,VENUS,,852179,,17,,,Active,,,https://www.redfin.com/FL/Venus/18229-County-Road-731-33960/home/108710264,Stellar MLS as Distributed by MLS Grid,C7483905,N,Y,27.0051776,-81.4569731
MLS Listing,,Single Family Residential,1166 5th St Unit BHR,Okeechobee,FL,34974,359900,2,2.0,3RD ADD TO BUCKHEAD RIDGE SUB,1129,19471,1960,17,319,,Active,,,https://www.redfin.com/FL/Okeechobee/1166-5th-St-34974/unit-BHR/home/80145234,Stellar MLS as Distributed by MLS Grid,OK223429,N,Y,27.1384472,-80.8835448
MLS Listing,,Single Family Residential,1095 Chobee Loop Unit BHR,Okeechobee,FL,34974,335000,3,2.0,EAST CHOBEE,936,14549,1982,18,358,,Active,,,https://www.redfin.com/FL/Okeechobee/1095-Chobee-Loop-34974/unit-BHR/home/72710570,Stellar MLS as Distributed by MLS Grid,OK223463,N,Y,27.1313176,-80.8985854
MLS Listing,,Single Family Residential,168 Village Cir,Other City - In The State Of Florida,FL,33935,264900,2,2.0,City Village,1224,,2023,19,216,83,Active,,,https://www.redfin.com/FL/Fort-Denaud/168-Village-CIR-33935/home/188585148,MARMLS,A11482109,N,Y,26.7752734,-81.4718387
MLS Listing,,Vacant Land,1296 Argosy Rd,Labelle,FL,33935,22500,,,PORT LABELLE,,10018,,19,,,Active,,,https://www.redfin.com/FL/Labelle/1296-Argosy-Cir-33935/home/108708000,FORTMLS,223082601,N,Y,26.769382,-81.361259
