SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,Klein Rd,Zolfo Springs,FL,33890,220000,,,Zolfo Springs,,723096,,1,,,Active,,,https://www.redfin.com/FL/Unknown/Klein-Rd-33890/home/188811597,HAOR,300259,N,Y,27.40811244,-81.58254965
MLS Listing,,Single Family Residential,1450 Kazen Rd,Wauchula,FL,33873,550000,3,2.0,Wauchula,2746,43560,1978,3,200,,Active,,,https://www.redfin.com/FL/Wauchula/1450-Kazen-Rd-33873/home/138597345,HAOR,300176,N,Y,27.5587604,-81.8356282
MLS Listing,,Single Family Residential,732 Fish Branch Rd,Zolfo Springs,FL,33890,292500,3,2.0,PINECREST FARMS,1920,126620,2017,3,152,,Active,,,https://www.redfin.com/FL/Zolfo-Springs/732-Fish-Branch-Rd-33890/home/54657275,Stellar MLS as Distributed by MLS Grid,C7484485,N,Y,27.3511834,-81.7838926
MLS Listing,,Vacant Land,Kazen Rd,Wauchula,FL,33873,1200000,,,Wauchula,,3416061,,3,,,Active,,,https://www.redfin.com/FL/Wauchula/Kazen-Rd-33873/home/138598502,HAOR,300237,N,Y,27.557906,-81.832107
MLS Listing,,Vacant Land,0 State Road 64 Rd W,Wauchula,FL,33873,78000,,,Wauchula,,43560,,4,,,Active,,,https://www.redfin.com/FL/Wauchula/0-State-Road-64-RD-W-33873/home/188778572,HAOR,300226,N,Y,27.49097868,-81.83643714
MLS Listing,,Single Family Residential,4221 Chester Ave,Bowling Green,FL,33834,239900,3,2.0,Bowling Green,1237,9075,2023,6,194,,Active,,,https://www.redfin.com/FL/Bowling-Green/4221-Chester-Ave-33834/home/188746773,HAOR,300183,N,Y,27.6319522,-81.8259468
MLS Listing,,Vacant Land,Conroy Ln,Wauchula,FL,33873,120000,,,Wauchula,,326700,,6,,,Active,,,https://www.redfin.com/FL/Unknown/Conroy-Ln-33873/home/182993334,HAOR,300168,N,Y,27.5033294,-81.82404089
MLS Listing,,Single Family Residential,6126 State Road 66 Rd,Zolfo Springs,FL,33890,3300000,4,3.5,Zolfo Springs,2800,6751800,1992,6,1179,,Active,,,https://www.redfin.com/FL/Zolfo-Springs/6126-Florida-66-33890/home/188184114,HAOR,300166,N,Y,27.4466458,-81.6520465
MLS Listing,,Single Family Residential,929 Diana Ln,Zolfo Springs,FL,33890,85000,2,2.0,BLOCK/GAYLORS ADULT MH,858,11195,1988,7,99,,Active,,,https://www.redfin.com/FL/Zolfo-Springs/929-Diana-Ln-33890/home/138609688,Stellar MLS as Distributed by MLS Grid,L4940983,N,Y,27.4909159,-81.7852596
