SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,5021 Championship Cup Ln,Spring Hill,FL,34609,869000,4,4.0,SILVERTHORN PH 2A,3569,16599,2003,25,243,145,Active,,,https://www.redfin.com/FL/Spring-Hill/5021-Championship-Cup-Ln-34609/home/138910108,Stellar MLS as Distributed by MLS Grid,T3484022,N,Y,28.5016846,-82.4846248
MLS Listing,,Single Family Residential,4383 Dior Rd,Spring Hill,FL,34609,309900,3,2.0,Spring Hill Unit 17,1518,120000,1991,1,204,,Active,,,https://www.redfin.com/FL/Spring-Hill/4383-Dior-Rd-34609/home/139059133,HCAR,2235493,N,Y,28.4981926,-82.5277789
MLS Listing,,Single Family Residential,12460 Pipit Ave,Brooksville,FL,34614,389999,4,3.0,ROYAL HIGHLANDS,2373,20000,2006,1,164,,Active,,,https://www.redfin.com/FL/Brooksville/12460-Pipit-Ave-34614/home/138858198,Stellar MLS as Distributed by MLS Grid,W7859908,N,Y,28.6233129,-82.515159
MLS Listing,,Single Family Residential,10234 Bedford Rd,Spring Hill,FL,34608,325000,3,2.0,SPRING HILL,1836,10000,1984,1,177,,Active,,,https://www.redfin.com/FL/Spring-Hill/10234-Bedford-Rd-34608/home/138949905,Stellar MLS as Distributed by MLS Grid,T3489628,N,Y,28.4609585,-82.5534345
MLS Listing,,Single Family Residential,8313 Forest Oaks Blvd,Spring Hill,FL,34606,352000,4,3.0,Forest Oaks Unit 4,1902,14585,1987,1,185,,Active,,,https://www.redfin.com/FL/Spring-Hill/8313-Forest-Oaks-Blvd-34606/home/139004927,HCAR,2235492,N,Y,28.4882586,-82.5823753
MLS Listing,,Single Family Residential,2235 Bolger Ave,Spring Hill,FL,34609,450000,3,2.0,SPRING HILL UNIT 13,1866,1643900,2004,1,241,,Active,,,https://www.redfin.com/FL/Spring-Hill/2235-Bolger-Ave-34609/home/139310438,Stellar MLS as Distributed by MLS Grid,W7860161,N,Y,28.4665186,-82.4994495
MLS Listing,,Single Family Residential,12488 Harris Hawk Rd,Weeki Wachee,FL,34614,350000,3,2.0,Royal Highlands,1811,20000,2023,1,193,,Active,,,https://www.redfin.com/FL/Weeki-Wachee/12488-Harris-Hawk-Rd-34614/home/138960958,RACC,829158,N,Y,28.609425,-82.52126
MLS Listing,,Single Family Residential,2336 Galahad Ave,Spring Hill,FL,34608,299900,4,2.0,SPRING HILL,1650,11875,2022,1,182,,Active,,,https://www.redfin.com/FL/Spring-Hill/2336-Galahad-Ave-34608/home/139006383,Stellar MLS as Distributed by MLS Grid,T3489602,N,Y,28.468764,-82.580461
MLS Listing,,Single Family Residential,5421 Circle,Weeki Wachee,FL,34607,449999,2,2.0,Weeki Wachee Gardens Un 3,1158,4000,1958,1,389,,Active,,,https://www.redfin.com/FL/Weeki-Wachee/5421-Circle-Dr-34607/home/139023384,HCAR,2235490,N,Y,28.5320498,-82.6294353
MLS Listing,,Vacant Land,0 Cortez Blvd,Brooksville,FL,34613,2100000,,,POTTERFIELD GARDEN AC,,143470,,1,,,Active,,,https://www.redfin.com/FL/Brooksville/Cortez-Blvd-34613/home/173885110,Stellar MLS as Distributed by MLS Grid,W7860158,N,Y,28.534954,-82.503579
