SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1831 Hawks View Dr,Ruskin,FL,33570,319900,3,2.0,HAWKS POINT,1482,6465,2015,3,216,83,Active,,,https://www.redfin.com/FL/Ruskin/1831-Hawks-View-Dr-33570/home/101881007,Stellar MLS as Distributed by MLS Grid,T3488891,N,Y,27.7308651,-82.4097335
MLS Listing,,Single Family Residential,7166 Samuel Ivy Dr,Tampa,FL,33619,389900,3,2.0,TOUCHSTONE,1561,5723,2019,3,250,14,Active,,,https://www.redfin.com/FL/Tampa/7166-Samuel-Ivy-Dr-33619/home/173176315,Stellar MLS as Distributed by MLS Grid,T3488868,N,Y,27.9115464,-82.3756787
MLS Listing,,Single Family Residential,1225 Chevy Chase Dr,Sun City Center,FL,33573,259900,2,2.0,DEL WEBBS SUN CITY FLORIDA UN,1546,2520,1963,3,168,147,Active,,,https://www.redfin.com/FL/Sun-City-Center/1225-Chevy-Chase-Dr-33573/home/47177437,Stellar MLS as Distributed by MLS Grid,T3488696,N,Y,27.7180368,-82.3553793
MLS Listing,,Single Family Residential,3918 Whisper Grove Ct,Valrico,FL,33594,575000,3,2.0,VALRICO GROVES,2512,11813,2001,3,229,83,Active,,,https://www.redfin.com/FL/Valrico/3918-Whisper-Grove-Ct-33594/home/47367814,Stellar MLS as Distributed by MLS Grid,T3488455,N,Y,27.9211392,-82.2332501
MLS Listing,,Single Family Residential,3806 E Osborne Ave,Tampa,FL,33610,325000,4,2.0,OSBORNE OAKS UNIT ONE,1408,4957,2005,6,231,,Active,,,https://www.redfin.com/FL/Tampa/3806-E-Osborne-Ave-33610/home/47014210,Stellar MLS as Distributed by MLS Grid,T3488379,N,Y,27.9890043,-82.4167202
MLS Listing,,Single Family Residential,3022 Christophers Watch Ln,Ruskin,FL,33570,1199900,3,3.5,ANTIGUA COVE PH 1,2362,9521,2021,16,508,299,Active,,,https://www.redfin.com/FL/Ruskin/3022-Christophers-Watch-Ln-33570/home/47042647,Stellar MLS as Distributed by MLS Grid,T3486890,N,Y,27.7264428,-82.4706757
MLS Listing,,Single Family Residential,913 Nutmeg Spice Pl,Ruskin,FL,33570,396900,5,2.5,BAYOU PASS PH 3B,2415,4858,2020,25,164,80,Active,,,https://www.redfin.com/FL/Ruskin/913-Nutmeg-Spice-Pl-33570/home/173875138,Stellar MLS as Distributed by MLS Grid,T3484046,N,Y,27.7102009,-82.4074467
MLS Listing,,Vacant Land,10910 Brooksnest Ct,Lithia,FL,33547,250000,,,HAWK CREEK RESERVE,,45149,,31,,,Active,,,https://www.redfin.com/FL/Lithia/10910-Brooksnest-Ct-33547/home/47051865,Stellar MLS as Distributed by MLS Grid,T3483673,N,Y,27.841684,-82.14821
MLS Listing,,Single Family Residential,317 Benson St,Valrico,FL,33594,319900,3,2.0,BRANDON BROOK PH II,1347,6000,1992,31,237,34,Active,,,https://www.redfin.com/FL/Valrico/317-Benson-St-33594/home/47204526,Stellar MLS as Distributed by MLS Grid,T3483038,N,Y,27.9435947,-82.2531616
