SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1341 Lilys Cay Cir,Vero Beach,FL,32967,975000,4,2.5,Lily's Cay AT Vero Beach,2678,4792,2017,25,364,372,Active,,,https://www.redfin.com/FL/Vero-Beach/1341-Lilys-Cay-Cir-32967/home/142088619,Beaches MLS,RX-10934599,N,Y,27.6679824,-80.3982654
MLS Listing,,Single Family Residential,361 Del Monte Rd,Sebastian,FL,32958,495000,6,4.0,Sebastian Highlands,2832,,2005,52,175,,Active,,,https://www.redfin.com/FL/Sebastian/361-Del-Monte-Rd-32958/home/141620859,Beaches MLS,RX-10927462,N,Y,27.7968613,-80.4794278
MLS Listing,,Single Family Residential,7445 N 16th Mnr,Vero Beach,FL,32966,699000,3,2.5,Westlake Estates,2250,49658,1988,150,311,35,Active,,,https://www.redfin.com/FL/Vero-Beach/7445-16th-Mnr-32966/home/141480330,Beaches MLS,RX-10902612,N,Y,27.6329179,-80.4820558
MLS Listing,,Single Family Residential,348 Sandcrest Cir,Sebastian,FL,32958,399999,3,2.0,Sandcrest Pud PH 2,1875,5663,2019,173,213,194,Active,,,https://www.redfin.com/FL/Sebastian/348-Sandcrest-Cir-32958/home/160473914,Beaches MLS,RX-10897111,N,Y,27.8137322,-80.4797101
MLS Listing,,Townhouse,1825 English Oak Dr,Vero Beach,FL,32966,379000,2,2.0,Replat OF The Villas AT Three Oaks,1624,2614,2018,1,233,212,Active,,,https://www.redfin.com/FL/Vero-Beach/1825-English-Oak-Dr-32966/home/141781529,Beaches MLS,RX-10939148,N,Y,27.6359465,-80.4817432
MLS Listing,,Condo/Co-op,86 Crooked Tree Ln #102,Vero Beach,FL,32962,209500,2,2.0,Vista Royale Phase IV Bldgs 83-111,1000,,1979,1,210,660,Active,,,https://www.redfin.com/FL/Vero-Beach/86-Crooked-Tree-Ln-32962/unit-102/home/141672286,Beaches MLS,RX-10940338,N,Y,27.6025941,-80.3789975
MLS Listing,,Single Family Residential,160 8th Ave SW,Vero Beach,FL,32962,359000,3,2.0,J R Ashton,1169,,1987,1,307,,Active,,,https://www.redfin.com/FL/Vero-Beach/160-8th-Ave-SW-32962/home/141532019,Beaches MLS,F10412195,N,Y,27.6002931,-80.3888508
MLS Listing,,Single Family Residential,905 5th Pl,Vero Beach,FL,32962,380000,3,2.0,Hickory Sands Sub,1665,15246,1962,1,228,,Active,,,https://www.redfin.com/FL/Vero-Beach/905-5th-Pl-32962/home/141602510,Beaches MLS,RX-10938913,N,Y,27.6109081,-80.3917413
MLS Listing,,Single Family Residential,1745 33rd Ave,Vero Beach,FL,32960,450000,4,3.0,Big Pine Corners,2086,,1985,2,216,,Pre On-Market,,,https://www.redfin.com/FL/Vero-Beach/1745-33rd-Ave-32960/home/141621911,Beaches MLS,RX-10940250,N,Y,27.6337134,-80.4196771
MLS Listing,,Single Family Residential,2025 37th Ave,Vero Beach,FL,32960,310000,3,1.0,Groveland,1504,,1949,2,206,,Active,,,https://www.redfin.com/FL/Vero-Beach/2025-37th-Ave-32960/home/141526484,RAIRCMLS,273380,N,Y,27.639021,-80.423709
MLS Listing,,Single Family Residential,5220 W Harbor Village Dr #302,Vero Beach,FL,32967,659000,3,2.0,HARBOR VILLAGE AT GH,1582,,1995,2,417,750,Active,,,https://www.redfin.com/FL/Vero-Beach/5220-W-Harbor-Village-Dr-32967/unit-302/home/187384660,RAIRCMLS,273401,N,Y,27.6889095,-80.3952415
MLS Listing,,Single Family Residential,425 Biscayne Ln,Sebastian,FL,32958,379000,3,2.0,Sebastian Highlands,1750,,1987,2,217,,Active,,,https://www.redfin.com/FL/Sebastian/425-Biscayne-Ln-32958/home/141472086,RAIRCMLS,273457,N,Y,27.7801737,-80.4847706
MLS Listing,,Single Family Residential,7989 143rd St,Sebastian,FL,32958,519900,2,2.0,Ercildoune Heights,1687,11325,1987,2,308,,Active,,,https://www.redfin.com/FL/Sebastian/7989-143rd-St-32958/home/141607865,RAIRCMLS,273436,N,Y,27.8459933,-80.4900697
MLS Listing,,Single Family Residential,431 Silver Moss Dr #103,Indian River Shores,FL,32963,1280000,2,2.5,John's Island,1300,,1972,2,985,1000,Pre On-Market,,,https://www.redfin.com/FL/Indian-River-Shores/431-Silver-Moss-Dr-32963/unit-103/home/141581800,RAIRCMLS,273405,N,Y,27.699064,-80.3752384
MLS Listing,,Single Family Residential,90 56th Ct,Vero Beach,FL,32968,775000,4,3.5,Orchard Park,2856,9583,2022,3,271,100,Active,,,https://www.redfin.com/FL/Vero-Beach/90-56th-Ct-32968/home/170246827,Beaches MLS,RX-10940137,N,Y,27.6038902,-80.444669
MLS Listing,,Single Family Residential,471 28th Ct,Vero Beach,FL,32968,1275000,4,2.5,INDIAN RIVER FARMS CO SUB,3522,127631,1970,3,362,,Active,,,https://www.redfin.com/FL/Vero-Beach/471-28th-Ct-32968/home/141452773,Stellar MLS as Distributed by MLS Grid,O6160592,N,Y,27.610534,-80.416784
MLS Listing,,Single Family Residential,13370 Old Dixie Hwy,Sebastian,FL,32958,799000,3,2.5,Riverview,2470,30491,2001,3,323,,Active,,,https://www.redfin.com/FL/Sebastian/13370-Old-Dixie-Hwy-32958/home/141452124,RAIRCMLS,273453,N,Y,27.837656,-80.480543
MLS Listing,,Single Family Residential,,Vero Beach,FL,32962,370000,3,3.0,,,13068,1965,3,,,Pre On-Market,,,https://www.redfin.com/FL/Vero-Beach/Undisclosed-address-32962/home/141572806,RAIRCMLS,273452,N,Y,27.6099828,-80.4035045
MLS Listing,,Single Family Residential,6535 35th Pl,Vero Beach,FL,32966,569000,3,2.5,Oak Chase Subdivision Phase II,2779,,2001,3,205,168,Active,,,https://www.redfin.com/FL/Vero-Beach/6535-35th-Pl-32966/home/141510842,Beaches MLS,RX-10940068,N,Y,27.6572353,-80.4607684
MLS Listing,,Single Family Residential,540 24th Ct,Vero Beach,FL,32962,339900,3,2.0,Laurelwood,1383,7405,1982,3,246,,Active,,,https://www.redfin.com/FL/Vero-Beach/540-24th-Ct-32962/home/141478213,RAIRCMLS,273134,N,Y,27.6112222,-80.4108956
MLS Listing,,Single Family Residential,4710 Hamilton Ct,Vero Beach,FL,32967,1700000,3,3.0,HAMILTON ISL AT OH,2927,,1996,3,581,817,Pre On-Market,,,https://www.redfin.com/FL/Vero-Beach/4710-Hamilton-Ct-32967/home/141604331,RAIRCMLS,273450,N,Y,27.6781107,-80.3921172
MLS Listing,,Single Family Residential,2445 46th Ave,Vero Beach,FL,32966,379500,3,2.0,Walker's Glen,1716,6969,1990,3,221,218,Active,,,https://www.redfin.com/FL/Vero-Beach/2445-46th-Ave-32966/home/141577970,RAIRCMLS,273383,N,Y,27.6444312,-80.4341516
MLS Listing,,Single Family Residential,700 23rd Pl SW,Vero Beach,FL,32962,349000,3,2.0,Vero Beach Highlands,1382,,2019,3,253,,Active,,,https://www.redfin.com/FL/Vero-Beach/700-23rd-Pl-SW-32962/home/141681957,RAIRCMLS,273375,N,Y,27.5607116,-80.387394
MLS Listing,,Single Family Residential,2 Vista Palm Ln #106,Vero Beach,FL,32962,169900,2,2.0,Vista Royale,1000,,1974,3,170,660,Pre On-Market,,,https://www.redfin.com/FL/Vero-Beach/2-Vista-Palm-Ln-32962/unit-106/home/141542397,RAIRCMLS,273446,N,Y,27.596274,-80.3777392
MLS Listing,,Single Family Residential,8365 W 98th Ave,Vero Beach,FL,32967,425000,3,2.0,Vero Lake Estates,1839,8712,2023,3,231,,Active,,,https://www.redfin.com/FL/Vero-Beach/8365-W-98th-Ave-32967/home/141499671,RAIRCMLS,273445,N,Y,27.746593,-80.52809
MLS Listing,,Single Family Residential,1303 Spyglass Ln #1303,Vero Beach,FL,32963,718000,2,2.0,South Passage,1350,,1974,3,532,1291,Active,,,https://www.redfin.com/FL/Vero-Beach/1303-Spyglass-Ln-32963/unit-1303/home/146038755,RAIRCMLS,273351,N,Y,27.5793584,-80.3346858
MLS Listing,,Single Family Residential,3820 7th Pl,Vero Beach,FL,32968,695000,3,2.5,Woodbridge Estates Subdivision,1958,10019,2021,3,355,41,Active,,,https://www.redfin.com/FL/Vero-Beach/3820-7th-Pl-32968/home/141604437,Beaches MLS,RX-10939996,N,Y,27.615269,-80.425595
MLS Listing,,Single Family Residential,445 Perch Ln,Sebastian,FL,32958,355000,2,2.0,Sebastian Highlands Unit 8,923,10019,1988,3,385,,Active,,,https://www.redfin.com/FL/Sebastian/445-Perch-Ln-32958/home/141624273,Beaches MLS,RX-10939985,N,Y,27.782403,-80.4842059
