SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,4181 Green Meadows Trl Lot 20,Marianna,FL,32446,305000,4,2.0,Green Meadows,1695,14375,2023,100,180,,Active,,,https://www.redfin.com/FL/Marianna/4181-Green-Meadows-Trl-32446/unit-20/home/187141628,CPARMLS,745746,N,Y,30.8010271,-85.2472894
MLS Listing,,Vacant Land,TBD Ocheesee Landing Rd,Grand Ridge,FL,32442,60000,,,[No Recorded Subdiv],,217800,,21,,,Active,,,https://www.redfin.com/FL/Unknown/TBD-Ocheesee-Landing-Rd-32442/home/178400724,CPARMLS,749191,N,Y,30.629192,-84.970102
MLS Listing,,Vacant Land,0 Lewis Ln Unit Parcel 7072,Grand Ridge,FL,32442,19500,,,No Named Subdivision,,52272,,441,,,Active,,,https://www.redfin.com/FL/Unknown/Lewis-Ln-32442/unit-Parcel-7072/home/181857637,CPARMLS,732432,N,Y,30.643548,-85.007399
MLS Listing,,Vacant Land,0 Blueberry Dr,Sneads,FL,32460,75900,,,No Named Subdivision,,220414,,650,,,Active,,,https://www.redfin.com/FL/Sneads/Blueberry-Dr-32460/home/142202667,CPARMLS,698991,N,Y,30.645302,-84.940104
MLS Listing,,Vacant Land,0 Old Cottondale Rd,Marianna,FL,32448,22500,,,No Named Subdivision,,23087,,35,,,Active,,,https://www.redfin.com/FL/Marianna/Old-Cottondale-Rd-32448/home/183725182,CPARMLS,748588,N,Y,30.779829,-85.266653
MLS Listing,,Vacant Land,0 Cane St,Marianna,FL,32448,12000,,,Compass Lake Hills Unit 3,,50617,,269,,,Active,,,https://www.redfin.com/FL/Marianna/Cane-St-32448/home/142228034,CPARMLS,738605,N,Y,30.607183,-85.299344
MLS Listing,,Vacant Land,Lot 3 Westwood Dr,Alford,FL,32420,25300,,,[No Recorded Subdiv],,14214,,73,,,Active,,,https://www.redfin.com/FL/Alford/Lot-3-Westwood-Dr-32420/home/187642220,CPARMLS,746975,N,Y,30.69628,-85.402463
MLS Listing,,Vacant Land,0000 Trenton Ave,Alford,FL,32420,12500,,,Compass Lake Hills Unit 6,,43560,,251,,8,Active,,,https://www.redfin.com/FL/Alford/Trenton-Ave-32420/home/142229231,CPARMLS,739370,N,Y,30.636352,-85.370603
MLS Listing,,Mobile/Manufactured Home,3802 Scott Church Rd,Marianna,FL,32448,299000,3,2.0,No Named Subdivision,1565,435600,2001,19,191,,Active,,,https://www.redfin.com/FL/Marianna/3802-Scott-Church-Rd-32448/home/188577741,CPARMLS,749265,N,Y,30.6803712,-85.2806179
