SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Mobile/Manufactured Home,1028 SE Cr 357,Mayo,FL,32066,752000,3,2.0,Mayo,2052,4108144,1972,4,366,,Active,,,https://www.redfin.com/FL/Mayo/1028-SE-County-Road-357-32066/home/188775684,NFMLS,121734,N,Y,29.9180841,-83.2680157
MLS Listing,,Vacant Land,TBD S Sr 51,Mayo,FL,32066,3135000,,,Mayo,4600,24829200,,4,682,,Active,,,https://www.redfin.com/FL/Mayo/TBD-Unknown/home/188775414,NFMLS,121730,N,Y,29.914062,-83.267434
MLS Listing,,Vacant Land,State Rd 51,Mayo,FL,32066,35000,,,Steinhatchee Subdivision,,98881,,7,,,Active,,,https://www.redfin.com/FL/Mayo/Unknown-Unknown/home/188705213,DGLMLS,789610,N,Y,30.03922838,-83.17671509
MLS Listing,,Single Family Residential,190 NE Suwannee Trl,Mayo,FL,32066,330000,3,2.0,Suwannee Highlands,1814,26136,2002,14,182,,Active,,,https://www.redfin.com/FL/Mayo/190-NE-Suwannee-Trl-32066/home/142338308,NFMLS,121645,N,Y,30.1056537,-83.164607
MLS Listing,,Vacant Land,,Branford,FL,32088,35000,,,,,142441,,21,,,Active,,,https://www.redfin.com/FL/Branford/Undisclosed-address-32008/home/142336720,FORTMLS,223083379,N,Y,29.880086,-82.891608
MLS Listing,,Vacant Land,TBD NE Marion Rd,Mayo,FL,32066,180000,,,Mayo,300,392040,,25,600,,Active,,,https://www.redfin.com/FL/Unknown/TBD-NE-Marion-Rd-32066/home/182309364,NFMLS,121528,N,Y,30.08244,-83.087471
MLS Listing,,Mobile/Manufactured Home,1718 SE Cephas Liston Rd,Branford,FL,32008,175000,3,2.0,Branford,1863,87991,1998,27,94,,Active,,,https://www.redfin.com/FL/Branford/1718-SE-Cephas-Liston-Rd-32008/home/142337374,NFMLS,121476,N,Y,29.8574017,-82.9381186
MLS Listing,,Vacant Land,"0 NE Park Ave Mayo, Fl",Mayo,FL,32066,35000,,,Mayo,,45302,,30,,,Active,,,https://www.redfin.com/FL/Unknown/NE-Park-Ave-32066/home/144927830,NFMLS,121252,N,Y,30.090722,-83.165166
MLS Listing,,Vacant Land,000 NE Hollywood Blvd,Mayo,FL,32066,34999,,,Mayo Retirement Haven,,,,32,,,Active,,,https://www.redfin.com/FL/Mayo/Ne-Hollywood-Blvd-32066/home/142335906,NFMLS,121433,N,Y,30.087471,-83.167315
MLS Listing,,Single Family Residential,147 SE Foster Dr,Branford,FL,32008,650000,3,2.0,Hurst Haven,1772,11761,1996,33,367,,Active,,,https://www.redfin.com/FL/Branford/147-SE-Foster-Dr-32008/home/142342531,DGLMLS,789493,N,Y,29.8248782,-82.918262
MLS Listing,,Single Family Residential,407 SE Riverside Dr E,Branford,FL,32008,322500,2,1.5,SUWANNEE BLUFFS,931,30492,1970,33,346,,Active,,,https://www.redfin.com/FL/Branford/407-SE-Riverside-East-Dr-32008/home/142342490,NFMLS,121422,N,Y,29.8911389,-82.9073542
MLS Listing,,Vacant Land,00 County Road 53,Mayo,FL,32066,55000,,,Deer Run,,217800,,35,,,Active,,,https://www.redfin.com/FL/Mayo/N-County-Road-53-32066/home/142341662,NEFLMLS,1255140,N,Y,30.220892,-83.287454
MLS Listing,,Vacant Land,T1 NW Ezell Landing Rd,Mayo,FL,32066,159999,,,Mayo,,534481,,39,,,Active,,,https://www.redfin.com/FL/Unknown/T1-NW-Ezell-Landing-Rd-32066/home/185300134,NFMLS,120866,N,Y,30.167322,-83.236273
MLS Listing,,Vacant Land,Sage Rd NE US Hwy 27,Mayo,FL,32066,339000,,,Not in Subdivision,,871200,,40,,,Active,,,https://www.redfin.com/FL/Mayo/Sage-Rd-US-Highway-27-Unknown/home/188176973,DGLMLS,789451,N,Y,30.0536484202917,-83.0771384757166
MLS Listing,,Single Family Residential,788 NE County Road 353,Mayo,FL,32066,575000,5,3.5,MAYO,4260,217800,1996,42,135,,Active,,,https://www.redfin.com/FL/Mayo/788-County-Road-353-32066/home/187655994,Stellar MLS as Distributed by MLS Grid,GC516553,N,Y,30.063563,-83.1290883
MLS Listing,,Vacant Land,S SR 51 State Rd 51,Mayo,FL,32066,189000,,,Not in Subdivision,,1153469,,45,,,Active,,,https://www.redfin.com/FL/Mayo/S-SR-51-32066/home/188137330,DGLMLS,789425,N,Y,30.04007679,-83.17593247
MLS Listing,,Single Family Residential,696 SE Cr 357,Mayo,FL,32066,4452000,1,2.0,Mayo,3266,24916320,2010,48,1363,,Active,,,https://www.redfin.com/FL/Mayo/696-S-Tbd-Cr-357-32066/home/188093049,NFMLS,121258,N,Y,29.917332,-83.278272
MLS Listing,,Vacant Land,TBD S Sr 51,Mayo,FL,32066,510000,,,Mayo,,3702600,,51,,,Active,,,https://www.redfin.com/FL/Mayo/TBD-Unknown/home/188067779,NFMLS,121234,N,Y,29.92289,-83.285022
MLS Listing,,Vacant Land,TBD S Sr 51,Mayo,FL,32066,189000,,,Mayo,1410,1154340,,51,134,,Active,,,https://www.redfin.com/FL/Mayo/TBD-Unknown/home/188067778,NFMLS,121233,N,Y,29.909126,-83.293575
MLS Listing,,Vacant Land,TBD S Sr 51,Mayo,FL,32066,882000,,,Mayo,,6403320,,51,,,Active,,,https://www.redfin.com/FL/Mayo/TBD-Unknown/home/188067777,NFMLS,121235,N,Y,29.928005,-83.281516
MLS Listing,,Vacant Land,TBD N Cr 53,Mayo,FL,32066,59900,,,DOGWOOD MEADOWS,325,219542,,52,184,,Active,,,https://www.redfin.com/FL/Mayo/TBD-N-County-Road-53-32066/home/182309314,NFMLS,121224,N,Y,30.211273,-83.288871
MLS Listing,,Mobile/Manufactured Home,497 S Sr 349,Branford,FL,32008,169000,4,2.0,Branford,2052,27007,1997,59,82,,Active,,,https://www.redfin.com/FL/Branford/497-S-State-Road-349-32008/home/142339354,NFMLS,121157,N,Y,29.9441395,-82.9484963
MLS Listing,,Vacant Land,27 Vacant NW Cr 251,Mayo,FL,32066,199000,,,Mayo,,,,63,,,Active,,,https://www.redfin.com/FL/Unknown/27-NW-County-Road-251-32066/home/187797908,NFMLS,121087,N,Y,30.186637,-83.267517
MLS Listing,,Vacant Land,000 S Fletcher Ave,Mayo,FL,32066,299000,,,Mayo,916,2130520,,63,326,,Active,,,https://www.redfin.com/FL/Mayo/S-Fletcher-Ave-32066/home/142339619,NFMLS,121083,N,Y,30.046472,-83.174809
MLS Listing,,Mobile/Manufactured Home,6650 N Cr 53,Mayo,FL,32066,369900,4,2.5,Deer Run,2560,435600,2022,65,144,,Active,,,https://www.redfin.com/FL/Mayo/6650-N-County-Road-53-32066/home/142338078,NFMLS,121068,N,Y,30.224947,-83.2839879
MLS Listing,,Vacant Land,TBD NW Cr 292,Mayo,FL,32066,126000,,,Mayo,360,784080,,72,350,,Active,,,https://www.redfin.com/FL/Unknown/TBD-NW-County-Road-292-32066/home/184468757,NFMLS,120997,N,Y,30.139889,-83.237529
MLS Listing,,Vacant Land,TBD NE Tiger Lily Rd,Mayo,FL,32066,70000,,,Mayo,725,217800,,82,97,,Active,,,https://www.redfin.com/FL/Unknown/TBD-NE-Tiger-Lily-Rd-32066/home/187462171,NFMLS,120914,N,Y,30.057582,-83.153576
MLS Listing,,Vacant Land,1601 NE Pickerel Rd,Mayo,FL,32066,400000,,,MAYO,,1025838,,85,,,Active,,,https://www.redfin.com/FL/Mayo/1601-NE-Pickerel-Rd-32066/home/187414215,Stellar MLS as Distributed by MLS Grid,GC516085,N,Y,30.061319,-83.0586742
MLS Listing,,Vacant Land,0 NE Marion Rd,Mayo,FL,32066,15000,,,Hankins Suwannee River,,20908,,88,,,Active,,,https://www.redfin.com/FL/Mayo/Ne-Marion-Rd-32066/home/142340508,Beaches MLS,RX-10917622,N,Y,30.079175,-83.08934
MLS Listing,,Vacant Land,TBD SE Earl Blvd,Branford,FL,32008,65000,,,Majestic Oaks,,293594,,94,,,Active,,,https://www.redfin.com/FL/Branford/TBD-SE-Earl-Blvd-32008/home/182309194,NFMLS,120674,N,Y,29.828282,-82.901004
MLS Listing,,Vacant Land,TBD US Hwy 27,Mayo,FL,32066,199900,,,Mayo,,681714,,101,,,Active,,,https://www.redfin.com/FL/Williston/TBD-US-Highway-27-Unknown/home/184468118,NFMLS,120775,N,Y,30.056198,-83.144898
MLS Listing,,Vacant Land,SE Wild Turkey Rd,Branford,FL,32008,20000,,,Branford,,44431,,103,,,Active,,,https://www.redfin.com/FL/Branford/SE-Wild-Turkey-RD-32008/home/186216520,NFMLS,120482,N,Y,29.879123,-82.892652
PAST SALE,,Vacant Land,TBD NW Cr-348 (8ac),Mayo,FL,32066,,,,,,,,,,,Off Market,,,https://www.redfin.com/FL/Unknown/TBD-NW-County-Road-348-32066/home/184935788,NFMLS,,N,Y,30.148044,-83.329479
MLS Listing,,Vacant Land,59/60 NE Laurie Ln,Mayo,FL,32066,110000,,,Riverside Estates Subd,276,96268,,110,399,,Active,,,https://www.redfin.com/FL/Mayo/59-60-NE-Laurie-LN-32066/home/186162582,NFMLS,120448,N,Y,30.101463,-83.148669
MLS Listing,,Vacant Land,346 NE Laurie Ln,Mayo,FL,32066,79000,,,RIVERSIDE ESTATES SUB,,39204,,111,,,Active,,,https://www.redfin.com/FL/Mayo/346-NE-Laurie-Ln-32066/home/142338521,Stellar MLS as Distributed by MLS Grid,T3465929,N,Y,30.101474,-83.146106
MLS Listing,,Single Family Residential,372 SE Cypress Ln,Branford,FL,32008,489000,3,2.0,LANDING/CYPRESS POINT,2674,39204,2001,112,183,,Active,,,https://www.redfin.com/FL/Branford/372-SE-Cypress-Ln-32008/home/142341907,Stellar MLS as Distributed by MLS Grid,GC515364,N,Y,29.9771692,-83.0380466
MLS Listing,,Single Family Residential,267 NW Cairo Rd,Mayo,FL,32066,565000,4,2.5,Mayo,1744,890802,2005,115,324,,Active,,,https://www.redfin.com/FL/Mayo/267-NW-Cairo-Rd-32066/home/186488368,NFMLS,120666,N,Y,30.2033596,-83.2886025
MLS Listing,,Single Family Residential,623 NE Gold Dust Rd,Branford,FL,32008,649900,3,2.5,SUWANNEE RIVER BEND SUBD,1933,24394,2008,125,336,,Active,,,https://www.redfin.com/FL/Branford/623-NE-Gold-Dust-Rd-32008/home/142339768,NFMLS,120327,N,Y,29.9564156,-82.9310172
MLS Listing,,Single Family Residential,5253 W 27 Hwy,Mayo,FL,32066,525000,3,2.0,MAYO,2356,130680,2017,129,223,,Active,,,https://www.redfin.com/FL/Mayo/5253-W-US-27-32066/home/142335973,Stellar MLS as Distributed by MLS Grid,GC514849,N,Y,30.110516,-83.2534861
