SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,16161 Yelloweyed Dr,Clermont,FL,34714,470000,5,3.0,SAWGRASS BAY PHASE 2A,2256,5916,2017,3,208,11,Active,,,https://www.redfin.com/FL/Clermont/16161-Yelloweyed-Dr-34714/home/143431605,Stellar MLS as Distributed by MLS Grid,T3488532,N,Y,28.4021373,-81.6847029
MLS Listing,,Single Family Residential,11049 Cherry Lake Rd,Clermont,FL,34715,774000,2,2.0,APSHAWA GRVS REP,2562,250470,1994,28,302,,Active,,,https://www.redfin.com/FL/Clermont/11049-Cherry-Lake-Rd-34715/home/45788683,Stellar MLS as Distributed by MLS Grid,O6154600,N,Y,28.5952424,-81.770905
MLS Listing,,Vacant Land,Insim Ln,Leesburg,FL,34788,259900,,,SHANGRI-LA,,25313,,49,,,Active,,,https://www.redfin.com/FL/Leesburg/Insim-Ln-34748/home/45799139,Stellar MLS as Distributed by MLS Grid,O6147769,N,Y,28.861968,-81.750738
MLS Listing,,Single Family Residential,541 Bonita Dr,Lady Lake,FL,32159,279000,2,2.0,LADY LAKE ORANGE BLOSSOM GARDENS UNIT 12,1040,5490,1995,59,268,14,Active,,,https://www.redfin.com/FL/Lady-Lake/541-Bonita-Dr-32159/home/45797717,Stellar MLS as Distributed by MLS Grid,O6146272,N,Y,28.9432605,-81.9361966
MLS Listing,,Single Family Residential,23710 Companero Dr,Sorrento,FL,32776,389900,4,2.0,SORRENTO SPGS PH IV,1972,9728,2013,1,198,115,Active,,,https://www.redfin.com/FL/Sorrento/23710-Companero-Dr-32776/home/45771601,Stellar MLS as Distributed by MLS Grid,O6161573,N,Y,28.8478141,-81.5709323
MLS Listing,,Vacant Land,731 Liberty Ave,Mount Dora,FL,32757,225000,,,MOUNT DORA,,12375,,1,,,Active,,,https://www.redfin.com/FL/Mount-Dora/731-Liberty-Ave-32757/home/45863416,Stellar MLS as Distributed by MLS Grid,G5076049,N,Y,28.794425,-81.637775
MLS Listing,,Single Family Residential,27413 Pine Straw Rd,Leesburg,FL,34748,330000,3,2.0,LEESBURG LEGACY LEESBURG UNIT 06,1469,5390,2007,1,225,265,Active,,,https://www.redfin.com/FL/Leesburg/27413-Pine-Straw-Rd-34748/home/45768981,Stellar MLS as Distributed by MLS Grid,G5076046,N,Y,28.7472966,-81.856205
MLS Listing,,Single Family Residential,26951 White Plains Way,Leesburg,FL,34748,299000,2,2.0,LEESBURG ARLINGTON RIDGE PH 1-C,1417,3358,2019,1,211,269,Active,,,https://www.redfin.com/FL/Leesburg/26951-White-Plains-Way-34748/home/45773067,Stellar MLS as Distributed by MLS Grid,O6160780,N,Y,28.7372551,-81.8868746
MLS Listing,,Single Family Residential,24 Grizzard St,Fruitland Park,FL,34731,49900,2,1.5,FRUITLAND PARK VAGABOND VILLAS,624,3850,1971,1,80,,Active,,,https://www.redfin.com/FL/Fruitland-Park/24-Grizzard-St-34731/home/45806280,Stellar MLS as Distributed by MLS Grid,G5076037,N,Y,28.8468925,-81.9020221
MLS Listing,,Single Family Residential,17164 Goldcrest Loop,Clermont,FL,34714,415000,3,2.0,SERENOA,1693,6786,2019,1,245,94,Active,,,https://www.redfin.com/FL/Clermont/17164-Goldcrest-Loop-34714/home/170023320,Stellar MLS as Distributed by MLS Grid,O6161530,N,Y,28.3901028,-81.6717561
MLS Listing,,Single Family Residential,1131 N Palmetto Cir,Eustis,FL,32726,300000,3,2.0,EUSTIS,1514,12900,1966,1,198,,Active,,,https://www.redfin.com/FL/Eustis/1131-N-Palmetto-Cir-32726/home/45823145,Stellar MLS as Distributed by MLS Grid,G5075515,N,Y,28.8385633,-81.6983028
MLS Listing,,Condo/Co-op,251 David Walker Dr Unit F-1,Tavares,FL,32778,259900,2,2.0,SHANTINIKETAN 2,960,1644,2015,2,271,360,Active,,,https://www.redfin.com/FL/Tavares/251-David-Walker-Dr-32778/unit-F-1/home/173488319,Stellar MLS as Distributed by MLS Grid,O6161505,N,Y,28.8043526,-81.7041978
MLS Listing,,Single Family Residential,698 Anna Ridge Rd,Minneola,FL,34715,749900,5,4.0,PARK VIEW/HILLS PH 1,3479,11948,2021,2,216,90,Active,,,https://www.redfin.com/FL/Minneola/698-Anna-Ridge-Rd-34715/home/174227890,Stellar MLS as Distributed by MLS Grid,O6161470,N,Y,28.5883265,-81.7198293
MLS Listing,,Single Family Residential,9629 San Fernando Ct,Howey In The Hills,FL,34737,849000,3,3.0,LAS COLINAS PH I SUB,3195,14000,2007,2,266,180,Active,,,https://www.redfin.com/FL/Howey-in-the-Hills/9629-San-Fernando-Ct-34737/home/45894312,Stellar MLS as Distributed by MLS Grid,G5075388,N,Y,28.7264437,-81.7925854
MLS Listing,,Single Family Residential,1441 Whooping Dr,Groveland,FL,34736,289900,3,2.0,CRANES LANDING PH 01,1210,10400,2000,2,240,32,Active,,,https://www.redfin.com/FL/Groveland/1441-Whooping-Dr-34736/home/45824938,Stellar MLS as Distributed by MLS Grid,O6159933,N,Y,28.5680846,-81.8180597
MLS Listing,,Vacant Land,Lot 57 Marigold St,Groveland,FL,34736,150000,,,GARDEN CITY PH 01C,,24977,,2,,129,Active,,,https://www.redfin.com/FL/Groveland/Lot-57-Marigold-St-34736/home/188809973,Stellar MLS as Distributed by MLS Grid,G5075941,N,Y,28.588976,-81.8315
MLS Listing,,Vacant Land,Lot 56 Marigold St,Groveland,FL,34736,150000,,,GARDEN CITY PH 01C TR A,,24541,,2,,129,Active,,,https://www.redfin.com/FL/Groveland/Lot-56-Marigold-St-34736/home/186896081,Stellar MLS as Distributed by MLS Grid,G5076022,N,Y,28.589659,-81.830691
MLS Listing,,Single Family Residential,10444 Log House Rd,Clermont,FL,34711,950000,4,4.0,CLERMONT,3570,129373,2007,2,266,,Active,,,https://www.redfin.com/FL/Clermont/10444-Log-House-Rd-34711/home/45810001,Stellar MLS as Distributed by MLS Grid,G5075962,N,Y,28.4977523,-81.7816499
MLS Listing,,Single Family Residential,15737 Bay Lakes Trl,Clermont,FL,34711,444990,3,2.0,GREATER HILLS PH 01,1541,10400,1990,2,289,39,Active,,,https://www.redfin.com/FL/Clermont/15737-Bay-Lakes-Trl-34711/home/45838830,Stellar MLS as Distributed by MLS Grid,O6161423,N,Y,28.5515505,-81.6951123
