SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,15585 Ocean Walk Cir #115,Fort Myers,FL,33908,315000,3,2.0,GARDENS AT BEACHWALK,1167,20616,2003,3,270,390,Active,,,https://www.redfin.com/FL/Fort-Myers/15585-Ocean-Walk-Cir-33908/unit-115/home/61969637,FORTMLS,223087586,N,Y,26.5158221,-81.9386911
MLS Listing,,Single Family Residential,37 Crestwood Cir E,Lehigh Acres,FL,33936,320000,3,2.0,PARKWOOD,1076,11935,1982,5,297,,Active,,,https://www.redfin.com/FL/Lehigh-Acres/37-Crestwood-Cir-E-33936/home/67913564,FORTMLS,223086536,N,Y,26.6015171,-81.6595943
MLS Listing,,Single Family Residential,329 NE 20th Ter,Cape Coral,FL,33909,319000,3,2.0,CAPE CORAL,1287,10018,2004,5,248,,Active,,,https://www.redfin.com/FL/Cape-Coral/329-NE-20th-Ter-33909/home/61877871,FORTMLS,223084765,N,Y,26.6908494,-81.9662024
MLS Listing,,Condo/Co-op,2090 W 1st St Unit H2908,Fort Myers,FL,33901,925000,3,2.5,HIGH POINT PLACE,2230,18186,2007,11,415,1136,Active,,,https://www.redfin.com/FL/Fort-Myers/2090-W-1st-St-33901/unit-H2908/home/67659279,FORTMLS,223086824,N,Y,26.6404719,-81.8762565
MLS Listing,,Single Family Residential,1415 SE 39th Ter,Cape Coral,FL,33904,474000,4,3.0,CAPE CORAL,2023,10018,2006,11,234,,Active,,,https://www.redfin.com/FL/Cape-Coral/1415-SE-39th-Ter-33904/home/61896562,FORTMLS,223084749,N,Y,26.5790488,-81.9443799
MLS Listing,,Single Family Residential,3239 Cortez Blvd,Fort Myers,FL,33901,360000,3,2.0,COUNTRY CLUB HOMES,1288,9278,1954,30,280,,Active,,,https://www.redfin.com/FL/Fort-Myers/3239-Cortez-Blvd-33901/home/61932587,FORTMLS,223076129,N,Y,26.6174692,-81.8799469
MLS Listing,,Single Family Residential,16520 Bonita Landing Cir,Bonita Springs,FL,34135,730000,3,3.0,BONITA LANDING,2445,16195,2018,37,299,294,Active,,,https://www.redfin.com/FL/Bonita-Springs/16520-Bonita-Landing-Cir-34135/home/112835855,FORTMLS,223078112,N,Y,26.3313491,-81.6892525
MLS Listing,,Single Family Residential,103 SW 34th Pl,Cape Coral,FL,33991,489000,3,3.0,CAPE CORAL,1871,10018,2021,48,261,,Active,December-9-2023 01:00 PM,December-9-2023 04:00 PM,https://www.redfin.com/FL/Cape-Coral/103-SW-34th-Pl-33991/home/67825735,FORTMLS,223072717,N,Y,26.6513309,-82.0454386
MLS Listing,,Single Family Residential,10107 Chesapeake Bay Dr,Fort Myers,FL,33913,624900,2,2.5,MARINA BAY,2268,6886,2019,72,276,318,Active,,,https://www.redfin.com/FL/Fort-Myers/10107-Chesapeake-Bay-Dr-33913/home/112834217,FORTMLS,223068032,N,Y,26.5674645,-81.7854946
MLS Listing,,Condo/Co-op,13240 White Marsh Ln #2,Fort Myers,FL,33912,230000,2,2.0,TERRACE CONDO VILLAGE,908,14583,1985,103,253,511,Active,,,https://www.redfin.com/FL/Fort-Myers/13240-White-Marsh-Ln-33912/unit-2/home/61916694,FORTMLS,223059851,N,Y,26.5498857,-81.8286056
MLS Listing,,Single Family Residential,311 SW 48th Ter,Cape Coral,FL,33914,389000,3,2.0,CAPE CORAL,1441,10018,1975,110,270,,Active,,,https://www.redfin.com/FL/Cape-Coral/311-SW-48th-Ter-33914/home/61821716,FORTMLS,223056247,N,Y,26.5621201,-81.9805399
MLS Listing,,Single Family Residential,19746 Tesoro Way,Estero,FL,33967,599000,3,2.5,THE RESERVE AT ESTERO,2495,7143,2015,110,240,400,Active,,,https://www.redfin.com/FL/Estero/19746-Tesoro-Way-33967/home/67636917,FORTMLS,223058605,N,Y,26.4508513,-81.797349
MLS Listing,,Single Family Residential,2214 Isle Of Pines Ave,Fort Myers,FL,33905,699900,4,2.0,FORT MYERS,2122,8145,2019,1,330,,Active,,,https://www.redfin.com/FL/Fort-Myers/2214-Isle-of-Pines-Ave-33905/home/61907971,FORTMLS,223034750,N,Y,26.7141635,-81.7538766
MLS Listing,,Condo/Co-op,16260 Fairway Woods Dr #1501,Fort Myers,FL,33908,389900,3,2.0,FM18 - Fort Myers Area,1937,11133,1990,1,201,933,Active,,,https://www.redfin.com/FL/Fort-Myers/16260-Fairway-Woods-Dr-33908/unit-1501/home/61816060,NAPLESMLS,223089401,N,Y,26.5060693,-81.866861
MLS Listing,,Single Family Residential,2103 E 14th St,Lehigh Acres,FL,33972,389000,3,2.0,LEHIGH ACRES,1793,11020,2023,1,217,,Active,,,https://www.redfin.com/FL/Lehigh-Acres/2103-E-14th-St-33972/home/67806057,FORTMLS,223089533,N,Y,26.651601,-81.600667
MLS Listing,,Vacant Land,3602 E 15th St,Lehigh Acres,FL,33972,19500,,,LEHIGH ACRES,,10890,,1,,,Active,,,https://www.redfin.com/FL/Lehigh-Acres/3602-E-15th-St-33972/home/67795408,FORTMLS,223089142,N,Y,26.654965,-81.579996
MLS Listing,,Single Family Residential,4190 Bloomfield St,Fort Myers,FL,33916,530000,3,2.0,LINDSFORD,1672,7287,2021,1,317,228,Active,,,https://www.redfin.com/FL/Fort-Myers/4190-Bloomfield-St-33916/home/144019371,FORTMLS,223089498,N,Y,26.620698,-81.829644
MLS Listing,,Condo/Co-op,3344 N Key Dr #7,North Fort Myers,FL,33903,159000,1,1.0,PALMS AT WATERS EDGE,791,3267,1974,1,201,694,Active,,,https://www.redfin.com/FL/North-Fort-Myers/3344-N-Key-Dr-33903/unit-7/home/67652850,FORTMLS,223089532,N,Y,26.6587641,-81.8862401
MLS Listing,,Vacant Land,925 Kanuga St E,Lehigh Acres,FL,33974,25000,,,LEHIGH ACRES,,10105,,1,,,Active,,,https://www.redfin.com/FL/Lehigh-Acres/925-Kanuga-St-E-33974/home/67803922,FORTMLS,223089530,N,Y,26.557006,-81.592354
MLS Listing,,Single Family Residential,1334 NE 9th Ave,Cape Coral,FL,33909,535000,4,3.0,CAPE CORAL,1822,10018,2022,1,294,,Active,,,https://www.redfin.com/FL/Cape-Coral/1334-NE-9th-Ave-33909/home/62086429,FORTMLS,223089518,N,Y,26.6782213,-81.9550655
MLS Listing,,Vacant Land,8241 Bartholomew Dr,North Fort Myers,FL,33917,99900,,,SUNCOAST ESTATES UNREC,,49222,,1,,,Active,,,https://www.redfin.com/FL/North-Fort-Myers/8241-Bartholomew-Dr-33917/home/67861926,FORTMLS,223089521,N,Y,26.718541,-81.8594339
MLS Listing,,Single Family Residential,10470 Trevi Isle Way,Miromar Lakes,FL,33913,5995000,4,4.5,FM21 - Fort Myers Area,4443,20908,2020,1,1349,995,Active,,,https://www.redfin.com/FL/Miromar-Lakes/10470-Trevi-Isle-Way-33913/home/145110997,BEARMLS,223088446,N,Y,26.4859885,-81.7817353
MLS Listing,,Single Family Residential,106 NW 18th Pl,Cape Coral,FL,33993,769999,4,2.5,CAPE CORAL,2194,10018,2023,1,351,,Active,December-8-2023 03:00 PM,December-8-2023 05:00 PM,https://www.redfin.com/FL/Cape-Coral/106-NW-18th-Pl-33993/home/61984436,FORTMLS,223089500,N,Y,26.654421,-82.01231
