SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Townhouse,4067 Brewster Rd Unit A,Tallahassee,FL,32308,199000,2,1.0,BREWSTER ESTATES UNREC,858,9147,1979,14,232,10,Active,,,https://www.redfin.com/FL/Tallahassee/4067-Brewster-Rd-32308/unit-A/home/139220328,CATRS,365853,N,Y,30.4650134,-84.2205311
MLS Listing,,Single Family Residential,6714 Hill Gail Trl,Tallahassee,FL,32309,184900,3,2.0,,1290,13504,1981,17,143,,Active,,,https://www.redfin.com/FL/Tallahassee/6714-Hill-Gail-Trl-32309/home/139221960,CPARMLS,749409,N,Y,30.5469924,-84.2060786
MLS Listing,,Single Family Residential,715 S Lewis Blvd,Tallahassee,FL,32305,246500,5,3.0,[No Recorded Subdiv],2233,23958,1958,185,110,,Active,,,https://www.redfin.com/FL/Tallahassee/715-Lewis-Blvd-S-32305/home/139233822,CPARMLS,742291,N,Y,30.3821014,-84.2712314
MLS Listing,,Single Family Residential,223 Cactus St,Tallahassee,FL,32304,190000,3,2.0,BLOXHAM TERRACE,1198,20037,1986,2,159,,Active,,,https://www.redfin.com/FL/Tallahassee/223-Cactus-St-32304/home/139485218,CATRS,366193,N,Y,30.4457709,-84.3331488
MLS Listing,,Single Family Residential,3106 Persimmon Dr,Tallahassee,FL,32312,815000,4,2.5,PERSIMMON HILL,2670,23086,2020,2,305,117,Active,,,https://www.redfin.com/FL/Tallahassee/3106-Persimmon-Dr-32312/home/139751314,CATRS,366192,N,Y,30.5537658,-84.2254302
MLS Listing,,Single Family Residential,1517 Pine St,Tallahassee,FL,32303,359900,3,2.0,--,1409,11761,1992,2,255,,Active,,,https://www.redfin.com/FL/Tallahassee/1517-Pine-St-32303/home/139319849,CATRS,366190,N,Y,30.4608421,-84.2714371
MLS Listing,,Single Family Residential,3073 Reed Ln,Tallahassee,FL,32301,264900,3,2.0,Metes & Bounds,1040,,1997,2,255,,Active,,,https://www.redfin.com/FL/Tallahassee/3073-Reed-Ln-32301/home/139443692,NEFLMLS,1259949,N,Y,30.433425,-84.2290836
MLS Listing,,Townhouse,1336 Mosswood Chase,Tallahassee,FL,32312,305000,3,2.0,Villages at Maclay,1600,4791,1998,2,191,12,Active,,,https://www.redfin.com/FL/Tallahassee/1336-Mosswood-Chase-32312/home/139771422,CATRS,366189,N,Y,30.5111153,-84.2544887
MLS Listing,,Townhouse,2441 Talco Hills Dr Unit D,Tallahassee,FL,32303,145000,2,2.0,Talco Hills,896,2613,1983,2,162,,Active,,,https://www.redfin.com/FL/Tallahassee/2441-Talco-Hills-Dr-32303/unit-D/home/139720890,CATRS,366182,N,Y,30.4755307,-84.3249093
