SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,00000 NW Twin Oaks Dr Lot 6,Bristol,FL,32321,320000,4,2.0,No Named Subdivision,1695,14375,2024,20,189,,Active,,,https://www.redfin.com/FL/Unknown/NW-Twin-Oaks-Dr-32321/unit-6/home/188575088,CPARMLS,749258,N,Y,30.430673,-84.956742
MLS Listing,,Single Family Residential,12946 NW Myers Ann St,Bristol,FL,32321,185000,4,4.0,No Named Subdivision,3097,30492,1989,172,60,,Active,,,https://www.redfin.com/FL/Bristol/12946-NW-Myers-Ann-St-32321/home/142348233,CPARMLS,742816,N,Y,30.4258717,-84.9761668
MLS Listing,,Single Family Residential,00000 NW Twin Oaks Dr Lot 21,Bristol,FL,32321,320000,4,2.0,No Named Subdivision,1965,14375,2024,19,163,,Active,,,https://www.redfin.com/FL/Unknown/NW-Twin-Oaks-Dr-32321/unit-21/home/188583930,CPARMLS,749304,N,Y,30.430905,-84.95617
MLS Listing,,Vacant Land,XXX Hwy 20 Hwy,Bristol,FL,32321,195000,,,No Named Subdivision,,100188,,650,,,Active,,,https://www.redfin.com/FL/Bristol/XXX-Hwy-20-HWY-32321/home/178376889,CPARMLS,708297,N,Y,30.431386,-84.984684
MLS Listing,,Vacant Land,XX NE Big Creek Rd,Hosford,FL,32334,104900,,,,,570636,,111,,,Active,,,https://www.redfin.com/FL/Hosford/Unknown-32334/home/183583362,CPARMLS,745234,N,Y,30.382288,-84.785781
MLS Listing,,Mobile/Manufactured Home,12289 NW Rock Bluff Rd,Bristol,FL,32321,154900,3,2.0,No Named Subdivision,1512,53579,1994,222,102,,Active,,,https://www.redfin.com/FL/Bristol/12289-NW-Rock-Bluff-Rd-32321/home/142345898,CPARMLS,740642,N,Y,30.4372394,-84.977589
MLS Listing,,Vacant Land,0000 Cr 12 NW,Bristol,FL,32321,169000,,,No Named Subdivision,,130680,,650,,,Active,,,https://www.redfin.com/FL/Bristol/Unknown-32321/home/142349012,CPARMLS,709014,N,Y,30.43088,-84.982761
MLS Listing,,Mobile/Manufactured Home,16045 NE R & P Rd,Hosford,FL,32334,799000,3,2.0,No Named Subdivision,1280,4922280,2021,147,624,,Active,,,https://www.redfin.com/FL/Hosford/16045-NE-R-P-RD-32334/home/186056845,CPARMLS,743767,N,Y,30.38498,-84.788423
MLS Listing,,Vacant Land,0 NE State Road 20,Hosford,FL,32334,799000,,,,,4937526,,279,,,Active,,,https://www.redfin.com/FL/Hosford/0-NE-State-Road-20-32334/home/184548318,CPARMLS,738080,N,Y,30.384524,-84.783457
