SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,NE Papaya St,Madison,FL,32340,34900,,,MADISON,,208652,,1,,,Active,,,https://www.redfin.com/FL/Madison/Ne-Papaya-St-32340/home/142371091,Stellar MLS as Distributed by MLS Grid,T3489580,N,Y,30.604771,-83.393828
MLS Listing,,Vacant Land,Vacant NE Cedar Trl,Pinetta (madison County),FL,32350,150000,,,,,523155,,3,,,Active,,,https://www.redfin.com/FL/Pinetta/Vacant-Cedar-TRL-32350/home/187743167,CATRS,366151,N,Y,30.57299211,-83.30211911
MLS Listing,,Vacant Land,TBD NE Chervil Dr,Lee,FL,32059,32500,,,Riverwood,200,75185,,4,163,,Active,,,https://www.redfin.com/FL/Lee/TBD-NE-Chervil-Dr-32059/home/187740242,NFMLS,121725,N,Y,30.501615,-83.243934
MLS Listing,,Vacant Land,1262 NW Hawks Ave,Greenville,FL,32331,250000,,,No,,710899,,5,,,Active,,,https://www.redfin.com/FL/Greenville/1262-NW-Hawks-Ave-32331/home/188758490,CATRS,366082,N,Y,30.61603,-83.5120929
MLS Listing,,Single Family Residential,301 SE Balboa Dr,Madison,FL,32340,225000,3,1.5,,1449,34848,1976,7,155,,Active,,,https://www.redfin.com/FL/Madison/301-SE-Balboa-Dr-32340/home/142380173,CATRS,365973,N,Y,30.4035366,-83.3590074
MLS Listing,,Single Family Residential,431 SW Pinckney Street St,Madison,FL,32340,334900,3,3.0,,2790,9583,1936,7,120,,Active,,,https://www.redfin.com/FL/Madison/431-SW-Pinckney-St-32340/home/142376489,CATRS,365968,N,Y,30.4683463,-83.4156135
MLS Listing,,Vacant Land,Vacant NE Briarwood Way,Pinetta (madison County),FL,32350,75000,,,Summerwood Estates,,80150,,7,,,Active,,,https://www.redfin.com/FL/Unknown/Vacant-Briarwood-Way-32350/home/188700742,CATRS,365944,N,Y,30.584183,-83.356647
MLS Listing,,Single Family Residential,235 SW Valentine Ave,Madison,FL,32340,115999,3,1.0,,888,6098,1948,8,131,,Active,,,https://www.redfin.com/FL/Madison/235-SW-Valentine-Ave-32340/home/142385552,CATRS,365938,N,Y,30.458771,-83.4181849
MLS Listing,,Vacant Land,NE Chervil Dr,Lee,FL,32059,39900,,,LEE,,168142,,10,,,Active,,,https://www.redfin.com/FL/Lee/Ne-Chervil-Dr-32059/home/142387094,Stellar MLS as Distributed by MLS Grid,T3488039,N,Y,30.49325,-83.247834
