SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,8304 SW 79th Cir,Ocala,FL,34476,335000,3,2.0,INDIGO EAST PH 01 UN A-A & B-B,2013,10019,2004,67,166,208,Active,,,https://www.redfin.com/FL/Ocala/8304-SW-79th-Cir-34476/home/139267038,Stellar MLS as Distributed by MLS Grid,O6144964,N,Y,29.1025985,-82.2509664
MLS Listing,,Single Family Residential,8676 SW 95th Ln Unit C,Ocala,FL,34481,194900,2,2.0,ON TOP OF THE WORLD,1409,1888,1985,73,138,425,Active,,,https://www.redfin.com/FL/Ocala/8676-SW-95th-Ln-34481/unit-C/home/140050494,Stellar MLS as Distributed by MLS Grid,O6143400,N,Y,29.0833626,-82.2632895
MLS Listing,,Single Family Residential,4518 NW 1st Ter,Ocala,FL,34475,289000,3,2.0,ST JAMES PARK,1512,5663,2019,81,191,65,Active,,,https://www.redfin.com/FL/Ocala/4518-NW-1st-Ter-34475/home/140443670,Stellar MLS as Distributed by MLS Grid,O6140043,N,Y,29.233416,-82.1380006
MLS Listing,,Single Family Residential,11585 SE 175th St,Summerfield,FL,34491,309900,3,2.0,FAIRWAYS/STONECREST,1560,6534,1997,97,199,120,Active,,,https://www.redfin.com/FL/Summerfield/11585-SE-175th-St-34491/home/140387381,Stellar MLS as Distributed by MLS Grid,O6136422,N,Y,28.9675658,-81.9617706
MLS Listing,,Vacant Land,Lot 31 SW Marine Blvd,Dunnellon,FL,34431,19900,,,,,43124,,557,,,Active,,,https://www.redfin.com/FL/Unknown/Lot-31-SW-Marine-Blvd-34431/home/179618747,CPARMLS,727169,N,Y,29.141868,-82.494964
MLS Listing,,Vacant Land,0 NE 130th Court Rd,Fort Mccoy,FL,32134,133500,,,,,435600,,29,,,Active,,,https://www.redfin.com/FL/Fort-McCoy/NE-130th-Court-Rd-32134/home/177517928,CPARMLS,748863,N,Y,29.474549,-81.940175
MLS Listing,,Vacant Land,Lot 3 SW Barnacle Dr,Dunnellon,FL,34431,19900,,,,,43124,,557,,,Active,,,https://www.redfin.com/FL/Unknown/Lot-3-SW-Barnacle-Dr-34431/home/179632870,CPARMLS,727182,N,Y,29.14835,-82.516217
MLS Listing,,Vacant Land,Lot 7 NW Redwing Rd,Dunnellon,FL,34431,19900,,,,,43996,,557,,,Active,,,https://www.redfin.com/FL/Unknown/Lot-7-Redwing-Rd-34431/home/179639418,CPARMLS,727185,N,Y,29.18213,-82.523379
MLS Listing,,Single Family Residential,5080 NW 18th St,Ocala,FL,34482,299900,3,2.0,OCALA PALMS UN I,1712,8712,1997,1,175,274,Active,,,https://www.redfin.com/FL/Ocala/5080-NW-18th-St-34482/home/139399644,Stellar MLS as Distributed by MLS Grid,OM668611,N,Y,29.2055472,-82.2044554
MLS Listing,,Single Family Residential,8677 SW 97th Lane Rd Unit D,Ocala,FL,34481,195000,2,2.0,CIRCLE SQUARE WOODS - AMERICANA VILLAGE,1718,2560,1984,1,114,440,Active,,,https://www.redfin.com/FL/Ocala/8677-SW-97th-Lane-Rd-34481/unit-D/home/139737317,Stellar MLS as Distributed by MLS Grid,OM668542,N,Y,29.0788002,-82.2638889
MLS Listing,,Single Family Residential,1829 SW 35th Ave,Ocala,FL,34474,210500,2,2.0,PADDOCK VILLAS,1052,1307,1986,1,200,212,Active,,,https://www.redfin.com/FL/Ocala/1829-SW-35th-Ave-34474/home/139448930,Stellar MLS as Distributed by MLS Grid,G5076044,N,Y,29.1699246,-82.1805496
MLS Listing,,Single Family Residential,21900 NE 106th Ave,Fort Mc Coy,FL,32134,270000,2,2.0,PEGRAM LAKE,1074,16117,1954,1,251,,Active,,,https://www.redfin.com/FL/Fort-Mc-Coy/21900-NE-106th-Ave-32134/home/139307268,Stellar MLS as Distributed by MLS Grid,GC517895,N,Y,29.4685798,-81.9845912
MLS Listing,,Single Family Residential,5624 NW 37th Lane Rd,Ocala,FL,34482,349300,2,2.0,OCALA PRESERVE PH 1B & 1C,1454,5663,2017,1,240,498,Active,,,https://www.redfin.com/FL/Ocala/5624-NW-37th-Lane-Rd-34482/home/140964305,Stellar MLS as Distributed by MLS Grid,V4933550,N,Y,29.226879,-82.213283
MLS Listing,,Single Family Residential,1106 NE 33rd St,Ocala,FL,34479,179900,3,1.0,C R ACRES,864,11326,1960,1,208,,Active,,,https://www.redfin.com/FL/Ocala/1106-NE-33rd-St-34479/home/140484077,Stellar MLS as Distributed by MLS Grid,O6161547,N,Y,29.2208547,-82.1234819
MLS Listing,,Single Family Residential,4051 NW 19th Ave,Ocala,FL,34475,140000,3,1.0,COMM MLK AVE/ NW GAINSVILLE RD,1216,10019,1980,1,115,,Active,,,https://www.redfin.com/FL/Ocala/4051-NW-19th-Ave-34475/home/140168220,Stellar MLS as Distributed by MLS Grid,G5075958,N,Y,29.2290056,-82.1562139
MLS Listing,,Single Family Residential,14300 SE 94th Ave,Summerfield,FL,34491,125000,2,1.5,LITTLE LAKE WEIR ADD 01,840,8276,1987,1,149,,Active,,,https://www.redfin.com/FL/Summerfield/14300-SE-94th-Ave-34491/home/140370655,Stellar MLS as Distributed by MLS Grid,OM668884,N,Y,29.0142134,-81.9976752
MLS Listing,,Vacant Land,25321 NE 140th LOT 347 Pl Lot 347,Salt Springs,FL,32134,80700,,,99-Other (See Remarks),,,,1,,198,Active,,,https://www.redfin.com/FL/Salt-Springs/25321-NE-140th-St-32134/unit-347/home/188811646,Daytona MLS,1116816,N,Y,29.3568869,-81.7378991
MLS Listing,,Single Family Residential,10115 E Highway 316,Fort Mc Coy,FL,32134,400000,4,2.0,SHADY ACRES,1672,235224,1981,1,239,,Active,,,https://www.redfin.com/FL/Fort-Mc-Coy/10115-E-Highway-316-32134/home/139849902,Stellar MLS as Distributed by MLS Grid,O6161515,N,Y,29.3628336,-81.9902742
MLS Listing,,Single Family Residential,9126 SE 125th Loop,Summerfield,FL,34491,454500,2,2.0,SPRUCE CREEK GC,1757,9583,2003,1,259,184,Active,,,https://www.redfin.com/FL/Summerfield/9126-SE-125th-Loop-34491/home/140796596,Stellar MLS as Distributed by MLS Grid,OM668853,N,Y,29.0435053,-81.999858
MLS Listing,,Single Family Residential,10 Pecan Run Hbr,Ocala,FL,34472,299000,4,2.0,SILVER SPGS SHORES UN 26,1636,10454,2023,1,183,,Active,,,https://www.redfin.com/FL/Ocala/10-Pecan-Run-34472/home/139634516,Stellar MLS as Distributed by MLS Grid,S5095667,N,Y,29.1482384,-82.037074
MLS Listing,,Vacant Land,Oak Run,Ocala,FL,34472,35000,,,OCALA,,10019,,2,,,Active,,,https://www.redfin.com/FL/Unknown/Oak-Run-34472/home/177521199,Stellar MLS as Distributed by MLS Grid,V4933537,N,Y,29.070779,-82.006469
MLS Listing,,Single Family Residential,5070 SW 129th Ct,Ocala,FL,34481,475000,3,2.0,ROLLING HILLS,1799,51401,2023,2,264,,Active,,,https://www.redfin.com/FL/Ocala/5070-SW-129th-Ct-34481/home/188810839,Stellar MLS as Distributed by MLS Grid,O6161463,N,Y,29.1372773,-82.334574
MLS Listing,,Single Family Residential,3265 SE 148th Pl,Summerfield,FL,34491,245000,2,2.0,BELLEVIEW HEIGHTS ESTATE,1092,12632,2005,2,224,,Active,,,https://www.redfin.com/FL/Summerfield/3265-SE-148th-Pl-34491/home/140547036,Stellar MLS as Distributed by MLS Grid,T3489583,N,Y,29.0064509,-82.0917133
MLS Listing,,Single Family Residential,451 Marion Oaks Dr,Ocala,FL,34473,330000,3,2.0,Marion Oaks Unit 05,,,2022,2,,,Active,,,https://www.redfin.com/FL/Ocala/451-Marion-Oaks-Dr-34473/home/139614565,MARMLS,A11494938,N,Y,28.995234,-82.192445
MLS Listing,,Vacant Land,0 SW 49 Ave,Ocala,FL,34476,59500,,,KINGSLAND COUNTRY ESTATE,,21780,,2,,5,Active,,,https://www.redfin.com/FL/Ocala/0-SW-49th-Ave-34474/home/179803332,Stellar MLS as Distributed by MLS Grid,OM668878,N,Y,29.1861418,-82.2020233
MLS Listing,,Single Family Residential,13580 SE Highway 464c,Ocklawaha,FL,32179,139900,2,1.0,OKLAWAHA TERRACE,1025,4792,1962,2,136,,Active,,,https://www.redfin.com/FL/Ocklawaha/13580-SE-Highway-464C-32179/home/139525404,Stellar MLS as Distributed by MLS Grid,OM668828,N,Y,29.0511417,-81.9280776
MLS Listing,,Single Family Residential,4016 SE 17th Ln,Ocala,FL,34471,359900,3,2.0,COUNTRY ESTATE,1844,14810,1979,2,195,,Active,,,https://www.redfin.com/FL/Ocala/4016-SE-17th-Ln-34471/home/139785255,Stellar MLS as Distributed by MLS Grid,A4588060,N,Y,29.1700608,-82.0800995
MLS Listing,,Single Family Residential,9932 SW 75 Street Rd,Ocala,FL,34481,449000,2,2.0,STONECREEK,1904,7841,2008,2,236,433,Active,,,https://www.redfin.com/FL/Ocala/9932-SW-75th-Street-Rd-34481/home/139712584,Stellar MLS as Distributed by MLS Grid,OM668748,N,Y,29.1116961,-82.2845916
MLS Listing,,Vacant Land,TBD SW 171 Pl,Ocala,FL,34471,42000,,,MARION OAKS,,16553,,2,,,Active,,,https://www.redfin.com/FL/OCALA/TBD-SW-171-PL-34471/home/188810042,Stellar MLS as Distributed by MLS Grid,O6161473,N,Y,28.97253,-82.195104
MLS Listing,,Vacant Land,11539 SE 60th Ave,Belleview,FL,34420,80000,,,FLOYDS 01,,7841,,2,,,Active,,,https://www.redfin.com/FL/Belleview/11539-SE-60th-Ave-34420/home/140132185,Stellar MLS as Distributed by MLS Grid,OM668743,N,Y,29.0546662,-82.0500993
MLS Listing,,Single Family Residential,3278 NE 104th Ave,Silver Springs,FL,34488,174900,1,1.0,TOWN PARK AT THE WILDERNESS RV PARK ESTATES,846,4356,2015,2,207,226,Active,,,https://www.redfin.com/FL/Silver-Springs/3278-NE-104th-Ave-34488/home/140506218,Stellar MLS as Distributed by MLS Grid,OM668850,N,Y,29.2196147,-81.9803588
MLS Listing,,Multi-Family (5+ Unit),20601 W Pennsylvania Ave,Dunnellon,FL,34431,400000,36,42.0,TOWN DUNNELLON,3509,6098,1918,2,114,,Active,,,https://www.redfin.com/FL/Dunnellon/20601-W-Pennsylvania-Ave-34431/home/140314428,Stellar MLS as Distributed by MLS Grid,OM668861,N,Y,29.0496228,-82.4619691
MLS Listing,,Multi-Family (2-4 Unit),20602 Walnut St,Dunnellon,FL,34431,275000,4,2.0,DUNNELLON TOWNSHIP,2129,6098,1918,2,129,,Active,,,https://www.redfin.com/FL/Dunnellon/20602-Walnut-St-34431/home/139936759,Stellar MLS as Distributed by MLS Grid,OM668874,N,Y,29.050165,-82.4619691
MLS Listing,,Single Family Residential,22851 NE 112th Ter,Fort Mc Coy,FL,32134,224999,3,2.0,THREE LAKES ESTATE,1188,18731,2004,2,189,,Active,,,https://www.redfin.com/FL/Fort-Mc-Coy/22851-NE-112th-Ter-32134/home/140166418,Stellar MLS as Distributed by MLS Grid,OM668872,N,Y,29.4821691,-81.9719974
MLS Listing,,Vacant Land,0000 SW 51st Ter,Ocala,FL,34473,27000,,,MARION OAKS,,32670,,2,,,Active,,,https://www.redfin.com/FL/Unknown/SW-51st-Ter-34476/home/177515541,Stellar MLS as Distributed by MLS Grid,OM668871,N,Y,29.003534,-82.207196
MLS Listing,,Single Family Residential,9934 SW 63rd Loop,Ocala,FL,34481,438500,3,2.0,STONE CREEK DEL WEBB,1958,13068,2008,2,224,217,Active,,,https://www.redfin.com/FL/Ocala/9934-SW-63rd-Loop-34481/home/139295441,Stellar MLS as Distributed by MLS Grid,OM668801,N,Y,29.1166349,-82.2844879
MLS Listing,,Vacant Land,2631 NW 142nd Pl,Citra,FL,32113,17000,,,CITRA,,18731,,2,,,Active,,,https://www.redfin.com/FL/Citra/2631-NW-142nd-Pl-32113/home/140260390,Stellar MLS as Distributed by MLS Grid,OM668870,N,Y,29.356297,-82.171379
MLS Listing,,Single Family Residential,5727 SE 162nd Ter,Ocklawaha,FL,32179,213900,3,2.0,WOODS & LAKES SUB,1274,12197,2024,2,168,,Active,,,https://www.redfin.com/FL/Ocklawaha/5727-SE-162nd-Ter-32179/home/140477209,Stellar MLS as Distributed by MLS Grid,OM668663,N,Y,29.130036,-81.882471
MLS Listing,,Single Family Residential,18968 SE 55th Pl,Ocklawaha,FL,32179,208900,3,2.0,WINDING WATERS,1264,16988,2024,2,165,,Active,,,https://www.redfin.com/FL/Ocklawaha/18968-SE-55th-Pl-32179/home/139520992,Stellar MLS as Distributed by MLS Grid,OM668668,N,Y,29.134336,-81.838417
MLS Listing,,Vacant Land,5145 NW 190th St,Orange Lake,FL,32681,13000,,,ORANGE LAKE,,11326,,2,,,Active,,,https://www.redfin.com/FL/Orange-Lake/5145-NW-190-St-32681/home/140730023,Stellar MLS as Distributed by MLS Grid,OM668868,N,Y,29.425647,-82.209367
MLS Listing,,Single Family Residential,4295 SW 183rd Ter,Dunnellon,FL,34432,249000,3,1.5,Town of Dunnellon,1434,101930,1971,2,174,,Active,,,https://www.redfin.com/FL/Dunnellon/4295-SW-183rd-Ter-34432/home/140026622,RACC,828337,N,Y,29.1459463,-82.4253998
MLS Listing,,Single Family Residential,14 Fir Trail Way,Ocala,FL,34472,275000,3,2.0,SILVER SPGS SHORES UN #20,1270,10454,2023,2,217,,Active,,,https://www.redfin.com/FL/Ocala/14-Fir-Trail-Way-34472/home/139659922,Stellar MLS as Distributed by MLS Grid,O6161436,N,Y,29.135422,-82.028104
MLS Listing,,Vacant Land,78 NW 45th Loop,Ocala,FL,34475,70000,,,ST JAMES PARK,,11761,,2,,75,Active,,,https://www.redfin.com/FL/Ocala/78-NW-45th-Loop-34475/home/188808276,Stellar MLS as Distributed by MLS Grid,O6161434,N,Y,29.2331064,-82.135405
