SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,6761 SE Lillian Ct,Stuart,FL,34997,459900,3,2.0,Duckwood P.u.d.,1544,8573,1987,47,298,139,Active,,,https://www.redfin.com/FL/Stuart/6761-SE-Lillian-Ct-34997/home/104436877,Beaches MLS,RX-10928642,N,Y,27.1220757,-80.2029521
MLS Listing,,Townhouse,6641 SE Woodmill Pond Ln,Stuart,FL,34997,449000,3,2.5,Woodmill Pond Condo,2256,,2010,60,199,464,Active,,,https://www.redfin.com/FL/Stuart/6641-SE-Woodmill-Pond-Ln-34997/home/91627077,Beaches MLS,RX-10925003,N,Y,27.12347,-80.187872
MLS Listing,,Single Family Residential,604 SW 11th Ct,Palm City,FL,34990,479000,2,2.0,Webb & Hower,1296,6783,1980,76,370,,Active,,,https://www.redfin.com/FL/Palm-City/604-SW-11th-Ct-34990/home/110706400,Beaches MLS,RX-10920782,N,Y,27.1976128,-80.2684806
MLS Listing,,Single Family Residential,4174 SE Oakland St,Stuart,FL,34997,548000,3,2.5,Ferguson Minor NO 1,2007,15000,1975,1,273,,Active,,,https://www.redfin.com/FL/Stuart/4174-SE-Oakland-St-34997/home/91638866,Beaches MLS,RX-10935937,N,Y,27.1635124,-80.1973854
MLS Listing,,Condo/Co-op,8420 SE Croft Cir #8,Hobe Sound,FL,33455,239000,2,2.0,Pinecroft Condo,1117,,1987,1,214,374,Active,,,https://www.redfin.com/FL/Hobe-Sound/8420-SE-Croft-Cir-33455/unit-8/home/188811741,Beaches MLS,RX-10940358,N,Y,27.0767327,-80.1458676
MLS Listing,,Single Family Residential,1345 NW Pine Ridge Trl,Stuart,FL,34994,1199000,4,3.0,NORTH RIVER SHORES,2448,16596,2019,1,490,18,Active,,,https://www.redfin.com/FL/Stuart/1345-NW-Pine-Ridge-Trl-34994/home/110696976,MCRTC,M20042147,N,Y,27.2245063,-80.2713113
MLS Listing,,Multi-Family (2-4 Unit),3763 SE Dixie Ross St,Stuart,FL,34997,549888,,,Vista Salerno 01 & 02 Add/Vi,2316,19994,1985,1,237,,Active,,,https://www.redfin.com/FL/Stuart/3763-SE-Dixie-Ross-St-34997/home/108391665,MCRTC,M20042116,N,Y,27.1295346,-80.2033101
MLS Listing,,Single Family Residential,101 SE Rocky Ter #9,Stuart,FL,34997,779084,4,3.0,Salerno Reserve AT Showcase Pud,2162,,2024,1,360,300,Active,,,https://www.redfin.com/FL/Stuart/101-SE-Rocky-TER-Unknown/unit-9/home/188811695,Beaches MLS,RX-10940353,N,Y,27.124044,-80.252024
MLS Listing,,Single Family Residential,105 SE Rocky Ter #8,Stuart,FL,34997,854728,4,4.0,Salerno Reserve AT Showcase Pud,3152,,2024,1,271,300,Active,,,https://www.redfin.com/FL/Stuart/105-SE-Rocky-TER-Unknown/unit-8/home/188811691,Beaches MLS,RX-10940351,N,Y,27.123794,-80.251806
MLS Listing,,Single Family Residential,109 SE Rocky Ter #7,Stuart,FL,34997,726755,3,2.5,Salerno Reserve AT Showcase Pud,2026,,2024,1,359,300,Active,,,https://www.redfin.com/FL/Stuart/109-SE-Rocky-TER-Unknown/unit-7/home/188811683,Beaches MLS,RX-10940348,N,Y,27.123713,-80.251509
MLS Listing,,Single Family Residential,113 SE Rocky Ter #6,Stuart,FL,34997,899995,5,4.5,Salerno Reserve AT Showcase Pud,3562,,2023,1,253,300,Active,,,https://www.redfin.com/FL/Stuart/113-SE-Rocky-TER-Unknown/unit-6/home/188811675,Beaches MLS,RX-10940344,N,Y,27.124143,-80.251591
MLS Listing,,Single Family Residential,117 SE Rocky Ter #5,Stuart,FL,34997,769995,4,3.0,Salerno Reserve AT Showcase Pud,2162,,2023,1,356,300,Active,,,https://www.redfin.com/FL/Stuart/117-SE-Rocky-TER-Unknown/unit-5/home/188811671,Beaches MLS,RX-10940341,N,Y,27.123579,-80.251537
MLS Listing,,Mobile/Manufactured Home,2585 SW Marquis Ter,Stuart,FL,34997,220000,2,2.0,ST Lucie Falls (aka River Forest),1294,6050,1992,2,170,159,Active,,,https://www.redfin.com/FL/Stuart/2585-SW-Marquis-Ter-34997/home/110874229,Beaches MLS,RX-10940259,N,Y,27.0931745,-80.2889897
MLS Listing,,Condo/Co-op,1411 NE 14th Ct Unit P-14,Jensen Beach,FL,34957,255000,2,2.0,Beacon 21 Condo,1089,,1983,2,234,525,Active,,,https://www.redfin.com/FL/Jensen-Beach/1411-NE-14th-Ct-34957/unit-P-14/home/110679042,Beaches MLS,RX-10940249,N,Y,27.2225805,-80.2323343
MLS Listing,,Single Family Residential,1711 SW Shady Lake Ter,Palm City,FL,34990,465000,2,2.0,Cypress Lake Ph 01 Cypress Pointe PUD,1540,4748,1995,2,302,289,Active,,,https://www.redfin.com/FL/Palm-City/1711-SW-Shady-Lake-Ter-34990/home/110776316,MCRTC,M20042209,N,Y,27.1763898,-80.275017
MLS Listing,,Condo/Co-op,1965 SW Silver Pine Way Unit 118-G1,Palm City,FL,34990,234900,2,2.0,Pine Ridge At Martin Downs Condo 14,1111,,1992,2,211,360,Active,,,https://www.redfin.com/FL/Palm-City/1965-SW-Silver-Pine-Way-34990/unit-118-G1/home/110952406,MCRTC,M20042104,N,Y,27.1717114,-80.2796433
