countycode,place,year,realmediansalesprice,numberofsales
11,Alachua County,2000,162884,3074
11,Alachua County,2001,168225,3292
11,Alachua County,2002,180560,3390
11,Alachua County,2003,194681,3922
11,Alachua County,2004,215629,4064
11,Alachua County,2005,244072,4649
11,Alachua County,2006,268414,3937
11,Alachua County,2007,261158,2919
11,Alachua County,2008,234799,2141
11,Alachua County,2009,221744,1661
11,Alachua County,2010,212765,1578
11,Alachua County,2011,191430,1499
11,Alachua County,2012,185266,1688
11,Alachua County,2013,195839,2164
11,Alachua County,2014,199313,2243
11,Alachua County,2015,201236,2655
11,Alachua County,2016,201943,3277
11,Alachua County,2017,210363,3467
11,Alachua County,2018,221763,3676
11,Alachua County,2019,228159,3721
11,Alachua County,2020,228000,2250
12,Baker County,2000,118720,134
12,Baker County,2001,122783,157
12,Baker County,2002,131050,134
12,Baker County,2003,144312,177
12,Baker County,2004,163769,210
12,Baker County,2005,208365,270
12,Baker County,2006,236572,273
12,Baker County,2007,235042,223
12,Baker County,2008,191673,136
12,Baker County,2009,176914,97
12,Baker County,2010,171394,75
12,Baker County,2011,160480,79
12,Baker County,2012,162809,73
12,Baker County,2013,165966,101
12,Baker County,2014,160104,106
12,Baker County,2015,168603,157
12,Baker County,2016,174552,147
12,Baker County,2017,187118,255
12,Baker County,2018,197123,251
12,Baker County,2019,204163,229
12,Baker County,2020,,
13,Bay County,2000,149710,2629
13,Bay County,2001,160069,2848
13,Bay County,2002,169096,3160
13,Bay County,2003,191949,3801
13,Bay County,2004,221088,4539
13,Bay County,2005,270604,4171
13,Bay County,2006,270460,2666
13,Bay County,2007,254940,2279
13,Bay County,2008,233482,1551
13,Bay County,2009,210206,1395
13,Bay County,2010,195034,1143
13,Bay County,2011,187418,1202
13,Bay County,2012,190880,1379
13,Bay County,2013,198052,1779
13,Bay County,2014,200402,2075
13,Bay County,2015,209938,2450
13,Bay County,2016,211181,2872
13,Bay County,2017,220881,3477
13,Bay County,2018,224843,3133
13,Bay County,2019,223218,4633
13,Bay County,2020,230000,2661
14,Bradford County,2000,97311,136
14,Bradford County,2001,97585,125
14,Bradford County,2002,105040,170
14,Bradford County,2003,121825,190
14,Bradford County,2004,133745,263
14,Bradford County,2005,158732,290
14,Bradford County,2006,178708,184
14,Bradford County,2007,167887,139
14,Bradford County,2008,155734,79
14,Bradford County,2009,162132,65
14,Bradford County,2010,160756,63
14,Bradford County,2011,112795,54
14,Bradford County,2012,125419,72
14,Bradford County,2013,130560,97
14,Bradford County,2014,140265,59
14,Bradford County,2015,144129,130
14,Bradford County,2016,139534,155
14,Bradford County,2017,136736,169
14,Bradford County,2018,143736,215
14,Bradford County,2019,161213,215
14,Bradford County,2020,160000,135
15,Brevard County,2000,148811,8887
15,Brevard County,2001,157957,10004
15,Brevard County,2002,171102,11753
15,Brevard County,2003,183402,13798
15,Brevard County,2004,216994,14613
15,Brevard County,2005,280042,12376
15,Brevard County,2006,281969,10393
15,Brevard County,2007,248722,6835
15,Brevard County,2008,221622,4317
15,Brevard County,2009,185087,4408
15,Brevard County,2010,171394,4987
15,Brevard County,2011,151883,5692
15,Brevard County,2012,151469,6785
15,Brevard County,2013,171166,7554
15,Brevard County,2014,179708,8156
15,Brevard County,2015,195797,9787
15,Brevard County,2016,219130,13535
15,Brevard County,2017,226035,11461
15,Brevard County,2018,234084,12085
15,Brevard County,2019,237938,12275
15,Brevard County,2020,245950,6904
16,Broward County,2000,,
16,Broward County,2001,240322,34223
16,Broward County,2002,265108,35542
16,Broward County,2003,290305,36017
16,Broward County,2004,341186,36062
16,Broward County,2005,409206,31881
16,Broward County,2006,424552,23034
16,Broward County,2007,410391,14364
16,Broward County,2008,329438,10743
16,Broward County,2009,227152,16497
16,Broward County,2010,212765,17236
16,Broward County,2011,193149,18034
16,Broward County,2012,213224,19769
16,Broward County,2013,262226,22129
16,Broward County,2014,272286,22771
16,Broward County,2015,299135,23695
16,Broward County,2016,311508,24629
16,Broward County,2017,331322,23248
16,Broward County,2018,339319,23438
16,Broward County,2019,347833,23162
16,Broward County,2020,370000,14410
17,Calhoun County,2000,89826,64
17,Calhoun County,2001,83020,75
17,Calhoun County,2002,78816,77
17,Calhoun County,2003,79862,99
17,Calhoun County,2004,105290,78
17,Calhoun County,2005,105602,123
17,Calhoun County,2006,112532,103
17,Calhoun County,2007,118392,72
17,Calhoun County,2008,127582,55
17,Calhoun County,2009,121749,48
17,Calhoun County,2010,135638,26
17,Calhoun County,2011,114629,19
17,Calhoun County,2012,103300,20
17,Calhoun County,2013,131666,34
17,Calhoun County,2014,111637,34
17,Calhoun County,2015,106057,32
17,Calhoun County,2016,120307,45
17,Calhoun County,2017,93612,65
17,Calhoun County,2018,120635,46
17,Calhoun County,2019,142914,48
17,Calhoun County,2020,134000,53
18,Charlotte County,2000,145218,3743
18,Charlotte County,2001,155845,4200
18,Charlotte County,2002,174828,4981
18,Charlotte County,2003,194191,5238
