SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,17376 SW 282nd St,Homestead,FL,33030,950000,4,2.5,REDLANDS COVE,2331,18214,2004,3,408,,Active,,,https://www.redfin.com/FL/Homestead/17376-SW-282nd-St-33030/home/43313323,MARMLS,A11490735,N,Y,25.5043849,-80.4730202
MLS Listing,,Single Family Residential,13795 NW 22nd Pl,Opa-locka,FL,33054,445000,3,2.0,MONGIELLO MNR 1ST ADDN,1370,6090,1962,12,325,,Active,,,https://www.redfin.com/FL/Opa-Locka/13795-NW-22nd-Pl-33054/home/42880691,MARMLS,A11490301,N,Y,25.9005699,-80.2366187
MLS Listing,,Townhouse,3224 W 114th Ter,Hialeah,FL,33018,535000,3,2.5,AQUABELLA NORTH,1650,,2022,18,324,306,Active,,,https://www.redfin.com/FL/Hialeah/3224-W-114th-Ter-33018/home/170956862,MARMLS,A11485163,N,Y,25.926483,-80.3514749
MLS Listing,,Single Family Residential,20020 NE 21st Ct,Miami,FL,33179,2200000,4,3.0,HIGHLAND OAKS,3416,13500,1961,19,644,,Active,,,https://www.redfin.com/FL/Miami/20020-NE-21st-Ct-33179/home/42956560,MARMLS,A11477138,N,Y,25.960786,-80.158791
MLS Listing,,Condo/Co-op,1600 NE 1st Ave #3008,Miami,FL,33132,534700,2,2.0,CANVAS CONDO,882,,2018,19,606,852,Active,,,https://www.redfin.com/FL/Miami/1600-NE-1st-Ave-33132/unit-3008/home/168005422,MARMLS,A11485151,N,Y,25.7911395,-80.1927173
MLS Listing,,Single Family Residential,13063 SW 256th St,Homestead,FL,33032,575000,3,2.0,VESSEL,1527,6120,2015,26,377,,Active,,,https://www.redfin.com/FL/Homestead/13063-SW-256th-St-33032/home/43376829,MARMLS,A11479479,N,Y,25.5294333,-80.4032436
MLS Listing,,Single Family Residential,155 NW 124th St,North Miami,FL,33168,899000,3,2.5,OVERBROOK SHORES NO-2,1304,6840,1950,27,689,,Active,,,https://www.redfin.com/FL/North-Miami/155-NW-124th-St-33168/home/42866499,MARMLS,A11473312,N,Y,25.8890326,-80.2016504
MLS Listing,,Condo/Co-op,1600 NE 1st Ave #3619,Miami,FL,33132,437100,1,1.0,CANVAS CONDO,752,,2018,32,581,727,Active,,,https://www.redfin.com/FL/Miami/1600-NE-1st-Ave-33132/unit-3619/home/168005826,MARMLS,A11476941,N,Y,25.7911395,-80.1927173
MLS Listing,,Single Family Residential,12547 SW 73rd Ter,Miami,FL,33183,1895000,5,3.0,THE MANSIONS AT SUNSET 2N,3411,12700,1996,35,556,,Active,,,https://www.redfin.com/FL/Miami/12547-SW-73rd-Ter-33183/home/43148685,MARMLS,A11471818,N,Y,25.699328,-80.3969824
