SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,126 Pueblo St,Tavernier,FL,33070,1275000,3,2.0,INDIAN HARBOR,2597,6600,1989,1,491,13,Active,,,https://www.redfin.com/FL/Tavernier/126-Pueblo-St-33070/home/139420625,MARMLS,A11495030,N,Y,24.9852099,-80.5488148
MLS Listing,,Single Family Residential,113 Oleander Cir,Key Largo,FL,33037,4500000,4,4.5,Key Largo Beach Addition,2507,15375,1999,1,1795,,Active,,,https://www.redfin.com/FL/Key-Largo/113-Oleander-Cir-33037/home/139490596,FLKMLS,607660,N,Y,25.0861798,-80.4347601
MLS Listing,,Condo/Co-op,413 Porter Ln,Key West,FL,33040,1475000,2,2.5,Porter Court,1036,,1991,1,1424,1267,Active,,,https://www.redfin.com/FL/Key-West/413-Porter-Ln-33040/home/186305543,FLKMLS,607659,N,Y,24.554624,-81.805759
MLS Listing,,Vacant Land,31112 Hollerich Dr,Big Pine Key,FL,33043,490000,,,Hollerich Sub,,5400,,1,,,Active,,,https://www.redfin.com/FL/Big-Pine-Key/31112-Hollerich-Dr-33043/home/139676748,FLKMLS,607658,N,Y,24.6765168,-81.3463656
MLS Listing,,Single Family Residential,207 Russell St,Upper Matecumbe Key Islamorada,FL,33036,1495000,3,2.0,Coral View,1424,8100,1963,2,1050,,Active,,,https://www.redfin.com/FL/Islamorada/207-Russell-St-33036/home/139373298,FLKMLS,607656,N,Y,24.9340139,-80.6188373
MLS Listing,,Condo/Co-op,101 Gulfview Dr #308,Lower Matecumbe,FL,33036,1895000,3,2.5,Bay Harbour,2026,,2003,2,935,2087,Active,,,https://www.redfin.com/FL/Islamorada/101-Gulfview-Dr-33036/unit-308/home/139657277,FLKMLS,607657,N,Y,24.8574391,-80.7294539
MLS Listing,,Single Family Residential,6 Cypress Ave,Key Haven,FL,33040,3399000,3,2.5,Key Haven 7th Add,2144,6000,2020,2,1585,,Active,,,https://www.redfin.com/FL/Key-West/6-Cypress-Ave-33040/home/139632316,FLKMLS,607654,N,Y,24.5820238,-81.7380411
MLS Listing,,Single Family Residential,10 Cormorant Ln,Geiger Key,FL,33040,1450000,3,3.0,Boca Chica Ocean Shr,2562,13000,1973,2,566,,Active,,,https://www.redfin.com/FL/Key-West/10-Cormorant-Ln-33040/home/139487151,FLKMLS,607655,N,Y,24.5834647,-81.6498075
MLS Listing,,Single Family Residential,150 Valencia Dr,Plantation Key,FL,33036,2800000,2,2.0,Venetian Shores,990,10000,1971,2,2828,13,Active,,,https://www.redfin.com/FL/Islamorada/150-Valencia-Dr-33036/home/139546306,FLKMLS,607653,N,Y,24.9570907,-80.587391
MLS Listing,,Single Family Residential,164 Tortuga Ln,Cudjoe Key,FL,33042,1499000,3,2.0,Cudjoe Cove,1600,6000,1990,2,937,,Active,,,https://www.redfin.com/FL/Cudjoe-Key/164-Tortuga-Ln-33042/home/139521515,FLKMLS,607652,N,Y,24.6624738,-81.4844711
MLS Listing,,Single Family Residential,850 E 105th Street Ocean,Marathon,FL,33050,1450000,4,3.0,"Palms, The",2152,4306,2009,2,674,,Active,,,https://www.redfin.com/FL/Marathon/850-105th-Street-Ocean-E-33050/home/139476694,FLKMLS,607651,N,Y,24.7255916,-81.0401579
MLS Listing,,Condo/Co-op,15 Sombrero Blvd Unit 108W,Marathon,FL,33050,359000,1,1.0,Marathon Country C W,685,,1972,2,524,620,Active,,,https://www.redfin.com/FL/Marathon/15-Sombrero-Blvd-33050/unit-108W/home/139650737,FLKMLS,607650,N,Y,24.7130462,-81.0795619
MLS Listing,,Single Family Residential,322 Elizabeth St,Key West,FL,33040,3400000,3,3.0,Old Town - Unrecord,2446,4269,1924,2,1390,,Active,,,https://www.redfin.com/FL/Key-West/322-Elizabeth-St-33040/home/139170055,FLKMLS,607649,N,Y,24.5588219,-81.8016294
MLS Listing,,Single Family Residential,31011 Avenue C,Big Pine Key,FL,33043,725000,4,2.0,Sands Sub,1566,5000,2003,3,463,,Active,,,https://www.redfin.com/FL/Big-Pine-Key/31011-Avenue-C-33043/home/139510997,FLKMLS,607648,N,Y,24.6711307,-81.3479124
