SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,5460 Leonard St,Fernandina Beach,FL,32034,397500,,,American Beach,,5227,,123,,,Active,,,https://www.redfin.com/FL/Fernandina-Beach/5460-Leonard-St-32034/home/186317914,NEFLMLS,1240906,N,Y,30.5746615,-81.4481614
MLS Listing,,Single Family Residential,75468 Canterwood Dr,Yulee,FL,32097,509990,4,3.0,TRIBUTARY,2500,5400,2024,1,204,8,Active,,,https://www.redfin.com/FL/Yulee/75468-Canterwood-Dr-32097/home/184199029,Stellar MLS as Distributed by MLS Grid,G5076050,N,Y,30.600934,-81.688166
MLS Listing,,Single Family Residential,55104 Fawn Ct,Callahan,FL,32011,350000,3,2.0,Spring Lake Estates,1693,,1990,2,207,,Active,,,https://www.redfin.com/FL/Callahan/55104-Fawn-Ct-32011/home/139507245,NEFLMLS,1259951,N,Y,30.5631322,-81.784213
MLS Listing,,Single Family Residential,96769 O Neil Scott Rd,Fernandina Beach,FL,32034,3950000,4,3.0,Fernandina Beach,2334,,1988,2,1692,,Active,,,https://www.redfin.com/FL/Fernandina-Beach/96769-Oneil-Scott-Rd-32034/home/139553164,NEFLMLS,1259946,N,Y,30.6278804,-81.5100511
MLS Listing,,Single Family Residential,75597 Blackbird Dr,Yulee,FL,32097,509990,4,3.0,TRIBUTARY,2500,5400,2022,2,204,8,Active,,,https://www.redfin.com/FL/Yulee/75597-Blackbird-Dr-32097/home/184199035,Stellar MLS as Distributed by MLS Grid,G5076030,N,Y,30.602363,-81.689544
MLS Listing,,Single Family Residential,75227 Plumbago Trce,Yulee,FL,32097,499990,4,2.5,TRIBUTARY,2423,5400,2024,2,206,10,Active,,,https://www.redfin.com/FL/Yulee/75227-Plumbago-Trce-32097/home/180462589,Stellar MLS as Distributed by MLS Grid,G5076029,N,Y,30.6039083,-81.6908351
MLS Listing,,Single Family Residential,75277 Plumbago Trce,Yulee,FL,32097,499990,4,3.0,Tributary,2423,5850,2024,2,206,10,Active,,,https://www.redfin.com/FL/Yulee/75277-Plumbago-TRCE-Unknown/home/188810349,NEFLMLS,1259940,N,Y,30.602759,-81.690284
MLS Listing,,Single Family Residential,75662 Blackbird Dr,Yulee,FL,32097,499990,4,2.5,TRIBUTARY,2423,5400,2024,2,206,10,Active,,,https://www.redfin.com/FL/Yulee/75662-Blackbird-Dr-32097/home/181367527,Stellar MLS as Distributed by MLS Grid,G5076028,N,Y,30.6017913,-81.6884398
MLS Listing,,Single Family Residential,75484 Canterwood Dr,Yulee,FL,32097,415990,4,2.5,TRIBUTARY,1968,5500,2024,2,211,8,Active,,,https://www.redfin.com/FL/Yulee/75484-Canterwood-Dr-32097/home/180785175,Stellar MLS as Distributed by MLS Grid,G5076027,N,Y,30.601116,-81.687963
MLS Listing,,Single Family Residential,75630 Blackbird Dr,Yulee,FL,32097,399990,3,2.5,TRIBUTARY,1968,5500,2024,2,203,8,Active,,,https://www.redfin.com/FL/Yulee/75630-Blackbird-Dr-32097/home/184199006,Stellar MLS as Distributed by MLS Grid,G5076026,N,Y,30.6022252,-81.6887232
