SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,1751 Scenic Highway 98 Unit 706,Destin,FL,32541,624500,2,2.0,Destin Beaches West,977,,2001,101,639,1010,Active,,,https://www.redfin.com/FL/Destin/1751-Scenic-Highway-98-32541/unit-706/home/139389713,ECAR,930776,N,Y,30.3853195,-86.4585373
MLS Listing,,Single Family Residential,295 Ketch Ct,Destin,FL,32541,989000,3,3.5,Destin East of Hwy 293/Midbay Bridge Rd,3243,7840,2000,102,305,253,Active,,,https://www.redfin.com/FL/Destin/295-Ketch-Ct-32541/home/139208160,ECAR,930764,N,Y,30.3925079,-86.4053824
MLS Listing,,Condo/Co-op,1751 Scenic Hwy 98 #810,Destin,FL,32541,629999,2,2.0,Destin Beaches West,977,,2001,115,645,1010,Active,,,https://www.redfin.com/FL/Destin/1751-Scenic-Highway-98-32541/unit-810/home/140006506,ECAR,929687,N,Y,30.3853195,-86.4585373
MLS Listing,,Condo/Co-op,1751 Scenic Highway 98 Unit 306,Destin,FL,32541,569500,2,2.0,Destin Beaches West,977,,2001,115,583,1010,Active,,,https://www.redfin.com/FL/Destin/1751-Scenic-Highway-98-32541/unit-306/home/139895213,ECAR,929686,N,Y,30.3853195,-86.4585373
MLS Listing,,Single Family Residential,4482 Rainbird Rise Rd,Crestview,FL,32539,385000,4,2.0,25 - Crestview Area,1653,172933,1998,41,233,,Active,,,https://www.redfin.com/FL/Crestview/4482-Rainbird-Rise-Rd-32539/home/139328457,NAMLS,935272,N,Y,30.8233964,-86.4169314
MLS Listing,,Single Family Residential,1202 Sunshine Dr,Crestview,FL,32539,259900,3,1.5,25 - Crestview Area,1375,18295,1972,89,189,,Active,,,https://www.redfin.com/FL/Crestview/1202-Sunshine-Dr-32539/home/139683940,NAMLS,927488,N,Y,30.7810704,-86.5498893
MLS Listing,,Single Family Residential,6632 Spyglass Hill Rd,Laurel Hill,FL,32567,315000,4,2.0,25 - Crestview Area,1791,19166,2022,149,176,75,Active,,,https://www.redfin.com/FL/Laurel-Hill/6632-Spyglass-Hill-Rd-32567/home/139129177,NAMLS,927230,N,Y,30.876836,-86.530346
MLS Listing,,Mobile/Manufactured Home,5408 N Hilton Rd,Baker,FL,32531,174900,3,2.0,25 - Crestview Area,1321,48787,2007,89,132,,Active,,,https://www.redfin.com/FL/Baker/5408-Hilton-Rd-N-32531/home/139456212,NAMLS,923350,N,Y,30.7634135,-86.6769061
MLS Listing,,Condo/Co-op,4203 Indian Bayou Trl Unit 1104,Destin,FL,32541,359900,2,2.0,14 - Destin,970,,2007,108,371,,Active,,,https://www.redfin.com/FL/Destin/4203-Indian-Bayou-Trl-32541/unit-1104/home/139843253,NAMLS,930240,N,Y,30.3890339,-86.4553366
