SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,415 Muirfield Loop,Reunion,FL,34747,2695000,8,9.5,REUNION WEST VLGS NORTH,7360,9060,2010,4,366,559,Active,,,https://www.redfin.com/FL/Reunion/415-Muirfield-Loop-34747/home/46480839,Stellar MLS as Distributed by MLS Grid,O6159107,N,Y,28.2860598,-81.6023067
MLS Listing,,Single Family Residential,8806 Interlocking Ct,Champions Gate,FL,33896,790000,8,5.0,STONEYBROOK SOUTH K,3909,7841,2018,10,202,459,Active,,,https://www.redfin.com/FL/Davenport/8806-Interlocking-Ct-33896/home/162600677,Stellar MLS as Distributed by MLS Grid,O6158059,N,Y,28.2625726,-81.64071
MLS Listing,,Townhouse,4008 San Sabastian Dr #105,Kissimmee,FL,34741,320000,3,2.0,VENETIAN BAY VILLAGE P3,1296,720,2005,12,247,379,Active,,,https://www.redfin.com/FL/Kissimmee/4008-San-Sabastian-Dr-34741/unit-105/home/46487256,Stellar MLS as Distributed by MLS Grid,T3486353,N,Y,28.3139969,-81.4427268
MLS Listing,,Single Family Residential,2375 Biscotto Cir,Davenport,FL,33897,449000,4,2.0,MAGNOLIA/WESTSIDE PH 1,1983,7405,2021,14,226,197,Active,,,https://www.redfin.com/FL/Davenport/2375-Biscotto-Cir-33897/home/168031932,Stellar MLS as Distributed by MLS Grid,T3486415,N,Y,28.3178423,-81.6529716
MLS Listing,,Single Family Residential,4826 Rockvale Dr,Kissimmee,FL,34758,369900,4,2.0,HAMMOCK TRLS PH 2B,1972,5663,2016,52,188,61,Active,,,https://www.redfin.com/FL/Kissimmee/4826-Rockvale-Dr-34758/home/144249255,Stellar MLS as Distributed by MLS Grid,O6145889,N,Y,28.2188279,-81.4734473
MLS Listing,,Single Family Residential,4939 Parkview Dr,Saint Cloud,FL,34771,660000,6,3.0,LAKE POINTE,3524,21824,2005,52,187,116,Active,,,https://www.redfin.com/FL/Saint-Cloud/4939-Parkview-Dr-34771/home/46482101,Stellar MLS as Distributed by MLS Grid,O6149158,N,Y,28.3217549,-81.2476025
MLS Listing,,Single Family Residential,7239 Mystic Brook Way,Davenport,FL,33896,384999,3,2.0,ASHEBROOK SUB,1880,5489,2011,66,205,70,Active,,,https://www.redfin.com/FL/Davenport/7239-Mystic-Brook-Way-33896/home/53422433,Stellar MLS as Distributed by MLS Grid,O6144360,N,Y,28.2648559,-81.5767188
MLS Listing,,Single Family Residential,3031 Marshfield Preserve Way,Kissimmee,FL,34746,520000,5,3.0,CONCORDE ESTATES,3176,9888,2005,77,164,11,Active,,,https://www.redfin.com/FL/Kissimmee/3031-Marshfield-Preserve-Way-34746/home/46484661,Stellar MLS as Distributed by MLS Grid,O6137831,N,Y,28.2091966,-81.4362035
MLS Listing,,Single Family Residential,269 Indian Point Cir,Kissimmee,FL,34746,425000,3,2.0,INDIAN POINT PH 01,1225,5271,1994,77,347,5,Active,,,https://www.redfin.com/FL/Kissimmee/269-Indian-Point-Cir-34746/home/46555186,Stellar MLS as Distributed by MLS Grid,O6139815,N,Y,28.2887479,-81.4692834
MLS Listing,,Single Family Residential,210 Pendant Ct,Kissimmee,FL,34747,675000,5,5.0,REUNION WEST PH 1 EAST,2570,6098,2016,81,263,688,Active,,,https://www.redfin.com/FL/Kissimmee/210-Pendant-Ct-34747/home/113208116,Stellar MLS as Distributed by MLS Grid,O6137521,N,Y,28.2918858,-81.5895018
MLS Listing,,Single Family Residential,3045 Bloomsbury Dr,Kissimmee,FL,34747,460000,3,2.0,LINDFIELDS UNIT 01,1419,5271,1990,109,324,,Active,,,https://www.redfin.com/FL/Kissimmee/3045-Bloomsbury-Dr-34747/home/46517977,Stellar MLS as Distributed by MLS Grid,O6133638,N,Y,28.3388586,-81.6408947
MLS Listing,,Single Family Residential,410 Novi Path,Kissimmee,FL,34747,749900,8,7.0,REUNION WEST PH 1 WEST & AMENI,3412,5227,2016,118,220,595,Active,,,https://www.redfin.com/FL/Kissimmee/410-Novi-Path-34747/home/109813369,Stellar MLS as Distributed by MLS Grid,O6130509,N,Y,28.293684,-81.5925641
MLS Listing,,Single Family Residential,2671 Manesty Ln,Kissimmee,FL,34747,720000,6,4.0,WINDSOR HILLS PH 03,2812,7144,2006,131,256,482,Active,,,https://www.redfin.com/FL/Kissimmee/2671-Manesty-Ln-34747/home/46486395,Stellar MLS as Distributed by MLS Grid,O6118720,N,Y,28.3221634,-81.5979176
MLS Listing,,Single Family Residential,2540 Dharma Cir,Kissimmee,FL,34746,604000,6,4.5,VERANDA PALMS,2877,5750,2009,139,210,292,Active,,,https://www.redfin.com/FL/Kissimmee/2540-Dharma-Cir-34746/home/46508618,Stellar MLS as Distributed by MLS Grid,O6125701,N,Y,28.3212079,-81.4601481
MLS Listing,,Single Family Residential,7407 Marker Ave,Kissimmee,FL,34747,675000,5,5.0,REUNION WEST PH 2 EAST,2570,5227,2017,165,263,570,Active,,,https://www.redfin.com/FL/Kissimmee/7407-Marker-Ave-34747/home/147929729,Stellar MLS as Distributed by MLS Grid,O6120303,N,Y,28.2895846,-81.589309
MLS Listing,,Single Family Residential,221 Lasso Dr,Kissimmee,FL,34747,799900,8,8.0,REUNION WEST PH 1 WEST,4066,6098,2015,261,197,712,Active,,,https://www.redfin.com/FL/Kissimmee/221-Lasso-Dr-34747/home/109814049,Stellar MLS as Distributed by MLS Grid,O6097036,N,Y,28.2918049,-81.5911293
MLS Listing,,Single Family Residential,265 E Lake Shore Blvd,Kissimmee,FL,34744,629000,3,2.0,EAST LAKE ESTATES,1999,18687,1997,1,315,,Active,,,https://www.redfin.com/FL/Kissimmee/265-E-Lake-Shore-Blvd-34744/home/46566199,Stellar MLS as Distributed by MLS Grid,S5082729,N,Y,28.2903199,-81.3213106
MLS Listing,,Townhouse,8941 Candy Palm Rd,Kissimmee,FL,34747,450000,4,3.0,PARADISE PALMS RESIDENCE PH 2,1902,2178,2013,1,237,612,Active,December-9-2023 01:00 PM,December-9-2023 04:00 PM,https://www.redfin.com/FL/Kissimmee/8941-Candy-Palm-Rd-34747/home/64041234,Stellar MLS as Distributed by MLS Grid,O6161584,N,Y,28.3365134,-81.6462526
MLS Listing,,Townhouse,3045 Beach Palm Ave,Kissimmee,FL,34747,445000,4,3.0,PARADISE PALMS RESIDENCE PH 02,1902,2178,2012,1,234,613,Active,,,https://www.redfin.com/FL/Kissimmee/3045-Beach-Palm-Ave-34747/home/53423993,Stellar MLS as Distributed by MLS Grid,T3489640,N,Y,28.3374982,-81.6466057
MLS Listing,,Single Family Residential,9076 Sommerset Hills Dr,Davenport,FL,33896,845000,8,5.0,STONEYBROOK SOUTH NORTH PCL-PH,4370,9583,2022,1,193,382,Active,,,https://www.redfin.com/FL/Davenport/9076-Sommerset-Hls-Dr-33896/home/177669185,Stellar MLS as Distributed by MLS Grid,S5095580,N,Y,28.2742459,-81.6517734
MLS Listing,,Townhouse,2942 Castaway Ln,Kissimmee,FL,34747,474000,2,2.5,ROLLING OAKS PH 7,1394,1307,2022,1,340,474,Active,,,https://www.redfin.com/FL/Kissimmee/2942-Castaway-Ln-34747/home/177663408,Stellar MLS as Distributed by MLS Grid,O6160028,N,Y,28.333544,-81.61296
MLS Listing,,Single Family Residential,9225 Luna Dr,Saint Cloud,FL,34773,260000,3,2.0,CANAVERAL ACRES UNIT 01,1428,39160,1999,1,182,,Active,,,https://www.redfin.com/FL/Saint-Cloud/9225-Luna-Dr-34773/home/162441710,Stellar MLS as Distributed by MLS Grid,G5076036,N,Y,28.142127,-81.064231
MLS Listing,,Single Family Residential,8847 Fallen Oak Dr,Davenport,FL,33896,689000,4,3.0,STONEYBROOK SOUTH NORTH PRCL PH,3145,12197,2021,1,219,742,Active,,,https://www.redfin.com/FL/Davenport/8847-Fallen-Oak-Dr-33896/home/173831219,Stellar MLS as Distributed by MLS Grid,O6161449,N,Y,28.280706,-81.644088
MLS Listing,,Single Family Residential,5442 Dahlia Reserve Dr,Kissimmee,FL,34758,410000,3,2.0,DAHLIA RESERVE AT CRESCENT LAKES,1876,7797,2000,1,219,,Active,,,https://www.redfin.com/FL/Kissimmee/5442-Dahlia-Reserve-Dr-34758/home/46573597,Stellar MLS as Distributed by MLS Grid,S5094813,N,Y,28.2233163,-81.49961
MLS Listing,,Single Family Residential,1843 Westerham Ave,Saint Cloud,FL,34771,610000,4,3.5,LANCASTER PARK EAST-PH 1,2932,8712,2018,1,208,86,Active,,,https://www.redfin.com/FL/Saint-Cloud/1843-Westerham-Ave-34771/home/162408116,Stellar MLS as Distributed by MLS Grid,O6161550,N,Y,28.2508136,-81.2212888
MLS Listing,,Townhouse,4721 Coral Castle Dr,Kissimmee,FL,34746,320000,3,2.5,FIESTA KEY PH 2,1762,2178,2022,1,182,225,Active,,,https://www.redfin.com/FL/Kissimmee/4721-Coral-Castle-Dr-34746/home/173826663,Stellar MLS as Distributed by MLS Grid,S5095743,N,Y,28.2778678,-81.4705705
MLS Listing,,Single Family Residential,4510 Orchard Grove Rd,Saint Cloud,FL,34772,385000,4,2.0,GRAMERCY FARMS PH 7,1707,6098,2017,1,226,14,Active,December-10-2023 01:00 AM,December-10-2023 04:00 PM,https://www.redfin.com/FL/Saint-Cloud/4510-Orchard-Grove-Rd-34772/home/147929371,Stellar MLS as Distributed by MLS Grid,S5095708,N,Y,28.2129378,-81.2592181
MLS Listing,,Condo/Co-op,1183 Drop Ln #0,Davenport,FL,33896,365000,3,2.0,CHAMPIONSGATE,1388,2197,2021,1,263,294,Active,,,https://www.redfin.com/FL/Davenport/1183-Drop-Ln-33896/home/177669327,Stellar MLS as Distributed by MLS Grid,S5095550,N,Y,28.275108,-81.648814
MLS Listing,,Single Family Residential,550 Muirfield Loop,Reunion,FL,34747,3400000,11,12.5,REUNION WEST VLGS NORTH,8501,8581,2016,1,400,559,Active,,,https://www.redfin.com/FL/Reunion/550-Muirfield-Loop-34747/home/54595081,Stellar MLS as Distributed by MLS Grid,A4590752,N,Y,28.2857143,-81.5996948
MLS Listing,,Single Family Residential,2712 Formosa Blvd,Kissimmee,FL,34747,724900,5,4.0,FORMOSA GARDENS UNIT 01,3676,15159,2001,1,197,100,Active,,,https://www.redfin.com/FL/Kissimmee/2712-Formosa-Blvd-34747/home/46515630,Stellar MLS as Distributed by MLS Grid,O6160588,N,Y,28.327286,-81.6052833
MLS Listing,,Single Family Residential,6531 Dusk Ct,Davenport,FL,33896,345000,2,2.0,SUNDOWN VILLAGE UNIT 02,896,43908,1989,1,385,,Active,,,https://www.redfin.com/FL/Davenport/6531-Dusk-Ct-33896/home/46521386,Stellar MLS as Distributed by MLS Grid,O6158276,N,Y,28.2575143,-81.5472321
MLS Listing,,Single Family Residential,194 Golden Noble St,Davenport,FL,33897,925000,7,5.0,EDEN GDNS-PH 1,3388,5663,2023,2,273,465,Active,,,https://www.redfin.com/FL/Davenport/194-Golden-Noble-St-33897/home/177671448,Stellar MLS as Distributed by MLS Grid,S5095509,N,Y,28.291282,-81.654382
MLS Listing,,Townhouse,5077 Dominica Dr,Kissimmee,FL,34746,285000,2,2.5,COMPASS BAY,1304,1414,2010,2,219,156,Active,,,https://www.redfin.com/FL/Kissimmee/5077-Dominica-Dr-34746/home/46508118,Stellar MLS as Distributed by MLS Grid,S5095726,N,Y,28.338163,-81.489876
MLS Listing,,Single Family Residential,3244 Grouse Ave,Kissimmee,FL,34744,485000,4,2.5,OSPREY RDG,2376,4792,2018,2,204,71,Active,,,https://www.redfin.com/FL/Kissimmee/3244-Grouse-Ave-34744/home/148504570,Stellar MLS as Distributed by MLS Grid,S5095498,N,Y,28.3456774,-81.2575835
MLS Listing,,Single Family Residential,4828 Warrior Ln,Kissimmee,FL,34746,334900,3,2.0,INDIAN WELLS UNIT 7,1328,5202,1991,2,252,6,Active,,,https://www.redfin.com/FL/Kissimmee/4828-Warrior-Ln-34746/home/46514045,Stellar MLS as Distributed by MLS Grid,S5095358,N,Y,28.3431905,-81.4891889
MLS Listing,,Single Family Residential,5354 Mill Stream Dr,Saint Cloud,FL,34771,599000,3,2.0,MILL STREAM ESTATES,2057,22433,1992,2,291,33,Active,December-9-2023 12:00 PM,December-9-2023 03:00 PM,https://www.redfin.com/FL/Saint-Cloud/5354-Mill-Stream-Dr-34771/home/46531665,Stellar MLS as Distributed by MLS Grid,O6161416,N,Y,28.3327183,-81.2268836
MLS Listing,,Condo/Co-op,2310 Silver Palm Dr #101,Kissimmee,FL,34747,299500,3,2.0,WINDSOR PALMS PH 10,1468,14916,2003,2,204,550,Active,,,https://www.redfin.com/FL/Kissimmee/2310-Silver-Palm-Dr-34747/unit-101/home/46477409,Stellar MLS as Distributed by MLS Grid,T3489406,N,Y,28.3153211,-81.614206
MLS Listing,,Townhouse,3998 Pemberly Pines Cir,Saint Cloud,FL,34769,315000,3,2.5,PEMBERLY PINES,1768,1263,2005,2,178,288,Active,,,https://www.redfin.com/FL/Saint-Cloud/3998-Pemberly-Pines-Cir-34769/home/46485503,Stellar MLS as Distributed by MLS Grid,S5095725,N,Y,28.2580406,-81.3127628
MLS Listing,,Single Family Residential,4428 Brave Ln,Saint Cloud,FL,34772,225000,2,2.0,TEKA VILLAGE PH 01,1356,6534,1985,2,166,90,Active,,,https://www.redfin.com/FL/Saint-Cloud/4428-Brave-Ln-34772/home/46543481,Stellar MLS as Distributed by MLS Grid,S5095720,N,Y,28.2265354,-81.320279
MLS Listing,,Single Family Residential,4701 Rockvale Dr,Kissimmee,FL,34758,375000,4,2.0,HAMMOCK TRLS PH 2A-A,1820,7405,2014,2,206,64,Active,,,https://www.redfin.com/FL/Kissimmee/4701-Rockvale-Dr-34758/home/56876127,Stellar MLS as Distributed by MLS Grid,S5095715,N,Y,28.2133756,-81.4714526
MLS Listing,,Townhouse,1145 S Beach Cir,Kissimmee,FL,34746,290000,3,2.5,FIESTA KEY,1461,3572,2006,2,198,225,Active,,,https://www.redfin.com/FL/Kissimmee/1145-S-Beach-Cir-34746/home/46486917,Stellar MLS as Distributed by MLS Grid,O6161414,N,Y,28.275743,-81.470701
MLS Listing,,Townhouse,8405 Blue Lagoon Dr,Kissimmee,FL,34747,345000,3,2.5,EMERALD ISLAND RES-PH 02,1291,1281,2003,2,267,544,Active,,,https://www.redfin.com/FL/Kissimmee/8405-Blue-Lagoon-Dr-34747/home/46580010,Stellar MLS as Distributed by MLS Grid,O6161442,N,Y,28.331044,-81.616135
MLS Listing,,Single Family Residential,985 Seasons Blvd,Kissimmee,FL,34746,529000,7,4.5,SEASONS,2881,5750,2004,2,184,161,Active,,,https://www.redfin.com/FL/Kissimmee/985-Seasons-Blvd-34746/home/46479420,Stellar MLS as Distributed by MLS Grid,O6158460,N,Y,28.3011845,-81.4678491
MLS Listing,,Townhouse,3252 River Branch Cir,Kissimmee,FL,34741,349900,2,2.0,STERLING PARK AT STONEFIELD,1512,2526,2000,2,231,269,Active,,,https://www.redfin.com/FL/Kissimmee/3252-River-Branch-Cir-34741/home/46571945,Stellar MLS as Distributed by MLS Grid,O6161435,N,Y,28.3425092,-81.4391615
MLS Listing,,Condo/Co-op,2300 Silver Palm Dr #104,Kissimmee,FL,34747,285000,3,2.0,WYNDHAM PALMS CONDO 07,1402,14949,2002,2,203,595,Active,,,https://www.redfin.com/FL/Kissimmee/2300-Silver-Palm-Dr-34747/unit-104/home/46580361,Stellar MLS as Distributed by MLS Grid,O6160284,N,Y,28.314111,-81.613754
MLS Listing,,Single Family Residential,2719 Lido Key Dr,Kissimmee,FL,34747,570000,5,4.5,EMERALD ISLAND RESORT PH 04,2881,6752,2004,2,198,358,Active,,,https://www.redfin.com/FL/Kissimmee/2719-Lido-Ky-Dr-34747/home/46479007,Stellar MLS as Distributed by MLS Grid,O6161419,N,Y,28.3277585,-81.6241638
MLS Listing,,Single Family Residential,3566 Sunset Isles Blvd,Kissimmee,FL,34746,699000,5,4.5,BELLALAGO PH 02N,3651,9627,2006,2,191,339,Active,,,https://www.redfin.com/FL/Kissimmee/3566-Sunset-Isles-Blvd-34746/home/46488651,Stellar MLS as Distributed by MLS Grid,S5095695,N,Y,28.1878964,-81.4204938
MLS Listing,,Single Family Residential,1508 Tina Ln,Kissimmee,FL,34744,390000,5,3.0,WESTWOOD FOREST,1685,9104,1991,2,231,,Active,,,https://www.redfin.com/FL/Kissimmee/1508-Tina-Ln-34744/home/46535311,Stellar MLS as Distributed by MLS Grid,S5095691,N,Y,28.329967,-81.3827086
MLS Listing,,Townhouse,3120 Brasilia Ave #3120,Kissimmee,FL,34747,535000,4,4.5,Magic Village Yards,2854,,2015,3,187,490,Active,,,https://www.redfin.com/FL/Kissimmee/3120-Brasilia-Ave-34747/unit-3120/home/188803074,MARMLS,A11494738,N,Y,28.3420109,-81.5926684
