SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE_FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,29319 NW County Road 241,Alachua,FL,32615,238900,,,ALACHUA,,435600,,182,,,Active,,,https://www.redfin.com/FL/Alachua/29319-NW-County-Road-241-32615/home/183042983,Stellar MLS as Distributed by MLS Grid,O6103467,N,Y,29.922829,-82.5007906
MLS Listing,,Single Family Residential,22520 NE 69th Ave,Melrose,FL,32666,650000,4,2.0,WALLACE GROVES,2538,18295,1959,1,256,,Active,December-3-2023 02:00 PM,December-3-2023 04:00 PM,https://www.redfin.com/FL/Melrose/22520-NE-69th-Ave-32666/home/114687415,Stellar MLS as Distributed by MLS Grid,GC517778,N,Y,29.7183,-82.083878
MLS Listing,,Single Family Residential,4352 SE County Road 21b,Keystone Heights,FL,32656,585000,2,1.0,LAKESIDE,984,98400,2006,1,595,,Active,,,https://www.redfin.com/FL/Keystone-Heights/4352-SE-County-Road-21B-32656/home/119648636,Stellar MLS as Distributed by MLS Grid,GC517854,N,Y,29.7783201,-82.080525
MLS Listing,,Single Family Residential,4362 NW 61st Ter,Gainesville,FL,32606,349999,4,2.0,SUMMER CREEK,1751,11326,1988,1,200,13,Active,,,https://www.redfin.com/FL/Gainesville/4362-NW-61st-Ter-32606/home/114473242,Stellar MLS as Distributed by MLS Grid,GC517799,N,Y,29.694459,-82.40886
MLS Listing,,Single Family Residential,6110 NW 30th Ter,Gainesville,FL,32653,289750,3,2.0,NORTHWOOD PINES,1403,10410,1979,1,207,,Active,,,https://www.redfin.com/FL/Gainesville/6110-NW-30th-Ter-32653/home/114159580,Stellar MLS as Distributed by MLS Grid,A4591076,N,Y,29.7107691,-82.3674591
MLS Listing,,Townhouse,9722 SW 52nd Ln,Gainesville,FL,32608,269750,3,2.5,HAILE PLANTATION,1700,1742,1995,1,159,343,Active,,,https://www.redfin.com/FL/Gainesville/9722-SW-52nd-Ln-32608/home/115607699,Stellar MLS as Distributed by MLS Grid,A4591064,N,Y,29.605426,-82.445525
MLS Listing,,Townhouse,3813 SW 28th Ter,Gainesville,FL,32608,120000,2,2.0,SERENOLA MANOR UNIT 3 NAPIER,887,2026,1988,1,135,,Active,,,https://www.redfin.com/FL/Gainesville/3813-SW-28th-Ter-32608/home/115304721,Stellar MLS as Distributed by MLS Grid,GC517838,N,Y,29.615621,-82.364987
MLS Listing,,Single Family Residential,11420 NW 202nd St,Alachua,FL,32615,1390000,3,1.0,NOT IN SUBDIVISION,1058,3358476,1990,1,1314,,Active,,,https://www.redfin.com/FL/Alachua/11420-NW-202nd-St-32615/home/114408604,Stellar MLS as Distributed by MLS Grid,GC517555,N,Y,29.7605944,-82.5590969
MLS Listing,,Single Family Residential,209 NW 246 Way,Newberry,FL,32669,359900,3,2.0,CEDAR ESTATES OF NEWBERRY,1668,10118,2024,1,216,,Active,,,https://www.redfin.com/FL/Newberry/209-Way-32669/home/188774185,Stellar MLS as Distributed by MLS Grid,GC517843,N,Y,29.644959,-82.602848
MLS Listing,,Single Family Residential,21433 SE Hawthorne Rd,Hawthorne,FL,32640,65000,3,1.0,PECAN HEIGHTS,1056,5551,1920,1,62,,Active,,,https://www.redfin.com/FL/Hawthorne/21433-SE-Hawthorne-Rd-32640/home/114744753,Stellar MLS as Distributed by MLS Grid,O6158963,N,Y,29.595952,-82.0934999
MLS Listing,,Single Family Residential,6026 SE 153rd Ter,Hawthorne,FL,32640,244900,4,2.0,GROVE PARK,2128,43216,2007,1,115,,Active,,,https://www.redfin.com/FL/Hawthorne/6026-SE-153rd-Ter-32640/home/115334869,Stellar MLS as Distributed by MLS Grid,GC517686,N,Y,29.5970053,-82.1574463
MLS Listing,,Multi-Family (2-4 Unit),4417 SW 71st Ter,Gainesville,FL,32608,459500,8,4.0,TOWER VILLAGE III,3536,15246,1981,1,130,,Active,,,https://www.redfin.com/FL/Gainesville/4417-SW-71st-Ter-32608/home/115585130,Stellar MLS as Distributed by MLS Grid,R4907344,N,Y,29.6135283,-82.4186891
MLS Listing,,Multi-Family (2-4 Unit),4501 SW 71st Ter,Gainesville,FL,32608,459500,8,4.0,TOWER VILLAGE III,3536,15246,1981,1,130,,Active,,,https://www.redfin.com/FL/Gainesville/4501-SW-71st-Ter-32608/home/115608274,Stellar MLS as Distributed by MLS Grid,R4907345,N,Y,29.613168,-82.418659
MLS Listing,,Multi-Family (5+ Unit),825 SW 62nd Ter,Gainesville,FL,32607,595000,10,6.0,SUGARFOOT OAKS,4722,17860,1979,1,126,,Active,,,https://www.redfin.com/FL/Gainesville/825-SW-62nd-Ter-32607/home/115107460,Stellar MLS as Distributed by MLS Grid,R4907348,N,Y,29.6445899,-82.4095297
MLS Listing,,Multi-Family (2-4 Unit),7214 SW 44th Pl,Gainesville,FL,32608,459500,8,4.0,TOWER VILLAGE III,3470,18295,1984,1,132,,Active,,,https://www.redfin.com/FL/Gainesville/7214-SW-44th-Pl-32608/home/114726105,Stellar MLS as Distributed by MLS Grid,R4907347,N,Y,29.61372,-82.420168
MLS Listing,,Multi-Family (2-4 Unit),1000 SW 59th Ter,Gainesville,FL,32607,419500,8,4.0,SUGARFOOT OAKS,3658,11761,1981,1,115,,Active,,,https://www.redfin.com/FL/Gainesville/1000-SW-59th-Ter-32607/home/114120554,Stellar MLS as Distributed by MLS Grid,R4907349,N,Y,29.6432391,-82.4065998
MLS Listing,,Single Family Residential,1721 SW 82nd Ter,Gainesville,FL,32607,549900,4,2.5,AVALON PH II,2553,23522,1998,1,215,31,Active,,,https://www.redfin.com/FL/Gainesville/1721-SW-82nd-Ter-32607/home/114527713,Stellar MLS as Distributed by MLS Grid,GC517807,N,Y,29.6358473,-82.4296122
MLS Listing,,Multi-Family (2-4 Unit),1727 SW 68th Ter,Gainesville,FL,32607,219500,4,2.0,TOWER OAKS ARMS,800,3694,1982,1,274,,Active,,,https://www.redfin.com/FL/Gainesville/1727-SW-68th-Ter-32607/home/115606367,Stellar MLS as Distributed by MLS Grid,R4907351,N,Y,29.6362559,-82.4151112
MLS Listing,,Multi-Family (2-4 Unit),1018 SW 60th Ter,Gainesville,FL,32607,219500,4,2.0,SUGARFOOT OAKS,1740,8712,1980,1,126,,Active,,,https://www.redfin.com/FL/Gainesville/1018-SW-60th-Ter-32607/home/114820315,Stellar MLS as Distributed by MLS Grid,R4907350,N,Y,29.6428778,-82.407362
MLS Listing,,Townhouse,"3114 SW 26th Way Unit A,B",Gainesville,FL,32608,199900,4,3.0,PHOENIX SUB NAPIER GRT,1860,2614,1979,1,107,41,Active,,,https://www.redfin.com/FL/Gainesville/3114-SW-26-Way-32608/unit-A-B/home/188759044,Stellar MLS as Distributed by MLS Grid,GC517308,N,Y,29.6224072,-82.3628944
MLS Listing,,Single Family Residential,6900 NE 77th Ln,Gainesville,FL,32609,160000,3,2.0,CREEKSIDE FOREST,1656,65636,1981,1,97,27,Active,,,https://www.redfin.com/FL/Gainesville/6900-NE-77th-Ln-32609/home/114203498,Stellar MLS as Distributed by MLS Grid,GC517832,N,Y,29.7302928,-82.2454062
MLS Listing,,Single Family Residential,5812 SE 229th Ter,Hawthorne,FL,32640,220000,3,2.0,Ashley Oaks,1478,15498,1992,1,149,,Active,,,https://www.redfin.com/FL/Hawthorne/5812-SE-229th-Ter-32640/home/115349116,NEFLMLS,1259407,N,Y,29.6005668,-82.0780999
