SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,6424 Shadow Creek Village Cir,Lake Worth,FL,33463,699900,4,3.0,Winston Trails,2667,7840,2002,2,262,231,Active,,,https://www.redfin.com/FL/Lake-Worth/6424-Shadow-Creek-Village-Cir-33463/home/42545941,Beaches MLS,RX-10940269,N,Y,26.5828009,-80.1277015
MLS Listing,,Single Family Residential,1670 SW 3rd Ct,Boca Raton,FL,33432,1845000,4,3.0,Royal Palm Forest,3022,8209,1995,3,611,150,Active,,,https://www.redfin.com/FL/Boca-Raton/1670-SW-3rd-Ct-33432/home/42328931,Beaches MLS,RX-10939974,N,Y,26.332762,-80.0922304
MLS Listing,,Single Family Residential,7297 Nautica Way,Lake Worth,FL,33467,539000,3,2.0,Spinnaker Bay AT Lake Charleston,1578,4498,1998,3,342,158,Active,,,https://www.redfin.com/FL/Lake-Worth/7297-Nautica-Way-33467/home/42185573,Beaches MLS,RX-10939943,N,Y,26.570457,-80.14887
MLS Listing,,Townhouse,1202 Coastal Bay Blvd #1202,Boynton Beach,FL,33435,475000,3,3.5,Coastal Bay Colony,2161,1259,2006,3,220,416,Active,,,https://www.redfin.com/FL/Boynton-Beach/1202-Coastal-Bay-Blvd-33435/unit-1202/home/102186663,Beaches MLS,RX-10939915,N,Y,26.5064155,-80.0605528
MLS Listing,,Condo/Co-op,6557 Burning Wood Dr #216,Boca Raton,FL,33433,310000,2,2.0,Woodhaven Condo,1500,,1977,4,207,594,Active,,,https://www.redfin.com/FL/Boca-Raton/6557-Burning-Wood-Dr-33433/unit-216/home/42263707,Beaches MLS,RX-10939495,N,Y,26.3491777,-80.1465843
MLS Listing,,Single Family Residential,11155 Osprey Lake Ln,Palm Beach Gardens,FL,33412,765000,4,3.0,Osprey Isles Pud,2484,8555,2006,5,308,285,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/11155-Osprey-Lake-Ln-33412/home/168150681,Beaches MLS,RX-10939355,N,Y,26.8196809,-80.2157702
MLS Listing,,Townhouse,11135 Oakdale Rd,Boynton Beach,FL,33437,425000,3,2.5,Rosedale AT Indian Spring,1815,3189,1979,7,234,459,Active,,,https://www.redfin.com/FL/Boynton-Beach/11135-Oakdale-Rd-33437/home/42204290,Beaches MLS,RX-10938700,N,Y,26.5115925,-80.1306676
MLS Listing,,Condo/Co-op,2800 N Ocean Dr Unit B-11b,Riviera Beach,FL,33404,639900,2,2.0,Phoenix Towers Condo,1219,,1973,12,525,1360,Active,,,https://www.redfin.com/FL/Riviera-Beach/2800-N-Ocean-Dr-33404/unit-B-11B/home/42460424,Beaches MLS,RX-10938033,N,Y,26.7859363,-80.0335382
MLS Listing,,Condo/Co-op,304 Golfview Rd #405,North Palm Beach,FL,33408,238900,1,1.0,Waterway East Condos,732,,1971,14,326,721,Active,,,https://www.redfin.com/FL/North-Palm-Beach/304-Golfview-Rd-33408/unit-405/home/42474011,Beaches MLS,RX-10937471,N,Y,26.8332306,-80.0606068
MLS Listing,,Single Family Residential,7361 Via Leonardo,Lake Worth,FL,33467,770000,5,4.5,Villages OF Windsor 4,3346,6412,2004,19,230,307,Active,,,https://www.redfin.com/FL/Lake-Worth/7361-Via-Leonardo-33467/home/42582399,Beaches MLS,RX-10936211,N,Y,26.5669259,-80.1758671
