SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,4923 Diamonds Palm Loop,Wesley Chapel,FL,33543,700000,5,3.0,COUNTRY WALK INCREMENT D PH 02,3175,20343,2011,25,220,58,Active,,,https://www.redfin.com/FL/Wesley-Chapel/4923-Diamonds-Palm-Loop-33543/home/48280024,Stellar MLS as Distributed by MLS Grid,T3484065,N,Y,28.2291868,-82.3138379
MLS Listing,,Single Family Residential,4320 Seagull Dr,New Port Richey,FL,34652,999999,3,3.0,GULF HARBORS SEA FOREST,2800,7526,1991,27,357,93,Active,,,https://www.redfin.com/FL/New-Port-Richey/4320-Seagull-Dr-34652/home/48302781,Stellar MLS as Distributed by MLS Grid,T3483947,N,Y,28.2458639,-82.7426738
MLS Listing,,Vacant Land,Malcolm Ave,Hudson,FL,34667,135000,,,HUDSON BEACH ESTATES,,6000,,52,,,Active,,,https://www.redfin.com/FL/Hudson/Malcolm-Ave-34667/home/54690503,Stellar MLS as Distributed by MLS Grid,T3479276,N,Y,28.357665,-82.710709
MLS Listing,,Single Family Residential,4838 Basswood St,Land O Lakes,FL,34639,489000,4,3.0,GRAND OAKS,2153,8250,1995,59,227,33,Active,,,https://www.redfin.com/FL/Land-O-Lakes/4838-Basswood-St-34639/home/48331911,Stellar MLS as Distributed by MLS Grid,T3476540,N,Y,28.2272676,-82.380932
MLS Listing,,Single Family Residential,5448 Leahy Ln,New Port Richey,FL,34652,874900,4,3.0,GULF HARBORS WOODLANDS,2006,6695,1986,66,436,55,Active,,,https://www.redfin.com/FL/New-Port-Richey/5448-Leahy-Ln-34652/home/48304222,Stellar MLS as Distributed by MLS Grid,T3474550,N,Y,28.2384654,-82.7453974
MLS Listing,,Condo/Co-op,4939 Floramar Ter #414,New Port Richey,FL,34652,229500,3,2.0,SEA CASTLE CONDO,1437,197,1975,74,160,853,Active,,,https://www.redfin.com/FL/New-Port-Richey/4939-Floramar-Ter-34652/unit-414/home/48346878,Stellar MLS as Distributed by MLS Grid,T3472785,N,Y,28.2308979,-82.7327727
MLS Listing,,Single Family Residential,3954 Tour Trce,Land O Lakes,FL,34638,1199999,4,3.5,BEXLEY SOUTH PH 3A PRCL 4,3747,11909,2022,101,320,115,Active,,,https://www.redfin.com/FL/Land-O-Lakes/3954-Tour-Trce-34638/home/174580154,Stellar MLS as Distributed by MLS Grid,T3468081,N,Y,28.22418,-82.546863
MLS Listing,,Single Family Residential,"3154 Brigantine Ct Unit New Port Richey, FL",,FL,00N/A,2999000,5,3.5,30 - Other Counties,4075,20037,1982,42,736,15,Active,,,https://www.redfin.com/FL/Unknown/3154-Brigantine-CT-Unknown/unit-New-Port-Richey-FL/home/188158181,NAMLS,935189,N,Y,28.240503,-82.761208
MLS Listing,,Single Family Residential,4625 Cavendish Dr,New Port Richey,FL,34655,355000,2,2.0,HERITAGE LAKE,1646,9571,1984,1,216,61,Active,,,https://www.redfin.com/FL/New-Port-Richey/4625-Cavendish-Dr-34655/home/48326518,Stellar MLS as Distributed by MLS Grid,W7860162,N,Y,28.2265049,-82.6537033
