SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Townhouse,6132 Marina Cove Way S,St Petersburg,FL,33712,649933,4,3.0,COVE AT LOGGERHEAD MARINA,1920,1059,2018,3,339,781,Active,,,https://www.redfin.com/FL/St-Petersburg/6132-Marina-Cove-Way-S-33712/home/55510423,Stellar MLS as Distributed by MLS Grid,T3488403,N,Y,27.7123978,-82.6754522
MLS Listing,,Single Family Residential,5264 102nd Ave N,Pinellas Park,FL,33782,385000,3,2.0,FLORIDA RETIREMENT VILLAGE TR A REP,892,5850,1962,12,432,,Active,,,https://www.redfin.com/FL/Pinellas-Park/5264-102nd-Ave-N-33782/home/48082664,Stellar MLS as Distributed by MLS Grid,T3486070,N,Y,27.8643957,-82.7060219
MLS Listing,,Single Family Residential,477 86th Ave,St Pete Beach,FL,33706,775000,2,2.0,ST PETERSBURG BEACH NORTH UNIT 7,1384,6726,1955,12,560,,Active,,,https://www.redfin.com/FL/St-Pete-Beach/477-86th-Ave-33706/home/48125318,Stellar MLS as Distributed by MLS Grid,T3487121,N,Y,27.7494313,-82.7576588
MLS Listing,,Single Family Residential,242 Milwaukee Ave,Dunedin,FL,34698,400000,4,2.0,PLAZA HEIGHTS,1102,11051,1957,13,363,,Active,,,https://www.redfin.com/FL/Dunedin/242-Milwaukee-Ave-34698/home/48213855,Stellar MLS as Distributed by MLS Grid,T3486054,N,Y,28.0017643,-82.784028
MLS Listing,,Condo/Co-op,1950 59th Ave N #112,St Petersburg,FL,33714,159000,2,2.0,TOWN APTS CONDO,940,76294,2005,18,169,440,Active,,,https://www.redfin.com/FL/St-Petersburg/1950-59th-Ave-N-33714/unit-112/home/48238763,Stellar MLS as Distributed by MLS Grid,T3486625,N,Y,27.8257282,-82.6607076
MLS Listing,,Single Family Residential,9939 34th Way N,Pinellas Park,FL,33782,349000,2,2.0,MAINLANDS OF TAMARAC BY THE GULF UNIT 4 CONDO,1649,5279,1974,32,212,450,Active,,,https://www.redfin.com/FL/Pinellas-Park/9939-34th-Way-N-33782/home/48094049,Stellar MLS as Distributed by MLS Grid,T3480374,N,Y,27.8622844,-82.6799233
MLS Listing,,Single Family Residential,1694 62nd Ave S,St Petersburg,FL,33712,714900,4,2.5,WEST WEDGEWOOD PARK 5TH ADD,2186,8154,1967,34,327,,Active,,,https://www.redfin.com/FL/St-Petersburg/1694-62nd-Ave-S-33712/home/48000355,Stellar MLS as Distributed by MLS Grid,T3479072,N,Y,27.7117873,-82.6558893
MLS Listing,,Single Family Residential,6598 26th St N,St Petersburg,FL,33702,440000,3,2.0,FAIRVIEW ESTATES,1102,5998,1962,40,399,,Active,,,https://www.redfin.com/FL/St-Petersburg/6598-26th-St-N-33702/home/48228951,Stellar MLS as Distributed by MLS Grid,T3480358,N,Y,27.8318002,-82.6687236
MLS Listing,,Townhouse,314 Venetian Dr,Clearwater,FL,33755,2095000,4,2.5,VENETIA COVE,3118,2181,2007,54,672,533,Active,,,https://www.redfin.com/FL/Clearwater/314-Venetian-Dr-33755/home/47863307,Stellar MLS as Distributed by MLS Grid,T3475392,N,Y,27.9871195,-82.797509
MLS Listing,,Single Family Residential,2410 26th St S,St Petersburg,FL,33712,329000,3,2.0,LONE OAK ADD,1200,5650,2008,60,274,,Active,,,https://www.redfin.com/FL/St-Petersburg/2410-26th-St-S-33712/home/48229683,Stellar MLS as Distributed by MLS Grid,T3476097,N,Y,27.7463172,-82.6683283
MLS Listing,,Single Family Residential,2585 37th Ave N,St Petersburg,FL,33713,574000,3,2.0,COOLIDGE PARK,1684,5841,2017,62,341,,Active,,,https://www.redfin.com/FL/St-Petersburg/2585-37th-Ave-N-33713/home/47988066,Stellar MLS as Distributed by MLS Grid,T3476007,N,Y,27.8058453,-82.6687236
MLS Listing,,Single Family Residential,1171 Sedeeva St,Clearwater,FL,33755,875000,7,4.0,FLORIDENA,3082,9585,1924,73,284,,Active,,,https://www.redfin.com/FL/Clearwater/1171-Sedeeva-St-33755/home/47895752,Stellar MLS as Distributed by MLS Grid,T3473966,N,Y,27.9921452,-82.7888711
MLS Listing,,Single Family Residential,60 Kelleys Trl,Oldsmar,FL,34677,1144900,4,3.0,TURTLE CREEK UNIT-ONE,3581,26589,1995,81,320,165,Active,,,https://www.redfin.com/FL/Oldsmar/60-Kelleys-Trl-34677/home/47894843,Stellar MLS as Distributed by MLS Grid,T3471758,N,Y,28.0813639,-82.6898982
MLS Listing,,Single Family Residential,8179 Artisan Cir,Seminole,FL,33777,730000,4,2.5,ARTISAN ESTATES,2928,4600,2020,88,249,133,Active,,,https://www.redfin.com/FL/Seminole/8179-Artisan-Cir-33777/home/168237862,Stellar MLS as Distributed by MLS Grid,T3470140,N,Y,27.8464134,-82.7648629
MLS Listing,,Single Family Residential,476 Trout Ln,Oldsmar,FL,34677,208000,2,2.0,GULL-AIRE VILLAGE,1079,4177,1985,109,193,50,Active,,,https://www.redfin.com/FL/Oldsmar/476-Trout-Ln-34677/home/48030037,Stellar MLS as Distributed by MLS Grid,T3466059,N,Y,28.0435441,-82.6999543
MLS Listing,,Condo/Co-op,1655 S Highland Ave Unit A206,Clearwater,FL,33756,205000,2,2.0,PENTHOUSE GROVES,1270,93314,1970,208,161,631,Active,,,https://www.redfin.com/FL/Clearwater/1655-S-Highland-Ave-33756/unit-A206/home/48134055,Stellar MLS as Distributed by MLS Grid,T3441927,N,Y,27.9376167,-82.7743548
MLS Listing,,Condo/Co-op,3078 Eastland Blvd #306,Clearwater,FL,33761,209900,1,1.0,IMPERIAL PINES CONDO,870,125437,1983,1,241,415,Active,,,https://www.redfin.com/FL/Clearwater/3078-Eastland-Blvd-33761/unit-306/home/48147891,Stellar MLS as Distributed by MLS Grid,U8222708,N,Y,28.0156984,-82.7105602
MLS Listing,,Condo/Co-op,2295 Americus Blvd E #15,Clearwater,FL,33763,229000,2,2.0,ON TOP OF THE WORLD,1400,,1988,1,164,395,Active,,,https://www.redfin.com/FL/Clearwater/2295-Americus-Blvd-E-33763/unit-15/home/48184644,Stellar MLS as Distributed by MLS Grid,G5076043,N,Y,28.002868,-82.742975
MLS Listing,,Condo/Co-op,19029 US Highway 19 N Unit 4-3,Clearwater,FL,33764,138000,1,1.0,IMPERIAL COVE 4,875,875,1970,1,158,480,Active,,,https://www.redfin.com/FL/Clearwater/19029-US-Highway-19-N-33764/unit-4-3/home/48071982,Stellar MLS as Distributed by MLS Grid,U8222865,N,Y,27.9453205,-82.7283288
