SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1057 Mystery Cir,Davenport,FL,33837,340000,4,2.0,MYSTERY RIDGE,1740,10001,2013,18,195,41,Active,,,https://www.redfin.com/FL/Davenport/1057-Mystery-Cir-33837/home/46077791,Stellar MLS as Distributed by MLS Grid,O6157151,N,Y,28.1472956,-81.5919217
MLS Listing,,Single Family Residential,1504 Vista Del Lago Blvd,Dundee,FL,33838,299900,4,2.0,VISTA DEL LAGO PH 01,2132,10620,2006,41,141,26,Active,,,https://www.redfin.com/FL/Dundee/1504-Vista-del-Lago-Blvd-33838/home/46064400,Stellar MLS as Distributed by MLS Grid,O6150331,N,Y,28.0091078,-81.6033563
MLS Listing,,Single Family Residential,8441 Tocoi Path,Lakeland,FL,33810,495000,4,3.0,INDIAN WOODS,2668,14998,2004,53,186,,Active,,,https://www.redfin.com/FL/Lakeland/8441-Tocoi-Path-33810/home/46146719,Stellar MLS as Distributed by MLS Grid,O6147785,N,Y,28.1536779,-82.0045643
MLS Listing,,Single Family Residential,5251 Parkland Ct,Lakeland,FL,33811,410000,3,2.0,WEST OAKS SUB,1525,12632,1987,60,269,,Active,,,https://www.redfin.com/FL/Lakeland/5251-Parkland-Ct-33811/home/46280577,Stellar MLS as Distributed by MLS Grid,T3475859,N,Y,27.9697516,-81.9971321
MLS Listing,,Townhouse,234 Cambria Ave,Davenport,FL,33897,299800,3,3.0,REGAL PALMS AT HIGHLAND RESERVE,1492,1856,2004,69,201,637,Active,,,https://www.redfin.com/FL/Davenport/234-Cambria-Ave-33897/home/46046476,Stellar MLS as Distributed by MLS Grid,O6142940,N,Y,28.3111881,-81.6750269
MLS Listing,,Townhouse,528 Terra Lago St,Davenport,FL,33897,350900,3,3.0,REGAL PALMS AT HIGHLAND RESERVE PH 03,1492,1860,2005,110,235,637,Active,,,https://www.redfin.com/FL/Davenport/528-Terra-Lago-St-33897/home/46056443,Stellar MLS as Distributed by MLS Grid,O6134272,N,Y,28.3122071,-81.6759908
MLS Listing,,Single Family Residential,1044 Cambridge Dr,Winter Haven,FL,33881,290000,3,2.0,LUCERNE PARK RESERVE,1412,6486,2021,1,205,14,Active,,,https://www.redfin.com/FL/Winter-Haven/1044-Cambridge-Dr-33881/home/173887229,Stellar MLS as Distributed by MLS Grid,G5070616,N,Y,28.075524,-81.6769755
MLS Listing,,Single Family Residential,748 31st Ct NW,Winter Haven,FL,33881,194998,2,1.0,CRESTWOOD ESTATES,888,7753,1960,1,220,,Active,,,https://www.redfin.com/FL/Winter-Haven/748-31st-Ct-NW-33881/home/46215039,FORTMLS,223089545,N,Y,28.0308325,-81.7654785
MLS Listing,,Single Family Residential,254 Chelsea Ave,Davenport,FL,33837,1175000,6,5.0,CHELSEA WOODS AT PROVIDENCE,5109,11770,2006,1,230,130,Active,,,https://www.redfin.com/FL/Davenport/254-Chelsea-Ave-33837/home/46070728,Stellar MLS as Distributed by MLS Grid,T3489656,N,Y,28.220773,-81.5627705
MLS Listing,,Vacant Land,3914 Avenue R NW,Winter Haven,FL,33881,38000,,,INWOOD,,9248,,1,,,Active,,,https://www.redfin.com/FL/Winter-Haven/3914-Avenue-R-NW-33881/home/46284105,Stellar MLS as Distributed by MLS Grid,L4941095,N,Y,28.041838,-81.774096
MLS Listing,,Single Family Residential,138 Jerica Ln,Davenport,FL,33897,370000,3,2.5,DAVENPORT LAKES PH 05,2021,5297,2006,1,183,40,Active,,,https://www.redfin.com/FL/Davenport/138-Jerica-Ln-33897/home/46091389,Stellar MLS as Distributed by MLS Grid,O6160463,N,Y,28.3331934,-81.6698512
MLS Listing,,Single Family Residential,413 Sierra Mike Blvd,Lake Alfred,FL,33850,318000,3,2.0,LAKE ALFRED ESTATES,1591,12306,2014,1,200,53,Active,,,https://www.redfin.com/FL/Lake-Alfred/413-Sierra-Mike-Blvd-33850/home/46087210,Stellar MLS as Distributed by MLS Grid,S5095500,N,Y,28.1162024,-81.7242758
MLS Listing,,Single Family Residential,605 Cantabria Dr,Davenport,FL,33837,434900,2,2.0,DEL WEBB ORLANDO PH 5 7,1829,6604,2018,1,238,310,Active,,,https://www.redfin.com/FL/Davenport/605-Cantabria-Dr-33837/home/144456011,Stellar MLS as Distributed by MLS Grid,S5094607,N,Y,28.1691646,-81.6218749
MLS Listing,,Single Family Residential,245 Rialto Rd,Poinciana,FL,34759,264900,2,2.0,SOLIVITA PH 03A,1387,4421,2005,1,191,406,Active,,,https://www.redfin.com/FL/Poinciana/245-Rialto-Rd-34759/home/46058084,Stellar MLS as Distributed by MLS Grid,O6161556,N,Y,28.1236666,-81.4689016
MLS Listing,,Single Family Residential,608 Amazon Pl,Poinciana,FL,34759,324900,4,3.0,POINCIANA NBRHD 02 WEST VILLAGE 07,1865,10454,2023,1,174,83,Active,,,https://www.redfin.com/FL/Poinciana/608-Amazon-Pl-34759/home/46256154,Stellar MLS as Distributed by MLS Grid,O6161546,N,Y,28.094354,-81.518968
MLS Listing,,Vacant Land,Chambers St,Lake Wales,FL,33898,74900,,,LAKE WALK IN WATER HEIGHTS,,30283,,1,,,Active,,,https://www.redfin.com/FL/Lake-Wales/Chambers-St-33898/home/46048315,Stellar MLS as Distributed by MLS Grid,A4591326,N,Y,27.823882,-81.44029
MLS Listing,,Vacant Land,128 Caladium Ave,Lake Alfred,FL,33850,149000,,,WATER RIDGE SUB,,11758,,1,,188,Active,,,https://www.redfin.com/FL/Lake-Alfred/128-Caladium-Ave-33850/home/162584608,Stellar MLS as Distributed by MLS Grid,P4928324,N,Y,28.094668,-81.753669
MLS Listing,,Single Family Residential,6078 Broad Oak Dr,Davenport,FL,33837,750000,6,5.5,SOLTERRA RESORT,3270,11325,2019,1,229,422,Active,,,https://www.redfin.com/FL/Davenport/6078-Broad-Oak-Dr-33837/home/154002807,Stellar MLS as Distributed by MLS Grid,O6161514,N,Y,28.2306892,-81.6011295
MLS Listing,,Single Family Residential,1640 Doves View Cir,Auburndale,FL,33823,359000,4,2.0,DOVES VIEW,1858,11469,2012,1,193,33,Active,,,https://www.redfin.com/FL/Auburndale/1640-Doves-View-Cir-33823/home/46081465,Stellar MLS as Distributed by MLS Grid,S5095694,N,Y,28.1225055,-81.7927776
MLS Listing,,Single Family Residential,2615 Huntington Hills Dr,Lakeland,FL,33810,469900,4,2.0,HUNTINGTON HILLS PH 03,2084,14288,2006,1,225,56,Active,,,https://www.redfin.com/FL/Lakeland/2615-Huntington-Hills-Dr-33810/home/46272363,Stellar MLS as Distributed by MLS Grid,L4940992,N,Y,28.1258926,-82.0014978
MLS Listing,,Condo/Co-op,701 Olde Camelot Cir Unit 3290-1,Haines City,FL,33844,150000,2,2.0,GRENELEFE CAMELOT CONDO PH 03,1123,,1979,1,134,402,Active,,,https://www.redfin.com/FL/Haines-City/701-Olde-Camelot-Cir-33844/unit-3290-1/home/46125911,Stellar MLS as Distributed by MLS Grid,P4928289,N,Y,28.070562,-81.548293
MLS Listing,,Townhouse,332 Caribbean Dr,Davenport,FL,33897,279990,3,3.0,ISLAND CLUB WEST PH 02,1364,1364,2002,1,205,220,Active,,,https://www.redfin.com/FL/Davenport/332-Caribbean-Dr-33897/home/46298394,Stellar MLS as Distributed by MLS Grid,O6161529,N,Y,28.3124186,-81.6800334
MLS Listing,,Single Family Residential,1166 Nelson Meadow Ln,Poinciana,FL,34759,328400,4,2.0,POINCIANA NBRHD 06 VILLAGE 07,1755,12362,2023,1,187,80,Active,,,https://www.redfin.com/FL/Poinciana/1166-Nelson-Meadow-Ln-34759/home/46170174,Stellar MLS as Distributed by MLS Grid,O6161528,N,Y,28.034052,-81.511811
MLS Listing,,Townhouse,1988 Greenbriar Ter,Davenport,FL,33837,415000,4,2.5,FAIRWAY VILLAS-PH 2,2280,2749,2022,1,182,209,Active,,,https://www.redfin.com/FL/Davenport/1988-Greenbriar-Ter-33837/home/144456321,Stellar MLS as Distributed by MLS Grid,S5095734,N,Y,28.2116622,-81.5487303
MLS Listing,,Single Family Residential,1601 Roselawn St SW,Winter Haven,FL,33880,249900,3,1.0,TRANQUILITY PARK 02 REP,1099,15050,1960,2,227,,Active,,,https://www.redfin.com/FL/Winter-Haven/1601-Roselawn-St-SW-33880/home/46291383,Stellar MLS as Distributed by MLS Grid,O6161393,N,Y,28.0090349,-81.7458631
MLS Listing,,Single Family Residential,286 Lake Vista Dr,Auburndale,FL,33823,575000,3,2.0,LAKE JULIANA ESTATES,2006,8316,2008,2,287,196,Active,,,https://www.redfin.com/FL/Auburndale/286-Lake-Vista-Dr-33823/home/46075178,Stellar MLS as Distributed by MLS Grid,T3489577,N,Y,28.1456239,-81.803626
MLS Listing,,Single Family Residential,4105 Hwy 60 W,Mulberry,FL,33860,265000,4,3.0,ACREAGE,2157,217891,1968,2,123,,Active,,,https://www.redfin.com/FL/Mulberry/4105-60-33860/home/163209649,Stellar MLS as Distributed by MLS Grid,T3489240,N,Y,27.9152276,-82.0199109
MLS Listing,,Single Family Residential,402 Rio Grande Ct,Poinciana,FL,34759,359999,3,2.0,POINCIANA NEIGHBORHOOD 2,2012,8006,2005,2,179,83,Active,,,https://www.redfin.com/FL/Poinciana/402-Rio-Grande-Ct-34759/home/46255155,Stellar MLS as Distributed by MLS Grid,S5095731,N,Y,28.0799279,-81.5109919
MLS Listing,,Vacant Land,745 Meandering Way,Polk City,FL,33868,189900,,,MT OLIVE SHORES NORTH ADD 04,,8912,,2,,168,Active,,,https://www.redfin.com/FL/Polk-City/745-Meandering-Way-33868/home/46073371,Stellar MLS as Distributed by MLS Grid,L4941087,N,Y,28.168169,-81.836615
MLS Listing,,Condo/Co-op,2025 Sylvester Rd Unit B-1,Lakeland,FL,33803,234950,3,2.0,KIMBERLEA CONDO 04,1545,1566,1982,2,152,500,Active,,,https://www.redfin.com/FL/Lakeland/2025-Sylvester-Rd-33803/unit-B1/home/46232979,Stellar MLS as Distributed by MLS Grid,L4941086,N,Y,28.0180106,-81.9223026
MLS Listing,,Single Family Residential,163 Shannon Oaks Dr,Lakeland,FL,33813,815000,5,3.0,AMANDA OAKS,3327,22102,2006,2,245,83,Active,,,https://www.redfin.com/FL/Lakeland/163-Shannon-Oaks-Dr-33813/home/46305771,Stellar MLS as Distributed by MLS Grid,T3489581,N,Y,27.9394576,-81.9550585
MLS Listing,,Single Family Residential,37 Beaverkill Dr,Lake Wales,FL,33898,350000,2,2.0,SADDLEBAG LAKE,1104,4522,2018,2,317,226,Active,,,https://www.redfin.com/FL/Lake-Wales/37-Beaverkill-Dr-33898/home/46097561,Stellar MLS as Distributed by MLS Grid,P4928313,N,Y,27.897338,-81.4714472
MLS Listing,,Single Family Residential,6866 Bendelow Dr,Lakeland,FL,33810,315000,3,2.0,HUNTINGTON HILLS PH 04A,1674,5323,2002,2,188,269,Active,,,https://www.redfin.com/FL/Lakeland/6866-Bendelow-Dr-33810/home/46304232,Stellar MLS as Distributed by MLS Grid,O6161490,N,Y,28.1316418,-82.0086318
MLS Listing,,Single Family Residential,1349 Yorkdale Rd,Davenport,FL,33837,449000,4,3.0,RESERVE/AVIANA,2404,6242,2021,2,187,59,Active,,,https://www.redfin.com/FL/Davenport/1349-Yorkdale-Rd-33837/home/173890925,Stellar MLS as Distributed by MLS Grid,O6160946,N,Y,28.1660313,-81.6496336
MLS Listing,,Condo/Co-op,909 Charo Pkwy #1017,Davenport,FL,33897,269000,3,3.0,BELLA PIAZZA,1326,,2008,2,203,617,Active,,,https://www.redfin.com/FL/Davenport/909-Charo-Pkwy-33897/unit-1017/home/46086751,Stellar MLS as Distributed by MLS Grid,T3489500,N,Y,28.3125866,-81.6712009
MLS Listing,,Single Family Residential,3268 Whispering Trl,Winter Haven,FL,33884,249900,3,2.0,WHISPERING TRAILS PHASE 2,1253,5462,2016,2,199,75,Active,,,https://www.redfin.com/FL/Winter-Haven/3268-Whispering-Trails-Ave-33884/home/46084742,MARMLS,A11494586,N,Y,28.0153561,-81.6588802
MLS Listing,,Single Family Residential,621 Emma St,Lakeland,FL,33815,129999,2,1.0,ADAMS SUB,816,6438,1950,2,159,,Active,,,https://www.redfin.com/FL/Lakeland/621-Emma-St-33815/home/46282934,Stellar MLS as Distributed by MLS Grid,T3489557,N,Y,28.0533561,-81.9637308
MLS Listing,,Single Family Residential,1316 Andalusia Loop,Davenport,FL,33837,440000,5,3.0,MARBELLA AT DAVENPORT,3319,7806,2016,2,133,180,Active,,,https://www.redfin.com/FL/Davenport/1316-Andalusia-Loop-33837/home/46084177,Stellar MLS as Distributed by MLS Grid,T3488836,N,Y,28.1672956,-81.616634
MLS Listing,,Vacant Land,151 Blazing Star Ave,Lake Alfred,FL,33850,94900,,,WATER RIDGE SUB,,11561,,2,,333,Active,,,https://www.redfin.com/FL/Lake-Alfred/151-Blazing-Star-Ave-33850/home/46075693,Stellar MLS as Distributed by MLS Grid,S5095717,N,Y,28.097373,-81.754655
MLS Listing,,Vacant Land,540 Mockingbird Ct,Frostproof,FL,33843,96500,,,BLUE JORDAN FOREST,,135785,,2,,35,Active,,,https://www.redfin.com/FL/Frostproof/540-Mockingbird-Ct-33843/home/46244734,Stellar MLS as Distributed by MLS Grid,P4928311,N,Y,27.740965,-81.457261
MLS Listing,,Single Family Residential,1445 Swan Ct,Kissimmee,FL,33936,299990,4,2.0,POINCIANA NBRHD 06 SOUTH,1700,,2022,2,176,83,Active,,,https://www.redfin.com/FL/Poinciana/1445-Swan-Ct-34759/home/46262865,MARMLS,A11494789,N,Y,28.0872703,-81.4804821
MLS Listing,,Single Family Residential,1830 EF Griffin Rd,Bartow,FL,33830,615000,3,2.0,OLD HOMESTEAD ACRES,2877,44074,2006,2,214,,Active,,,https://www.redfin.com/FL/Bartow/1830-Ef-Griffin-Rd-33830/home/46059694,Stellar MLS as Distributed by MLS Grid,L4941085,N,Y,27.9137838,-81.869179
MLS Listing,,Single Family Residential,4220 Hillgrade Rd,Mulberry,FL,33860,550000,2,2.0,MULBERRY,1680,215866,1998,2,327,,Active,,,https://www.redfin.com/FL/Mulberry/4220-Hillgrade-Rd-33860/home/46176715,Stellar MLS as Distributed by MLS Grid,T3488107,N,Y,27.8758978,-82.0131456
MLS Listing,,Single Family Residential,9027 Hammock Loop,Polk City,FL,33868,245000,3,2.0,COUNTRY TRAILS PH 04,1288,54986,1996,2,190,,Active,,,https://www.redfin.com/FL/Polk-City/9027-Hammock-Loop-33868/home/46093800,Stellar MLS as Distributed by MLS Grid,L4941079,N,Y,28.1631227,-81.867915
MLS Listing,,Single Family Residential,221 Caloosa Lake Cir S,Lake Wales,FL,33859,135000,2,2.0,CALOOSA LAKE VILLAGE,896,5998,2005,2,151,,Active,,,https://www.redfin.com/FL/Lake-Wales/221-Caloosa-Lake-Cir-S-33859/home/46265180,Stellar MLS as Distributed by MLS Grid,P4928314,N,Y,27.8328048,-81.5858557
MLS Listing,,Condo/Co-op,6089 Topher Trl #6089,Mulberry,FL,33860,171000,2,1.0,FAIRWOODS A CONDO,662,,1984,2,258,298,Active,,,https://www.redfin.com/FL/Mulberry/6089-Topher-Trl-33860/unit-6089/home/54630849,Stellar MLS as Distributed by MLS Grid,L4940863,N,Y,27.932819,-81.985942
MLS Listing,,Condo/Co-op,5101 Village Ct Unit E-1,Lake Wales,FL,33898,215000,2,2.0,COUNTRY CLUB VILLAGE CONDO,1280,1063,1984,2,168,417,Active,,,https://www.redfin.com/FL/Lake-Wales/5101-Village-Ct-33898/unit-E-1/home/54652309,Stellar MLS as Distributed by MLS Grid,S5095061,N,Y,27.895684,-81.537853
MLS Listing,,Vacant Land,Greyhound Ave,Lake Wales,FL,33859,39000,,,LAKE WALES,,50338,,2,,10,Active,,,https://www.redfin.com/FL/Lake-Wales/Greyhound-Ave-33859/home/46248151,Stellar MLS as Distributed by MLS Grid,K4902344,N,Y,27.822124,-81.661004
MLS Listing,,Vacant Land,Hammonds Rd,Frostproof,FL,33843,79900,,,OAKRIDGE ESTATES,,104182,,2,,,Active,,,https://www.redfin.com/FL/Frostproof/Hammonds-Rd-33843/home/46276240,Stellar MLS as Distributed by MLS Grid,P4928326,N,Y,27.715878,-81.598277
MLS Listing,,Single Family Residential,3968 Cortland Dr,Davenport,FL,33837,445000,4,3.0,CORTLAND WOODS/PROVIDENCE-PH 3,2027,6129,2017,3,220,133,Active,,,https://www.redfin.com/FL/Davenport/3968-Cortland-Dr-33837/home/103854034,Stellar MLS as Distributed by MLS Grid,O6161346,N,Y,28.2171855,-81.555722
MLS Listing,,Single Family Residential,998 Chanler Dr,Haines City,FL,33844,326990,4,2.0,CHANLER RDG PH 02,1826,6364,2019,3,179,33,Active,,,https://www.redfin.com/FL/Haines-City/998-Chanler-Dr-33844/home/46077478,Stellar MLS as Distributed by MLS Grid,O6161399,N,Y,28.112367,-81.6528861
MLS Listing,,Single Family Residential,4527 Redwood St,Winter Haven,FL,33880,124900,2,2.0,OAKWOOD ESTATES,1164,3681,1983,3,107,150,Active,,,https://www.redfin.com/FL/Winter-Haven/4527-Redwood-St-33880/home/46103493,Stellar MLS as Distributed by MLS Grid,B4901376,N,Y,27.9939623,-81.7899157
MLS Listing,,Townhouse,1465 Thousand Roses Dr N,Lake Wales,FL,33853,168000,2,2.0,THOUSAND ROSES,858,3672,2002,3,196,50,Active,,,https://www.redfin.com/FL/Lake-Wales/1465-Thousand-Roses-Dr-N-33853/home/46046399,Stellar MLS as Distributed by MLS Grid,P4928323,N,Y,27.8976075,-81.5588975
MLS Listing,,Single Family Residential,233 ST Thomas Dr,Mulberry,FL,33860,439900,3,2.5,BRIDGEPORT LAKES PH 1,2062,7884,2022,3,213,75,Active,,,https://www.redfin.com/FL/Mulberry/233-St-Thomas-Dr-33860/home/173878410,Stellar MLS as Distributed by MLS Grid,T3488660,N,Y,27.916336,-81.972671
MLS Listing,,Single Family Residential,1515 Eloise Ct,Poinciana,FL,34759,280000,3,2.0,POINCIANA NBRHD 02 WEST VILLAGE 07,1620,8525,2004,3,173,19,Active,,,https://www.redfin.com/FL/Poinciana/1515-Eloise-Ct-34759/home/46254247,Stellar MLS as Distributed by MLS Grid,O6161389,N,Y,28.0746171,-81.5145959
MLS Listing,,Single Family Residential,129 Imperial Oak Ct,Davenport,FL,33896,402000,4,2.0,THOUSAND OAKS PH 01,1714,9387,1996,3,235,27,Active,,,https://www.redfin.com/FL/Davenport/129-Imperial-Oak-Ct-33896/home/46093142,Stellar MLS as Distributed by MLS Grid,O6161102,N,Y,28.2484538,-81.571532
MLS Listing,,Single Family Residential,4223 Shadow Wood Ct,Winter Haven,FL,33880,389900,4,3.0,SHADOW WOOD SUB,2040,14728,1978,3,191,,Active,,,https://www.redfin.com/FL/Winter-Haven/4223-Shadow-Wood-Ct-33880/home/46263814,Stellar MLS as Distributed by MLS Grid,P4928292,N,Y,28.0040318,-81.7854946
MLS Listing,,Single Family Residential,173 Edgewood Blvd,Lake Wales,FL,33898,99900,2,2.0,TWIN FOUNTAINS INC A CONDO MHP,780,4657,1984,3,128,180,Active,,,https://www.redfin.com/FL/Lake-Wales/173-Edgewood-Blvd-33898/home/46103980,Stellar MLS as Distributed by MLS Grid,P4928306,N,Y,27.9898697,-81.5924785
MLS Listing,,Single Family Residential,5591 Keaton Springs Dr,Lakeland,FL,33811,324900,3,2.0,RIVERSTONE PH 1,1567,6050,2021,3,207,8,Active,,,https://www.redfin.com/FL/Lakeland/5591-Keaton-Springs-Dr-33811/home/173877277,Stellar MLS as Distributed by MLS Grid,T3489139,N,Y,27.9638649,-82.0240889
MLS Listing,,Single Family Residential,3018 Park St,Lakeland,FL,33803,300000,3,2.0,EATON PARK,1193,6930,2022,3,251,,Active,,,https://www.redfin.com/FL/Lakeland/3018-Park-St-33803/home/46260535,Stellar MLS as Distributed by MLS Grid,T3489385,N,Y,28.0088641,-81.9054547
MLS Listing,,Single Family Residential,3890 Cleveland Heights Blvd,Lakeland,FL,33813,1200000,6,6.0,LAKELAND,5739,51457,1951,3,209,,Active,,,https://www.redfin.com/FL/Lakeland/3890-Cleveland-Heights-Blvd-33813/home/46126479,Stellar MLS as Distributed by MLS Grid,L4941030,N,Y,27.9903946,-81.9481433
MLS Listing,,Single Family Residential,4457 Kaipo Rd,Davenport,FL,33897,1125000,10,8.0,WINDSOR ISLAND RESIDENCE PH 3,4398,6003,2023,3,256,482,Active,,,https://www.redfin.com/FL/Davenport/4457-Kaipo-Rd-33897/home/182901635,Stellar MLS as Distributed by MLS Grid,O6161377,N,Y,28.3155345,-81.6658644
MLS Listing,,Single Family Residential,750 Barrister Dr,Auburndale,FL,33823,350000,4,2.0,AUBURN PRESERVE,1711,7714,2012,3,205,36,Active,,,https://www.redfin.com/FL/Auburndale/750-Barrister-Dr-33823/home/46067234,Stellar MLS as Distributed by MLS Grid,O6161092,N,Y,28.1284391,-81.8187215
MLS Listing,,Vacant Land,355 Spinnaker Ct,Auburndale,FL,33823,85000,,,WATER RIDGE SUB,,14031,,3,,188,Active,,,https://www.redfin.com/FL/Auburndale/355-Spinnaker-Ct-33823/home/46067322,Stellar MLS as Distributed by MLS Grid,P4928302,N,Y,28.091316,-81.7640179
MLS Listing,,Single Family Residential,5966 Lake Victoria Dr,Lakeland,FL,33813,699000,4,3.0,LAKE VICTORIA SUB,2948,14998,1995,3,237,100,Active,,,https://www.redfin.com/FL/Lakeland/5966-Lake-Victoria-Dr-33813/home/46186361,Stellar MLS as Distributed by MLS Grid,O6161066,N,Y,27.9615399,-81.9565075
