SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,0 Roberts St,Palatka,FL,32148,5500,,,INTERLACHEN LAKES ESTATES,,9408,,2,,,Active,,,https://www.redfin.com/FL/Unknown/Roberts-St-32148/home/171798127,MARMLS,A11494885,N,Y,29.637983,-81.854961
MLS Listing,,Vacant Land,0 April Ave,Palatka,FL,32148,5500,,,INTERLACHEN LAKES ESTATES,,9365,,2,,,Active,,,https://www.redfin.com/FL/Unknown/April-Ave-32148/home/148565832,MARMLS,A11494875,N,Y,29.655265,-81.869208
MLS Listing,,Vacant Land,0 Schaffer St,Palatka,FL,32148,5500,,,INTERLACHEN LAKES ESTATES,,9365,,2,,,Active,,,https://www.redfin.com/FL/Interlachen/Schaffer-St-32148/home/146638328,MARMLS,A11494851,N,Y,29.677779,-81.872436
MLS Listing,,Vacant Land,116 Eagerton Trl,Palatka,FL,32177,135000,,,Metes & Bounds,,63162,,2,,,Active,,,https://www.redfin.com/FL/Palatka/116-Eagerton-Trl-32177/home/112463408,NEFLMLS,1259902,N,Y,29.598983,-81.634597
MLS Listing,,Mobile/Manufactured Home,121 Islander Rd,Satsuma,FL,32189,144900,2,2.0,St Johns Riverside Ests M,784,,2023,2,185,,Active,,,https://www.redfin.com/FL/Satsuma/121-Islander-Rd-32189/home/112423818,NEFLMLS,1259901,N,Y,29.5839565,-81.6188459
MLS Listing,,Vacant Land,3015 Main St,Hawthorne,FL,32640,105000,,,Metes & Bounds,,12196,,2,,,Active,,,https://www.redfin.com/FL/Hawthorne/3015-Main-St-32640/home/146595095,NEFLMLS,1259894,N,Y,29.632758,-81.967331
MLS Listing,,Vacant Land,105 Easy Ln,Satsuma,FL,32189,14000,,,ST JOHNS RIVERSIDE ESTATES,,9583,,2,,,Active,,,https://www.redfin.com/FL/Satsuma/105-Easy-Ln-32189/home/112443127,Stellar MLS as Distributed by MLS Grid,FC296513,N,Y,29.541526,-81.6296349
MLS Listing,,Vacant Land,107 Easy Ln,Satsuma,FL,32189,14000,,,ST JOHNS RIVERSIDE ESTATES,,9148,,2,,,Active,,,https://www.redfin.com/FL/Satsuma/107-Easy-Ln-32189/home/112436331,Stellar MLS as Distributed by MLS Grid,FC296512,N,Y,29.54153,-81.629389
MLS Listing,,Vacant Land,0 Creager Ave (corner Lot),Interlachen,FL,32148,7500,,,Interlachen Lakes Estates,,9583,,2,,,Active,,,https://www.redfin.com/FL/Unknown/Creager-Ave-32148/home/146995312,NEFLMLS,1259863,N,Y,29.692552,-81.847846
