SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,4343 Del Prado,Pace,FL,32571,545000,3,2.0,Pace,2216,47044,2007,46,246,,Active,,,https://www.redfin.com/FL/Pace/4343-Del-Prado-Cir-32571/home/139291502,PARMLS,635156,N,Y,30.590541,-87.102725
MLS Listing,,Single Family Residential,2590 Lovewood Dr,Navarre,FL,32566,530000,5,3.0,11 - Navarre/Gulf Breeze,2652,11761,2023,60,200,,Active,,,https://www.redfin.com/FL/Navarre/2590-Lovewood-Dr-32566/home/187832838,NAMLS,933857,N,Y,30.4298151,-86.9151547
MLS Listing,,Single Family Residential,10090 American Farms Rd,Milton,FL,32583,329900,4,2.0,10 - North Santa Rosa County,1845,43995,2024,16,179,,Active,,,https://www.redfin.com/FL/Milton/10090-American-Farms-Rd-32583/home/188610161,NAMLS,936914,N,Y,30.6195977,-86.8984157
MLS Listing,,Single Family Residential,1988 Guseman Rd,Gulf Breeze,FL,32563,410000,3,2.0,11 - Navarre/Gulf Breeze,1643,21780,2023,12,250,,Active,,,https://www.redfin.com/FL/Gulf-Breeze/1988-Guseman-Rd-32563/home/139294882,NAMLS,937173,N,Y,30.40905,-86.994783
MLS Listing,,Townhouse,1821 Sound Haven Ct,Navarre,FL,32566,319900,3,2.5,11 - Navarre/Gulf Breeze,1614,1742,2016,45,198,200,Active,,,https://www.redfin.com/FL/Navarre/1821-Sound-Haven-Ct-32566/home/139785187,NAMLS,934990,N,Y,30.4011317,-86.9197292
MLS Listing,,Single Family Residential,7573 Frankfort St,Navarre,FL,32566,410000,4,2.0,11 - Navarre/Gulf Breeze,1880,20037,2004,20,218,43,Active,,,https://www.redfin.com/FL/Navarre/7573-Frankfort-St-32566/home/139534737,NAMLS,936149,N,Y,30.4129086,-86.9064095
MLS Listing,,Single Family Residential,6260 Jenks Dr,Gulf Breeze,FL,32563,559000,5,3.0,11 - Navarre/Gulf Breeze,3113,9583,2022,193,180,87,Active,,,https://www.redfin.com/FL/Gulf-Breeze/6260-Jenks-Dr-32563/home/177349958,NAMLS,924079,N,Y,30.4163003,-86.9629953
MLS Listing,,Single Family Residential,1946 Bayou Dr,Navarre,FL,32566,525900,4,2.0,11 - Navarre/Gulf Breeze,2238,20000,2023,18,235,42,Active,,,https://www.redfin.com/FL/Navarre/1946-Bayou-Dr-32566/home/139732820,NAMLS,936753,N,Y,30.407138,-86.907807
MLS Listing,,Vacant Land,1781 Commander Harvey Ln,Navarre,FL,32566,125000,,,11 - Navarre/Gulf Breeze,,14810,,39,,,Active,,,https://www.redfin.com/FL/Navarre/1781-Commander-Harvey-Ln-32566/home/139725502,NAMLS,935401,N,Y,30.399904,-86.887381
