SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,4524 Highland Oaks Cir,Sarasota,FL,34235,999000,3,2.5,THE HIGHLANDS,3395,10193,1988,18,294,155,Active,,,https://www.redfin.com/FL/Sarasota/4524-Highland-Oaks-Cir-34235/home/47623475,Stellar MLS as Distributed by MLS Grid,T3486095,N,Y,27.3711486,-82.4827635
MLS Listing,,Single Family Residential,875 Seascape Pl,Sarasota,FL,34240,899900,2,2.5,LAKEHOUSE COVE/WATERSIDE PH L,2132,10651,2021,31,422,327,Active,,,https://www.redfin.com/FL/Sarasota/875-Seascape-Pl-34240/home/148585166,Stellar MLS as Distributed by MLS Grid,T3470696,N,Y,27.3641051,-82.4036777
MLS Listing,,Single Family Residential,4508 Abernant Ave,North Port,FL,34287,399000,3,2.0,PORT CHARLOTTE SUB 52,1550,14866,1997,32,257,,Active,,,https://www.redfin.com/FL/North-Port/4508-Abernant-Ave-34287/home/47772051,Stellar MLS as Distributed by MLS Grid,T3482841,N,Y,27.063034,-82.2062517
MLS Listing,,Single Family Residential,5860 Elegant Orchid Way,Sarasota,FL,34232,540000,5,3.0,GARDEN VILLAGE,2447,4620,2021,46,221,70,Active,,,https://www.redfin.com/FL/Sarasota/5860-Elegant-Orchid-Way-34232/home/172798154,Stellar MLS as Distributed by MLS Grid,T3468406,N,Y,27.3310863,-82.4519399
MLS Listing,,Single Family Residential,5707 Woodland Sage Dr,Sarasota,FL,34238,634000,4,2.5,PROMENADE ESTATES PH II,2045,6314,2022,59,310,184,Active,,,https://www.redfin.com/FL/Sarasota/5707-Woodland-Sage-Dr-34238/home/177497135,Stellar MLS as Distributed by MLS Grid,T3474915,N,Y,27.1985938,-82.4491043
MLS Listing,,Single Family Residential,1862 Nustone Rd,North Port,FL,34288,469900,4,2.0,PORT CHARLOTTE SUB 33,1812,12830,2019,61,259,,Active,December-10-2023 11:00 AM,December-10-2023 02:00 PM,https://www.redfin.com/FL/North-Port/1862-Nustone-Rd-34288/home/47794166,Stellar MLS as Distributed by MLS Grid,T3476072,N,Y,27.0626012,-82.1349611
MLS Listing,,Condo/Co-op,540 Neptune Ave #4,Longboat Key,FL,34228,579000,2,2.0,GULF KEY CONDO,1044,49976,1972,62,555,700,Active,,,https://www.redfin.com/FL/Longboat-Key/540-Neptune-Ave-34228/unit-4/home/47614255,Stellar MLS as Distributed by MLS Grid,T3476459,N,Y,27.3692753,-82.6268401
MLS Listing,,Single Family Residential,8988 Mondial Ct,Venice,FL,34293,469900,4,2.0,RAPALO,1812,7590,2017,66,259,220,Active,,,https://www.redfin.com/FL/Venice/8988-Mondial-Ct-34293/home/113207331,Stellar MLS as Distributed by MLS Grid,T3474850,N,Y,27.0289591,-82.3945718
MLS Listing,,Single Family Residential,4634 Caviar St,North Port,FL,34286,327500,3,2.0,PORT CHARLOTTE SUB 17,1476,10000,2006,67,222,,Active,,,https://www.redfin.com/FL/North-Port/4634-Caviar-St-34286/home/47756465,Stellar MLS as Distributed by MLS Grid,T3474274,N,Y,27.0970174,-82.1902901
MLS Listing,,Single Family Residential,7749 Sandhill Lake Dr,Sarasota,FL,34241,925000,3,3.0,SANDHILL LAKE,2694,7921,2021,87,343,360,Active,,,https://www.redfin.com/FL/Sarasota/7749-Sandhill-Lake-Dr-34241/home/170101507,Stellar MLS as Distributed by MLS Grid,T3469114,N,Y,27.269148,-82.4171034
MLS Listing,,Vacant Land,00 Blueleaf Dr Lot 10,North Port,FL,34288,18000,,,,,14796,,287,,,Active,,,https://www.redfin.com/FL/North-Port/Blueleaf-Dr-34288/unit-10/home/184401740,CPARMLS,737807,N,Y,27.053544,-82.061746
MLS Listing,,Vacant Land,00 Fireglow Cir Lot 12,North Port,FL,34288,18000,,,,,11371,,287,,,Active,,,https://www.redfin.com/FL/North-Port/Fireglow-Cir-34288/unit-12/home/184401821,CPARMLS,737808,N,Y,27.04782,-82.061719
MLS Listing,,Vacant Land,00 Bigflower Ave Lot 14,North Port,FL,34288,18000,,,,,12750,,287,,,Active,,,https://www.redfin.com/FL/North-Port/Big-Flower-34269/unit-14/home/184401687,CPARMLS,737806,N,Y,27.070835,-82.059791
