SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1837 Wingfield Dr,Longwood,FL,32779,920000,4,3.0,WINGFIELD RESERVE PH 1,2988,64185,1982,14,308,84,Active,,,https://www.redfin.com/FL/Longwood/1837-Wingfield-Dr-32779/home/46433917,Stellar MLS as Distributed by MLS Grid,O6158317,N,Y,28.7229541,-81.3907395
MLS Listing,,Single Family Residential,9978 Aloma Bend Ln,Oviedo,FL,32765,379000,3,2.5,ALOMA BEND TR 4,1335,6180,1990,38,284,44,Active,,,https://www.redfin.com/FL/Oviedo/9978-Aloma-Bend-Ln-32765/home/46446703,Stellar MLS as Distributed by MLS Grid,O6152615,N,Y,28.6182272,-81.2454513
MLS Listing,,Single Family Residential,346 Lakebreeze Cir,Lake Mary,FL,32746,350000,3,2.5,LAKEVIEW VILLAGE,1401,4478,1993,83,250,32,Active,,,https://www.redfin.com/FL/Lake-Mary/346-Lakebreeze-Cir-32746/home/46398766,Stellar MLS as Distributed by MLS Grid,O6134843,N,Y,28.745664,-81.3458929
MLS Listing,,Vacant Land,E E SR 434 State Rd,Winter Springs,FL,32708,475000,,,ENTZMINGER FARMS ADD 2,,149846,,1,,,Active,,,https://www.redfin.com/FL/Winter-Springs/Unknown-32708/home/188812495,Stellar MLS as Distributed by MLS Grid,O6160369,N,Y,28.703307,-81.268816
MLS Listing,,Single Family Residential,3986 Campfire Way,Casselberry,FL,32707,325000,2,2.5,DEER RUN UNIT 14B,1185,2693,1996,1,274,243,Active,,,https://www.redfin.com/FL/Casselberry/3986-Campfire-Way-32707/home/46389565,Stellar MLS as Distributed by MLS Grid,O6161475,N,Y,28.6616668,-81.2920229
MLS Listing,,Single Family Residential,2816 Magnolia Ave,Sanford,FL,32773,385000,3,2.0,EVANS SUBD,1492,7700,2023,1,258,,Active,,,https://www.redfin.com/FL/Sanford/2816-Magnolia-Ave-32773/home/46333901,Stellar MLS as Distributed by MLS Grid,O6161201,N,Y,28.7757022,-81.2669881
MLS Listing,,Condo/Co-op,1054 Lotus Cove Ct #645,Altamonte Springs,FL,32714,199000,2,2.0,LAKE LOTUS CLUB 5 A CONDO REP,1246,,1985,1,160,593,Active,,,https://www.redfin.com/FL/Altamonte-Springs/1054-Lotus-Cove-Ct-32714/unit-645/home/46415203,Stellar MLS as Distributed by MLS Grid,O6156991,N,Y,28.6513263,-81.4246823
MLS Listing,,Condo/Co-op,564 Breckenridge Vlg #208,Altamonte Springs,FL,32714,210000,2,2.0,STONE CREEK AT WEKIVA A CONDO,1390,,1984,1,151,428,Active,,,https://www.redfin.com/FL/Altamonte-Springs/564-Breckenridge-Vlg-32714/unit-208/home/46338207,Stellar MLS as Distributed by MLS Grid,O6161317,N,Y,28.6798438,-81.4055322
MLS Listing,,Condo/Co-op,217 Cherrywood Gardens Dr,Maitland,FL,32751,185900,2,1.5,CHERRYWOOD GARDENS,1152,,1974,1,161,430,Active,,,https://www.redfin.com/FL/Maitland/217-Cherrywood-Gardens-Dr-32751/home/46407177,Stellar MLS as Distributed by MLS Grid,O6161278,N,Y,28.6410342,-81.3535885
