SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,128 Gan Way,St Johns,FL,32259,540000,4,3.0,Fruit Cove,2350,,2022,70,230,92,Active,,,https://www.redfin.com/FL/St-Johns/128-Gan-Wy-32259/home/183913117,NEFLMLS,1249483,N,Y,30.016833,-81.617989
MLS Listing,,Single Family Residential,50 Tobago Ln,St Augustine,FL,32092,540000,4,3.0,Windward Ranch,2027,,2021,88,266,130,Active,,,https://www.redfin.com/FL/Saint-Augustine/50-Tobago-Ln-32092/home/173997680,NEFLMLS,1246612,N,Y,29.926723,-81.444496
MLS Listing,,Single Family Residential,39 Carefree Ln,Ponte Vedra,FL,32081,645000,4,3.0,Daniel Park At Town Center,2299,,2018,132,281,67,Active,,,https://www.redfin.com/FL/Ponte-Vedra/39-Carefree-Ln-32081/home/146234461,NEFLMLS,1239300,N,Y,30.1086788,-81.4276623
MLS Listing,,Single Family Residential,1961 Four Mile Rd,St Augustine,FL,32084,249900,2,1.0,Sanchez Grant,1218,,1962,137,205,,Active,,,https://www.redfin.com/FL/Saint-Augustine/1961-Four-Mile-Rd-32084/home/139362777,NEFLMLS,1238349,N,Y,29.9131811,-81.3694793
MLS Listing,,Single Family Residential,202 Whirlaway Ct,St Johns,FL,32259,879000,5,4.0,Rivertown,3282,,2021,1,268,5,Active,,,https://www.redfin.com/FL/Saint-Johns/202-Whirlaway-Ct-32259/home/183911345,NEFLMLS,1230815,N,Y,30.0332684,-81.6355951
MLS Listing,,Single Family Residential,341 Marquesa Cir,St Johns,FL,32259,900000,4,4.5,Beachwalk,2921,8432,2022,1,308,124,Active,,,https://www.redfin.com/FL/Saint-Johns/341-Marquesa-Cir-32259/home/173996393,NEFLMLS,1259592,N,Y,30.0825413,-81.4797744
MLS Listing,,Single Family Residential,64 Nevis Peak Ln,St Augustine,FL,32092,610000,4,2.0,Windward Ranch,2267,,2020,1,269,389,Active,,,https://www.redfin.com/FL/Saint-Augustine/64-Nevis-Peak-Ln-32092/home/170465474,St. Augustine and St. Johns County Board of REALTORS®,237529,N,Y,29.9342571,-81.4408814
MLS Listing,,Single Family Residential,2070 Reef Dr,St Augustine,FL,32080,279900,2,2.0,Sea Ranch,960,7405,2003,1,292,,Active,,,https://www.redfin.com/FL/Saint-Augustine/2070-Reef-Dr-32080/home/139793653,St. Augustine and St. Johns County Board of REALTORS®,237528,N,Y,29.8575188,-81.2828742
MLS Listing,,Vacant Land,8525 Beverly Ln,St Augustine,FL,32092,649000,,,Colee Cove Landing,,36590,,1,,,Active,,,https://www.redfin.com/FL/Saint-Augustine/8525-Beverly-Ln-32092/home/139548021,NEFLMLS,1259998,N,Y,29.955826,-81.580516
