SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,509 SW Treasure Cv Cv,Port Saint Lucie,FL,34953,330000,2,2.0,Lake Charles Phase 3C,1439,5888,2002,3,229,279,Active,,,https://www.redfin.com/FL/Port-Saint-Lucie/509-SW-Treasure-Cv-34986/home/140055812,Beaches MLS,RX-10939811,N,Y,27.303158,-80.41103
MLS Listing,,Single Family Residential,2042 SW Capeador St,Port Saint Lucie,FL,34953,415000,3,2.0,Port ST Lucie Section 8,1867,10454,1991,4,222,,Active,,,https://www.redfin.com/FL/Port-Saint-Lucie/2042-SW-Capeador-St-34953/home/64087305,Beaches MLS,RX-10939608,N,Y,27.2806652,-80.389938
MLS Listing,,Single Family Residential,2211 SE Sidonia St,Port Saint Lucie,FL,34952,314000,2,2.0,South Port ST Lucie Unit 5,1388,10000,1982,18,226,,Active,,,https://www.redfin.com/FL/Port-Saint-Lucie/2211-SE-Sidonia-St-34952/home/104346731,Beaches MLS,RX-10936491,N,Y,27.274445,-80.3037696
MLS Listing,,Single Family Residential,10649 Pine Cone Ln,Fort Pierce,FL,34945,829000,3,2.0,Pine Hollow Unit One,2255,43996,1995,20,368,7,Active,,,https://www.redfin.com/FL/Fort-Pierce/10649-Pine-Cone-Ln-34945/home/69444412,Beaches MLS,RX-10935891,N,Y,27.416924,-80.438095
MLS Listing,,Single Family Residential,3408 Menendez Ave,Fort Pierce,FL,34947,409000,3,2.0,Dark Hammock Estates Unit 1,2559,20473,1969,69,160,,Active,,,https://www.redfin.com/FL/Fort-Pierce/3408-Menendez-Ave-34947/home/129516158,Beaches MLS,RX-10920630,N,Y,27.4430162,-80.3618195
MLS Listing,,Single Family Residential,117 NE Sagamore Ter,Port Saint Lucie,FL,34953,539900,3,2.0,Port ST Lucie Section 26,1778,10000,1990,70,304,,Active,,,https://www.redfin.com/FL/Port-Saint-Lucie/117-NE-Sagamore-Ter-34983/home/139829832,Beaches MLS,RX-10922212,N,Y,27.3314211,-80.3507044
MLS Listing,,Single Family Residential,12841 SW Barelli Ct,Port Saint Lucie,FL,34987,773500,3,3.0,Esplanade AT Tradition,3036,9583,2022,74,255,504,Active,,,https://www.redfin.com/FL/Port-Saint-Lucie/12841-SW-Barelli-Ct-34987/home/173781227,Beaches MLS,RX-10921396,N,Y,27.277547,-80.456907
MLS Listing,,Vacant Land,172 SE Rio Angelica,Port Saint Lucie,FL,34984,335000,,,Tesoro Plat NO 4,,9801,,94,,259,Active,,,https://www.redfin.com/FL/Port-Saint-Lucie/172-SE-Rio-Angelica-34984/home/139606273,Beaches MLS,RX-10916246,N,Y,27.233591,-80.339605
MLS Listing,,Townhouse,1755 SW Porta Nuova Ter,Port Saint Lucie,FL,34953,288000,4,3.0,Portofino Court,1597,1830,2007,129,180,189,Active,,,https://www.redfin.com/FL/Port-Saint-Lucie/1755-SW-Porta-Nuova-Ter-34953/home/139895880,Beaches MLS,RX-10907558,N,Y,27.2602627,-80.4036218
