SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,4738 E CR 462,Wildwood,FL,34785,640000,,,WILDWOOD,,30492,,1,,,Active,,,https://www.redfin.com/FL/Wildwood/4738-E-Co-Rd-462-34785/home/54767528,Stellar MLS as Distributed by MLS Grid,G5075871,N,Y,28.8840429,-82.0251001
MLS Listing,,Single Family Residential,448 Sherell ST St,The Villages,FL,32163,429999,3,2.0,VILLAGES/SOUTHERN OAKS UN #70,1484,4280,2021,1,290,189,Active,,,https://www.redfin.com/FL/The-Villages/448-Sherell-St-32163/home/177035119,Stellar MLS as Distributed by MLS Grid,U8222917,N,Y,28.780179,-81.959656
MLS Listing,,Condo/Co-op,18203 Sandalwood Dr #18203,Wildwood,FL,34785,144000,2,2.0,SANDALWOOD CONDO,1200,,1974,1,120,491,Active,,,https://www.redfin.com/FL/Wildwood/18203-Sandalwood-Dr-34785/unit-18203/home/80168250,Stellar MLS as Distributed by MLS Grid,G5075990,N,Y,28.8130085,-81.9828774
MLS Listing,,Single Family Residential,1950 Stafford Ave,The Villages,FL,32162,297000,2,2.0,THE VILLAGES,1156,3593,2005,2,257,189,Active,,,https://www.redfin.com/FL/The-Villages/1950-Stafford-Ave-32162/home/48453168,Stellar MLS as Distributed by MLS Grid,G5075689,N,Y,28.8859957,-81.9805575
MLS Listing,,Single Family Residential,5107 NE 124th Pl,Oxford,FL,34484,279999,3,2.0,VILLAGES OF PARKWOOD,1426,3800,2011,2,196,75,Active,,,https://www.redfin.com/FL/Oxford/5107-NE-124th-Pl-34484/home/48476658,Stellar MLS as Distributed by MLS Grid,OM668869,N,Y,28.937499,-82.019022
MLS Listing,,Single Family Residential,2148 Margarita Dr,The Villages,FL,32159,450000,3,2.0,THE VILLAGES,1986,5400,1998,2,227,189,Active,,,https://www.redfin.com/FL/The-Villages/2148-Margarita-Dr-32159/home/48483811,Stellar MLS as Distributed by MLS Grid,G5075897,N,Y,28.9503816,-81.9819595
MLS Listing,,Single Family Residential,5415 Sunshine Dr,Wildwood,FL,34785,329900,3,2.0,BEAUMONT PH 1,1810,5800,2020,3,182,122,Active,,,https://www.redfin.com/FL/Wildwood/5415-Sunshine-Dr-34785/home/173586394,Stellar MLS as Distributed by MLS Grid,G5075999,N,Y,28.870981,-82.0142741
MLS Listing,,Single Family Residential,2032 Chalmer Ter,The Villages,FL,32162,629000,3,2.0,VILLAGES OF SUMTER,1927,7059,2010,3,326,,Active,,,https://www.redfin.com/FL/The-Villages/2032-Chalmer-Ter-32162/home/48470348,Stellar MLS as Distributed by MLS Grid,G5075959,N,Y,28.884053,-82.0056504
MLS Listing,,Single Family Residential,2134 Kansas Rd,Sumterville,FL,33585,254990,3,2.0,SUMTER VILLAS PHASE THREE,1263,4965,2024,3,202,35,Active,,,https://www.redfin.com/FL/Sumterville/2134-Kansas-Rd-33585/home/188634377,Stellar MLS as Distributed by MLS Grid,C7484510,N,Y,28.734159469604492,-82.02245330810547
