SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,185th Rd,Live Oak,FL,32060,29997,,,LIVE OAK,,138521,,1,,,Active,,,https://www.redfin.com/FL/Unknown/185th-Rd-32060/home/182308610,Stellar MLS as Distributed by MLS Grid,O6161340,N,Y,30.3734,-83.1314
MLS Listing,,Vacant Land,LOT 5 205th Ln,Live Oak,FL,32060,9000,,,Live Oak,100,21344,,2,90,,Active,,,https://www.redfin.com/FL/Unknown/LOT-5-205th-Ln-32060/home/184785544,NFMLS,121746,N,Y,30.379612,-83.175025
MLS Listing,,Vacant Land,TBD 168th Ter,Wellborn,FL,32094,67000,,,"Beulah Estates, Phase 1",,204732,,3,,,Active,,,https://www.redfin.com/FL/Unknown/TBD-168th-Ter-32094/home/188800494,NFMLS,121745,N,Y,30.145594,-82.839029
MLS Listing,,Single Family Residential,22177 Lancaster Rd,Live Oak,FL,32060,725000,3,2.5,Live Oak,2452,958320,2007,3,296,,Active,,,https://www.redfin.com/FL/Live-Oak/22177-Lancaster-Rd-32060/home/188799125,NFMLS,121744,N,Y,30.247691,-83.210166
MLS Listing,,Vacant Land,13.26 Ac,Live Oak,FL,32060,198900,,,Live Oak,,577606,,3,,,Active,,,https://www.redfin.com/FL/Live-Oak/13-26-Ac-Unknown/home/188798272,NFMLS,121743,N,Y,30.376421,-82.919388
MLS Listing,,Vacant Land,13 Acres,Live Oak,FL,32060,172500,,,Live Oak,,566280,,3,,,Active,,,https://www.redfin.com/FL/Live-Oak/13-Acres-Unknown/home/188797930,NFMLS,121741,N,Y,30.373398,-82.918926
MLS Listing,,Vacant Land,4219 85th Rd,Live Oak,FL,32060,62500,,,Live Oak,335,217800,,3,187,,Active,,,https://www.redfin.com/FL/Live-Oak/4219-85th-Rd-32060/home/188796649,NFMLS,121740,N,Y,30.3747673,-82.9225385
MLS Listing,,Vacant Land,14th Ter,Live Oak,FL,32060,18900,,,SUWANNEE RIVER PARK ESTATE,,10125,,3,,,Active,,,https://www.redfin.com/FL/Unknown/Unknown-Unknown/home/142526231,Stellar MLS as Distributed by MLS Grid,O6161213,N,Y,30.422649,-83.129131
MLS Listing,,Single Family Residential,9816 87th Dr,Live Oak,FL,32060,539000,3,2.5,Live Oak,1873,536659,1980,4,288,,Active,,,https://www.redfin.com/FL/Live-Oak/9816-87th-Dr-32060/home/144718041,NFMLS,121735,N,Y,30.273504,-82.926353
