SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,20903 Osprey Cirs,Perry,FL,,215000,,,Cedar Island Sandpiper unit,,10890,,2,,,Active,,,https://www.redfin.com/FL/Perry/20903-Osprey-Cir-32348/home/142607449,CATRS,366184,N,Y,29.814186,-83.580388
MLS Listing,,Vacant Land,1050 James Bethea Rd,Perry,FL,32348,564752,,,Perry Canal Park,,7535880,,2,,,Active,,,https://www.redfin.com/FL/Perry/1050-James-Bethea-Rd-32348/home/142600159,NEFLMLS,1259886,N,Y,30.112957,-83.411775
MLS Listing,,Vacant Land,8026 N Airport Grade,Perry,FL,32348,199000,,,,,1263240,,2,,,Active,,,https://www.redfin.com/FL/Perry/8026-Airport-Grade-Rd-32348/home/174821298,CATRS,366178,N,Y,29.9614389,-83.4540606
MLS Listing,,Mobile/Manufactured Home,108 Airport Dr,Perry,FL,32348,125000,3,2.0,Highland Heights,920,20473,1989,3,136,,Active,,,https://www.redfin.com/FL/Perry/108-N-Airport-Rd-32348/home/142608899,CATRS,366172,N,Y,30.0820436,-83.5716698
MLS Listing,,Vacant Land,NW Second St,Steinhatchee,FL,32359,139900,,,Steinhatchee Subdivision,,7405,,4,,,Active,,,https://www.redfin.com/FL/Unknown/2nd-St-E-32359/home/183584176,DGLMLS,789633,N,Y,29.68389425,-83.3910906
MLS Listing,,Vacant Land,158 Tyler Ter,Perry,FL,32348,139000,,,Keaton Beach Ridge,,22651,,5,,,Active,,,https://www.redfin.com/FL/Perry/158-Tyler-Ter-32348/home/184081483,CATRS,366080,N,Y,29.851019,-83.587036
MLS Listing,,Single Family Residential,9732 N Us Hwy 221 Hwy,Perry,FL,32347,299900,2,1.0,NO,1240,304920,2000,5,242,,Active,,,https://www.redfin.com/FL/Perry/9732-US-221-32347/home/174819308,CATRS,366061,N,Y,30.255836,-83.622428
MLS Listing,,Mobile/Manufactured Home,231 Bradshaw Blvd,Perry,FL,32348,169000,3,2.0,Carlton Springs Subdivision,1721,44431,1999,5,98,,Active,,,https://www.redfin.com/FL/Perry/231-Bradshaw-Blvd-32348/home/142609429,CATRS,366057,N,Y,30.0554517,-83.5846727
MLS Listing,,Single Family Residential,1510 N Jefferson St,Perry,FL,32347,215000,3,2.0,Holmes,1936,33105,1929,6,111,,Active,,,https://www.redfin.com/FL/Perry/1510-N-Jefferson-St-32347/home/142610941,CATRS,366030,N,Y,30.1311822,-83.5831751
MLS Listing,,Single Family Residential,208 SE Twelfth St,Steinhatchee,FL,32359,239900,2,1.0,Steinhatchee Subdivision,832,7841,1969,6,288,,Active,,,https://www.redfin.com/FL/Steinhatchee/208-12th-St-SE-32359/home/142615113,DGLMLS,789616,N,Y,29.6708853,-83.374661
MLS Listing,,Single Family Residential,2289 Green Farm Rd,Perry,FL,32347,179000,2,2.0,N/A,1096,21780,1970,7,163,,Active,,,https://www.redfin.com/FL/Perry/2289-Green-Farm-Rd-32347/home/142602134,CATRS,365985,N,Y,30.1473352,-83.5883334
MLS Listing,,Single Family Residential,3850 Preston Sheffield Rd,Shady Grove,FL,32357,930000,3,2.5,SHADY GROVE,2492,2211541,2004,7,373,,Active,,,https://www.redfin.com/FL/Shady-Grove/3850-Preston-Sheffield-Rd-32357/home/184081842,Stellar MLS as Distributed by MLS Grid,OM668587,N,Y,30.265865,-83.633673
MLS Listing,,Mobile/Manufactured Home,16994 Clearwater Creek Ln,Keaton Beach,FL,32348,229000,4,2.0,-,2176,217800,2010,7,105,,Active,,,https://www.redfin.com/FL/Perry/16994-Clearwater-Creek-Ln-32348/home/142595576,CATRS,365946,N,Y,29.879344,-83.603606
