SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Mobile/Manufactured Home,9551 NW 102nd Ln,Lake Butler,FL,32054,265000,3,2.0,Metes & Bounds,1188,,2012,6,223,,Active,,,https://www.redfin.com/FL/Lake-Butler/9551-NW-102nd-Ln-32054/home/188726664,NEFLMLS,1259167,N,Y,30.0148635,-82.4516436
MLS Listing,,Single Family Residential,16077 SE 64th St,Lake Butler,FL,32054,379000,3,2.0,Turkey Creek,1504,,2023,13,252,,Active,,,https://www.redfin.com/FL/Lake-Butler/16077-SE-64th-St-32054/home/188647849,NEFLMLS,1258475,N,Y,29.9690586,-82.3562112
MLS Listing,,Vacant Land,SE 169th Ln,Lake Butler,FL,32054,741276,,,LAKE BUTLER,,10395887,,25,,,Active,,,https://www.redfin.com/FL/Unknown/SE-169th-Ln-32054/home/188512466,Stellar MLS as Distributed by MLS Grid,GC516671,N,Y,29.98611769,-82.33255237
MLS Listing,,Vacant Land,00 NE 233 Ln,Raiford,FL,32083,135000,,,Metes & Bounds,,435600,,26,,,Active,,,https://www.redfin.com/FL/Raiford/Lane-32083/home/174632148,NEFLMLS,1256677,N,Y,30.061441,-82.224863
MLS Listing,,Mobile/Manufactured Home,8128 SW 48th Ln,Lake Butler,FL,32054,279900,3,2.0,Providence Village,1577,218236,2004,27,177,,Active,,,https://www.redfin.com/FL/Lake-Butler/8128-SW-48th-Ln-32054/home/142697312,NFMLS,121487,N,Y,29.9961658,-82.5409672
MLS Listing,,Single Family Residential,15070 SW 94th Cir,Lake Butler,FL,32054,379900,3,2.0,HIDDEN OAKS,1664,21780,2022,32,228,,Active,,,https://www.redfin.com/FL/Lake-Butler/15070-SW-94th-Cir-32054/home/142699733,Stellar MLS as Distributed by MLS Grid,GC517297,N,Y,30.0122496,-82.3678616
MLS Listing,,Vacant Land,SW Sr 121,Lake Butler,FL,32054,103000,,,Lake Butler,230,217800,,33,448,,Active,,,https://www.redfin.com/FL/Unknown/SW-State-Road-121-32054/home/174628085,NFMLS,121420,N,Y,29.9901,-82.383061
MLS Listing,,Single Family Residential,20021 SE 88th Trl,Lake Butler,FL,32054,335000,2,2.0,Metes & Bounds,1784,,1989,33,188,,Active,,,https://www.redfin.com/FL/Lake-Butler/20021-SE-88th-Trl-32054/home/142695694,NEFLMLS,1255448,N,Y,30.0028862,-82.2877543
MLS Listing,,Vacant Land,SW 125th Loop,Worthington Springs,FL,32697,120000,,,NEW RIVER ESTATE,,60984,,34,,100,Active,,,https://www.redfin.com/FL/Worthington-Springs/Sw-125th-Loop-32697/home/142692821,Stellar MLS as Distributed by MLS Grid,GC517242,N,Y,29.933349,-82.41422
MLS Listing,,Single Family Residential,455 SE 6th Ave,Lake Butler,FL,32054,149900,3,2.0,Lake Butler,1075,15420,1995,35,139,,Active,,,https://www.redfin.com/FL/Lake-Butler/455-SE-6th-Ave-32054/home/142698119,NFMLS,121390,N,Y,30.0193455,-82.3305433
MLS Listing,,Single Family Residential,6643 SW 64th Trl,Lake Butler,FL,32054,650000,3,2.0,Metes & Bounds,1768,,1992,42,368,,Active,,,https://www.redfin.com/FL/Lake-Butler/6643-SW-64th-Trl-32054/home/187970657,NEFLMLS,1252313,N,Y,29.9715271,-82.5119243
MLS Listing,,Single Family Residential,9090 SW 113th Ave,Lake Butler,FL,32054,799000,4,2.0,Metes & Bounds,2726,,2019,54,293,,Active,,,https://www.redfin.com/FL/Lake-Butler/9090-SW-113th-Ave-32054/home/174390825,NEFLMLS,1252243,N,Y,30.008285,-82.4348
MLS Listing,,Single Family Residential,6443 SE 161st Ln,Lake Butler,FL,32054,394700,3,2.0,TURKEY RDG HOLLOW,1474,43560,2023,61,268,,Active,,,https://www.redfin.com/FL/Lake-Butler/6443-SE-161st-Ln-32054/home/187824423,Stellar MLS as Distributed by MLS Grid,GC516624,N,Y,29.9692813,-82.3539949
MLS Listing,,Single Family Residential,975 W Main St,Lake Butler,FL,32054,264900,4,2.0,Metes & Bounds,2403,,2003,69,110,,Active,,,https://www.redfin.com/FL/Lake-Butler/975-W-Main-St-32054/home/142699035,NEFLMLS,1249731,N,Y,30.0255624,-82.3502115
MLS Listing,,Vacant Land,10439 NE 237 COUNTY ROAD,Lake Butler,FL,32054,69900,,,Metes & Bounds,,174240,,72,,,Active,,,https://www.redfin.com/FL/Lake-Butler/10439-County-Rd-32054/home/187650464,NEFLMLS,1249296,N,Y,30.026931,-82.276201
MLS Listing,,Single Family Residential,8119 SW 44th Ave,Lake Butler,FL,32054,269000,3,2.0,LAKE BUTLER,1152,357192,1997,85,234,,Active,,,https://www.redfin.com/FL/Lake-Butler/8119-SW-44th-Ave-32054/home/142700127,Stellar MLS as Distributed by MLS Grid,GC516079,N,Y,29.9952972,-82.5486169
MLS Listing,,Vacant Land,SW County Road 241,Lake Butler,FL,32054,140000,,,BEVILLE ESTATE,,257004,,86,,,Active,,,https://www.redfin.com/FL/Lake-Butler/SW-County-Road-241-32054/home/142695006,Stellar MLS as Distributed by MLS Grid,GC515966,N,Y,29.998835,-82.508008
MLS Listing,,Single Family Residential,8117 SW County Road 796,Lake Butler,FL,32054,415000,3,2.0,Oak Grove,1705,217800,2002,95,243,,Active,,,https://www.redfin.com/FL/Lake-Butler/8117-SW-County-Road-796-32054/home/144718168,NFMLS,120810,N,Y,29.9942777,-82.4269663
MLS Listing,,Vacant Land,NW 89th Ave,Lake Butler,FL,32054,199000,,,LAKE BUTLER,,348480,,96,,,Active,,,https://www.redfin.com/FL/Lake-Butler/NW-89th-Ave-32054/home/142700952,Stellar MLS as Distributed by MLS Grid,FC294319,N,Y,30.067838,-82.475821
MLS Listing,,Single Family Residential,7970 SW State Road 121,Lake Butler,FL,32054,525000,6,3.0,NOT IN SUBDIVISION,1956,1435737,1972,101,268,,Active,,,https://www.redfin.com/FL/Lake-Butler/7970-SW-State-Road-121-32054/home/187076724,Stellar MLS as Distributed by MLS Grid,GC515543,N,Y,29.9919477,-82.3815378
