SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,837 E 17th Ave,New Smyrna Beach,FL,32169,735000,3,2.0,NEW SMYRNA BEACH DIV A & B,1238,7500,1971,3,594,,Active,,,https://www.redfin.com/FL/New-Smyrna-Beach/837-E-17th-Ave-32169/home/64652947,Stellar MLS as Distributed by MLS Grid,O6161192,N,Y,29.0169398,-80.8852259
MLS Listing,,Single Family Residential,424 Riverview Blvd,Daytona Beach,FL,32118,615000,5,4.0,EAST DAYTONA,2843,9875,1926,3,216,,Active,,,https://www.redfin.com/FL/Daytona-Beach/424-Riverview-Blvd-32118/home/64614086,Stellar MLS as Distributed by MLS Grid,R4907352,N,Y,29.2379567,-81.0162359
MLS Listing,,Single Family Residential,140 Conifer Ln,Ormond Beach,FL,32174,640000,3,2.0,PLANTATION PINES UNREC 246,2015,97574,2007,6,318,,Active,,,https://www.redfin.com/FL/Ormond-Beach/140-Conifer-Ln-32174/home/64501189,Stellar MLS as Distributed by MLS Grid,T3487970,N,Y,29.235588,-81.233259
MLS Listing,,Single Family Residential,2719 Travelers Palm Dr,Edgewater,FL,32141,275000,2,1.0,FLORIDA SHORES 01,1400,20000,1974,17,196,,Active,,,https://www.redfin.com/FL/Edgewater/2719-Travelers-Palm-Dr-32141/home/64664936,Stellar MLS as Distributed by MLS Grid,T3486806,N,Y,28.9490893,-80.9055861
MLS Listing,,Single Family Residential,2099 E Hyde Dr,Deltona,FL,32738,389000,4,2.5,DELTONA LAKES UNIT 17,2332,12282,2003,17,167,,Active,,,https://www.redfin.com/FL/Deltona/2099-N-Hyde-Dr-32738/home/64559979,Stellar MLS as Distributed by MLS Grid,O6157209,N,Y,28.8916305,-81.2120564
MLS Listing,,Single Family Residential,122 Salt Shaker St,Daytona Beach,FL,32124,565000,2,2.0,LATITUDE/DAYTONA BEACH PH 3A,1563,4549,2021,24,361,327,Active,,,https://www.redfin.com/FL/Daytona-Beach/122-Salt-Shaker-St-32124/home/170209169,Stellar MLS as Distributed by MLS Grid,T3485171,N,Y,29.226681,-81.118285
MLS Listing,,Single Family Residential,1859 Gatewood Dr,Deltona,FL,32738,359999,4,3.0,DELTONA LAKES UNIT 68,2042,10375,2020,24,176,,Active,,,https://www.redfin.com/FL/Deltona/1859-Gatewood-Dr-32738/home/64577228,Stellar MLS as Distributed by MLS Grid,T3484955,N,Y,28.9175934,-81.1815968
MLS Listing,,Townhouse,830 Aldenham Ln,Ormond Beach,FL,32174,374500,2,2.0,PLANTATION BAY SEC 2E-V UN 3-P,1562,6875,2018,25,240,282,Active,,,https://www.redfin.com/FL/Ormond-Beach/830-Aldenham-Ln-32174/home/110238578,Stellar MLS as Distributed by MLS Grid,O6155598,N,Y,29.3548767,-81.1368868
MLS Listing,,Multi-Family (2-4 Unit),42 S Grandview Ave,Daytona Beach,FL,32118,499000,4,4.0,ROGERS SEABREEZE,2726,5000,1940,28,183,,Active,,,https://www.redfin.com/FL/Daytona-Beach/42-S-Grandview-Ave-32118/home/63575183,Stellar MLS as Distributed by MLS Grid,O6153479,N,Y,29.2248117,-81.0089737
MLS Listing,,Townhouse,262 Florida Shores Blvd,Daytona Beach Shores,FL,32118,335000,2,2.5,SEA HAVENS,1428,1992,1985,32,235,331,Active,,,https://www.redfin.com/FL/Daytona-Beach-Shores/262-Florida-Shores-Blvd-32118/home/64616748,Stellar MLS as Distributed by MLS Grid,O6153957,N,Y,29.1826346,-80.988772
MLS Listing,,Single Family Residential,668 Carya Ct,Deland,FL,32724,375000,3,2.0,ALEXANDRIA POINTE,1982,9660,2016,33,189,54,Active,,,https://www.redfin.com/FL/Deland/668-Carya-Ct-32724/home/64478159,Stellar MLS as Distributed by MLS Grid,O6150618,N,Y,29.0176249,-81.2932806
MLS Listing,,Condo/Co-op,915 Ocean Shore Blvd #408,Ormond Beach,FL,32176,497500,2,2.0,SHOREHAM BEACH,1175,67381,1972,41,423,675,Active,,,https://www.redfin.com/FL/Ormond-Beach/915-Ocean-Shore-Blvd-32176/unit-408/home/148230778,Stellar MLS as Distributed by MLS Grid,O6151681,N,Y,29.3138904,-81.0502367
MLS Listing,,Single Family Residential,934 Big Bend Ave,Orange City,FL,32763,379000,4,2.0,CADENCE AT PARC HILL,1828,7140,2020,45,207,99,Active,,,https://www.redfin.com/FL/Orange-City/934-Big-Bend-Ave-32763/home/170212517,Stellar MLS as Distributed by MLS Grid,O6149625,N,Y,28.922501,-81.2875616
MLS Listing,,Condo/Co-op,4 Oceans West Blvd Unit 604A,Daytona Beach Shores,FL,32118,510000,3,3.0,OCEANS CLOVERLEAF NORTH,1932,,1994,56,264,570,Active,,,https://www.redfin.com/FL/Daytona-Beach/4-Oceans-West-Blvd-32118/unit-604A/home/64618576,Stellar MLS as Distributed by MLS Grid,O6146289,N,Y,29.1719123,-80.9832271
MLS Listing,,Single Family Residential,2683 Gingerwood Dr,New Smyrna Beach,FL,32168,550000,4,2.0,SUGAR MILL TRAILS EAST,2100,10200,2001,57,262,70,Active,,,https://www.redfin.com/FL/New-Smyrna-Beach/2683-Gingerwood-Dr-32168/home/63121845,Stellar MLS as Distributed by MLS Grid,O6142918,N,Y,29.0345178,-80.9808756
MLS Listing,,Condo/Co-op,2800 N Atlantic Ave #1216,Daytona Beach,FL,32118,399000,2,2.0,TOWERS,1058,,1964,60,377,690,Active,,,https://www.redfin.com/FL/Daytona-Beach/2800-N-Atlantic-Ave-32118/unit-1216/home/64594972,Stellar MLS as Distributed by MLS Grid,O6147120,N,Y,29.2661252,-81.0270497
MLS Listing,,Condo/Co-op,3245 S Atlantic Ave #601,Daytona Beach Shores,FL,32118,675000,3,2.0,PALMA BELLA CONDO,2226,,2007,67,303,1050,Active,,,https://www.redfin.com/FL/Daytona-Beach/3245-S-Atlantic-Ave-32118/unit-601/home/64483347,Stellar MLS as Distributed by MLS Grid,O6144460,N,Y,29.1577194,-80.9722707
MLS Listing,,Single Family Residential,357 N Ridgewood Ave,Ormond Beach,FL,32174,625000,4,3.0,ORMOND TERRACE,1926,21980,1959,74,325,,Active,,,https://www.redfin.com/FL/Ormond-Beach/357-N-Ridgewood-Ave-32174/home/63543102,Stellar MLS as Distributed by MLS Grid,O6142858,N,Y,29.2938735,-81.0627659
