SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,00 Elizabeth Street St,Crawfordville,FL,32326,99900,,,,,80586,,155,,,Active,,,https://www.redfin.com/FL/Crawfordville/0-Elizabeth-St-32327/home/185991512,CPARMLS,743491,N,Y,30.2153122,-84.362943
MLS Listing,,Vacant Land,xxx Crawfordville Hwy,Crawfordville,FL,32326,2750000,,,,,558004,,236,,,Active,,,https://www.redfin.com/FL/Crawfordville/xxx-Crawfordville-HWY-32326/home/178376920,CPARMLS,740064,N,Y,30.232006,-84.363632
MLS Listing,,Single Family Residential,59 Andrew Ln,Crawfordville,FL,32327,85000,4,2.0,,3120,64904,1950,2,27,,Active,,,https://www.redfin.com/FL/Crawfordville/59-Andrew-Ln-32327/home/142716595,CATRS,366183,N,Y,30.2770223,-84.2602884
MLS Listing,,Mobile/Manufactured Home,2746 Sopchoppy Hwy,Sopchoppy,FL,32358,189000,3,2.0,UNRECORDED PLAT OF N T SMITH,1568,23958,1999,2,121,,Active,,,https://www.redfin.com/FL/Sopchoppy/2746-Sopchoppy-Hwy-32358/home/188808113,CATRS,366179,N,Y,30.0372255,-84.4967323
MLS Listing,,Vacant Land,0 Donaldson Williams Rd,Crawfordville,FL,32327,24950,,,,,28749,,2,,,Active,,,https://www.redfin.com/FL/Crawfordville/0-Donaldson-Williams-Rd-32327/home/188806726,CATRS,366177,N,Y,30.1466149,-84.3885172
MLS Listing,,Single Family Residential,Lot 54 Stanley Dr,Crawfordville,FL,32327,225900,3,2.0,Lake Ellen,1225,4791,2023,3,184,,Active,,,https://www.redfin.com/FL/Crawfordville/54-Stanley-Dr-32327/home/187802033,CATRS,366150,N,Y,30.1060347,-84.3979532
MLS Listing,,Single Family Residential,417 Tillis Ln,Crawfordville,FL,,445000,4,3.0,Hidden Meadows,1817,21780,2021,3,245,,Active,,,https://www.redfin.com/FL/Crawfordville/417-Tillis-Ln-32327/home/142717741,CATRS,366149,N,Y,30.181396,-84.325407
MLS Listing,,Mobile/Manufactured Home,43 Janet Drive Dr,Crawfordville,FL,,199000,2,2.0,Paradise Village,960,4791,1973,4,207,120,Active,,,https://www.redfin.com/FL/Crawfordville/43-Janet-Dr-32327/home/142721040,CATRS,366139,N,Y,30.06168,-84.291302
MLS Listing,,Single Family Residential,Lot 13 Ted Lott Ln,Crawfordville,FL,32327,225900,3,2.0,Magnolia Gardens,1225,4791,2023,4,184,,Active,,,https://www.redfin.com/FL/Crawfordville/13-Ted-Lott-Ln-32327/home/187794256,CATRS,366127,N,Y,30.1723608,-84.3643188
MLS Listing,,Single Family Residential,Lot 53 Tranquil Ln,Crawfordville,FL,32327,225900,3,2.0,Magnolia Gardens,1225,4791,2023,4,184,,Active,,,https://www.redfin.com/FL/Crawfordville/53-Tranquil-Ln-32327/home/187802189,CATRS,366126,N,Y,30.1681447,-84.3597198
MLS Listing,,Single Family Residential,9 Sudai St,Crawfordville,FL,32327,225900,3,2.0,Wakulla Gardens,1225,4791,2023,4,184,,Active,,,https://www.redfin.com/FL/Crawfordville/9-Sudai-St-32327/home/142720430,CATRS,366124,N,Y,30.172333,-84.308497
MLS Listing,,Single Family Residential,12 Dustin Lane Ln,Crawfordville,FL,32327,225900,3,2.0,Magnolia Gardens,1225,4791,2023,4,184,,Active,,,https://www.redfin.com/FL/Crawfordville/12-Dustin-St-32327/home/187220011,CATRS,366123,N,Y,30.1729424,-84.3615157
MLS Listing,,Single Family Residential,10 Dustin Lane Ln,Crawfordville,FL,32327,225900,3,2.0,Magnolia Gardens,1225,4791,2023,4,184,,Active,,,https://www.redfin.com/FL/Crawfordville/10-Dustin-St-32327/home/179250037,CATRS,366122,N,Y,30.1729424,-84.3615157
MLS Listing,,Single Family Residential,22 S Easy St,Smith Creek,FL,32358,219900,2,1.0,-,600,14374,1960,4,367,,Active,,,https://www.redfin.com/FL/Sopchoppy/22-Easy-St-S-32358/home/142708505,CATRS,366120,N,Y,30.213483,-84.681623
MLS Listing,,Single Family Residential,48 Renegade Rd,Crawfordville,FL,32327,240000,3,2.0,WAKULLA GARDENS,1200,4791,2023,4,200,,Active,,,https://www.redfin.com/FL/Crawfordville/48-Renegade-Rd-32327/home/188775036,CATRS,366117,N,Y,30.1817553,-84.3009343
MLS Listing,,Single Family Residential,47 Gibson Rd,Sopchoppy,FL,32358,290000,1,2.0,Ochlocknee River Estates,990,27007,1984,4,293,,Active,,,https://www.redfin.com/FL/Sopchoppy/47-Gibson-Rd-32358/home/142733129,CATRS,366110,N,Y,29.9915234,-84.5063447
MLS Listing,,Single Family Residential,33 Graham Trl,Crawfordville,FL,32327,219900,3,2.0,WAKULLA GARDENS,1175,4791,2004,4,187,,Active,,,https://www.redfin.com/FL/Crawfordville/33-Graham-Trl-32327/home/142735705,CATRS,366101,N,Y,30.1721613,-84.2995669
MLS Listing,,Single Family Residential,Lot 78 Dustin Ln,Crawfordville,FL,32327,249900,3,2.0,Magnolia Gardens,1225,4791,2023,4,204,,Active,,,https://www.redfin.com/FL/Crawfordville/78-Dustin-St-32327/home/187812464,CATRS,366092,N,Y,30.1718692,-84.3613425
MLS Listing,,Single Family Residential,105 Mt Pleasant Ln,Crawfordville,FL,32327,69000,2,1.0,-,1118,34412,1970,5,62,,Active,,,https://www.redfin.com/FL/Crawfordville/105-Mount-Pleasant-Ln-32327/home/142734910,CATRS,366081,N,Y,30.2158201,-84.2413597
MLS Listing,,Single Family Residential,370 Tillis Ln,Crawfordville,FL,32327,569900,5,4.0,Hidden Meadows,2945,30927,2008,5,194,,Active,,,https://www.redfin.com/FL/Crawfordville/370-Tillis-Ln-32327/home/142734524,CATRS,366060,N,Y,30.1833049,-84.3259778
MLS Listing,,Single Family Residential,25 Apalachee Way,Crawfordville,FL,32327,499000,4,2.5,Hidden Forest,2067,87120,2021,5,241,8,Active,,,https://www.redfin.com/FL/Crawfordville/25-Apalachee-Way-32327/home/177421787,CATRS,366051,N,Y,30.1350014,-84.3724449
MLS Listing,,Single Family Residential,12 Violet Ln,Crawfordville,FL,32327,389000,4,3.0,THE FLOWERS,1878,18295,2020,5,207,15,Active,,,https://www.redfin.com/FL/Crawfordville/12-Violet-Ln-32327/home/142739582,CATRS,366038,N,Y,30.2656981,-84.366876
MLS Listing,,Vacant Land,xx Floyd Gray Rd Unit -,Medart,FL,32327,69000,,,-,,104108,,6,,,Active,,,https://www.redfin.com/FL/Crawfordville/Floyd-Gray-Rd-32327/home/142736638,CATRS,366034,N,Y,30.102213,-84.393723
MLS Listing,,Single Family Residential,330 Mashes Sands Rd,Ochlockonee Bay,FL,32346,299900,3,2.0,OCHLOCKNEE SHORES,1560,15681,1971,6,192,,Active,,,https://www.redfin.com/FL/Panacea/330-Mashes-Sands-Rd-32346/home/142717769,CATRS,366021,N,Y,29.9753757,-84.3678617
MLS Listing,,Single Family Residential,129 Levy Bay Rd,Panacea,FL,32346,259000,2,2.0,Aqua De Vida,1502,26136,1960,6,172,,Active,,,https://www.redfin.com/FL/Panacea/129-Levy-Bay-Rd-32346/home/142746270,CATRS,366013,N,Y,30.0171024,-84.3858468
MLS Listing,,Vacant Land,Lot 15 Tower Rd,Panacea,FL,32346,9800,,,Magnolia Ridge,,20037,,6,,,Active,,,https://www.redfin.com/FL/Panacea/15-Tower-Rd-32346/home/188726657,CATRS,366001,N,Y,30.0256242,-84.3991396
MLS Listing,,Vacant Land,Lot 16 Tower Rd,Panacea,FL,32346,9800,,,Magnolia Ridge,,20037,,6,,,Active,,,https://www.redfin.com/FL/Panacea/16-Tower-Rd-32346/home/188726656,CATRS,366002,N,Y,30.0256241,-84.3991383
MLS Listing,,Vacant Land,Lot 14 Tower Rd,Panacea,FL,32346,9800,,,Magnolia Ridge,,20037,,6,,,Active,,,https://www.redfin.com/FL/Panacea/14-Tower-Rd-32346/home/188726634,CATRS,366000,N,Y,30.0256242,-84.399141
MLS Listing,,Vacant Land,Lot 13 Tower Rd,Panacea,FL,32346,9800,,,Magnolia Ridge,,20037,,6,,,Active,,,https://www.redfin.com/FL/Panacea/13-Tower-Rd-32346/home/188726633,CATRS,365999,N,Y,30.0256243,-84.3991423
MLS Listing,,Vacant Land,Lot 12 Tower Rd,Panacea,FL,32346,9800,,,Magnolia Ridge,,20037,,6,,,Active,,,https://www.redfin.com/FL/Panacea/12-Tower-Rd-32346/home/188726611,CATRS,365998,N,Y,30.0256243,-84.3991437
MLS Listing,,Vacant Land,Lot 12-16 Tower Rd,Panacea,FL,32346,49000,,,Magnolia Ridge,,99752,,6,,,Active,,,https://www.redfin.com/FL/Panacea/1216-Tower-Rd-32346/home/188726561,CATRS,365997,N,Y,30.0247021,-84.3984704
MLS Listing,,Vacant Land,xxx Franklin Dr #1,Crawfordville,FL,32327,9000,,,Lake Ellen Estates,,4791,,6,,,Active,,,https://www.redfin.com/FL/Crawfordville/1-Franklin-Dr-32327/unit-1/home/174809417,CATRS,365988,N,Y,30.111062,-84.397656
MLS Listing,,Vacant Land,00 Palomino Rd,Crawfordville,FL,32327,119450,,,N/A,,247420,,7,,,Active,,,https://www.redfin.com/FL/Crawfordville/0-Appaloosa-Rd-32327/home/187739896,CATRS,365982,N,Y,30.1718169,-84.3160676
MLS Listing,,Single Family Residential,103 Sam Smith Cir,Crawfordville,FL,32327,325000,3,2.0,,1837,43124,1976,7,177,,Active,,,https://www.redfin.com/FL/Crawfordville/103-Sam-Smith-Cir-32327/home/142719843,CATRS,365949,N,Y,30.2419082,-84.2574495
MLS Listing,,Single Family Residential,64 Bunting Dr,Crawfordville,FL,32327,429000,4,3.0,Songbird,2274,20908,2004,7,189,23,Active,,,https://www.redfin.com/FL/Crawfordville/64-Bunting-Dr-32327/home/142729678,CATRS,365948,N,Y,30.2011186,-84.3597502
MLS Listing,,Single Family Residential,27 John Mills Cir,Sopchoppy,FL,,249000,3,2.0,Buckhorn Village,1271,13939,2020,10,196,,Active,,,https://www.redfin.com/FL/Sopchoppy/27-John-Mills-Cir-32358/home/142720793,CATRS,365924,N,Y,30.071277,-84.4378004
MLS Listing,,Vacant Land,Dana Dr,Crawfordville,FL,32327,27500,,,CRAWFORDVILLE,,87120,,10,,,Active,,,https://www.redfin.com/FL/Crawfordville/Dana-Dr-32327/home/142708022,Stellar MLS as Distributed by MLS Grid,O6159667,N,Y,30.293131,-84.280919
