SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1868 N County Highway 393,Santa Rosa Beach,FL,32459,524000,3,3.0,Live Oak Pt and Old Town of  Santa Rosa,1696,,2005,17,309,,Active,,,https://www.redfin.com/FL/Santa-Rosa-Beach/1868-N-County-Highway-393-32459/home/139430882,ECAR,936832,N,Y,30.4007464,-86.2281368
MLS Listing,,Condo/Co-op,732 Scenic Gulf Dr Unit B304,Miramar Beach,FL,32550,599500,3,2.0,Southwest Walton South,1324,,2015,101,453,1146,Active,,,https://www.redfin.com/FL/Miramar-Beach/732-Scenic-Gulf-Dr-32550/unit-B304/home/139808186,ECAR,930827,N,Y,30.3753498,-86.3612381
MLS Listing,,Single Family Residential,781 Oakwood Lakes Blvd,Defuniak Springs,FL,32433,248235,3,2.0,23 - North Walton County,1200,15681,2023,202,207,,Active,,,https://www.redfin.com/FL/Defuniak-Springs/781-Oakwood-Lakes-Blvd-32433/home/162497916,NAMLS,923376,N,Y,30.742495,-86.161125
MLS Listing,,Single Family Residential,158 Pfitzer Ct,Defuniak Springs,FL,32433,252255,3,2.0,23 - North Walton County,1240,13068,2023,203,203,50,Active,,,https://www.redfin.com/FL/Defuniak-Springs/158-Pfitzer-Ct-32433/home/185429044,NAMLS,923338,N,Y,30.764058,-86.144076
MLS Listing,,Vacant Land,10 Sugar Sand Ln,Santa Rosa Beach,FL,32459,3650000,,,[No Recorded Subdiv],,29185,,73,,,Active,,,https://www.redfin.com/FL/Santa-Rosa-Beach/10-Sugar-Sand-Ln-32459/home/178872200,CPARMLS,746938,N,Y,30.3139347,-86.1101451
MLS Listing,,Vacant Land,0000 E Box Elder Dr,Defuniak Springs,FL,32433,25000,,,,,31875,,591,,,Active,,,https://www.redfin.com/FL/Defuniak-Springs/E-Box-Elder-Dr-32433/home/162539908,CPARMLS,725501,N,Y,30.752445,-86.227512
MLS Listing,,Vacant Land,244 Walton St Unit A B C,Vernon,FL,32462,199700,,,,,57717,,71,,,Active,,,https://www.redfin.com/FL/Vernon/244-Walton-St-32462/unit-A-B-C/home/187653771,CPARMLS,747050,N,Y,30.371882,-86.025328
MLS Listing,,Single Family Residential,1105 Don Bishop Rd,Santa Rosa Beach,FL,32459,699000,3,3.0,Churchill Bayou Estates,1596,10890,1996,119,438,,Active,,,https://www.redfin.com/FL/Santa-Rosa-Beach/1105-Don-Bishop-Rd-32459/home/139727689,CPARMLS,744838,N,Y,30.390624,-86.262694
MLS Listing,,Mobile/Manufactured Home,562 Caswell Rd,Defuniak Springs,FL,32433,129900,3,2.0,[No Recorded Subdiv],1056,21780,2006,25,123,,Active,,,https://www.redfin.com/FL/Defuniak-Springs/562-Caswell-Rd-32433/home/139268038,CPARMLS,749091,N,Y,30.7641983,-86.1610477
MLS Listing,,Vacant Land,192 Moss Ave,Vernon,FL,32462,65000,,,,,4792,,187,,,Active,,,https://www.redfin.com/FL/Vernon/192-Moss-Ave-32462/home/139645591,CPARMLS,742174,N,Y,30.3736522,-86.0247324
