SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,Lot 14 Madison Ln,Chipley,FL,32428,35000,,,Kiersten Heights,,43560,,35,,,Active,,,https://www.redfin.com/FL/Chipley/lot-14-Madison-LN-32428/home/179536777,CPARMLS,748575,N,Y,30.669112,-85.577543
MLS Listing,,Single Family Residential,536 Carr Rd,Chipley,FL,32428,329999,3,2.0,No Named Subdivision,1919,45302,1988,62,172,,Active,,,https://www.redfin.com/FL/Chipley/536-Carr-Rd-32428/home/139305203,CPARMLS,747400,N,Y,30.7942313,-85.587759
MLS Listing,,Vacant Land,27 & 28 Pine Bluff Dr,Chipley,FL,32428,57000,,,Pine Bluff,,130680,,359,,13,Active,,,https://www.redfin.com/FL/Unknown/27-28-Pine-Bluff-Dr-32428/home/183303635,CPARMLS,735336,N,Y,30.731902,-85.526483
MLS Listing,,Vacant Land,974 Brickyard Rd,Chipley,FL,32428,139900,,,[No Recorded Subdiv],,641203,,80,,,Active,,,https://www.redfin.com/FL/Chipley/974-Brickyard-Rd-32428/home/139348624,CPARMLS,746636,N,Y,30.7660524,-85.5123123
MLS Listing,,Vacant Land,00 Pate Pond Rd,Caryville,FL,32427,179000,,,No Named Subdivision,,1996790,,143,,,Active,,,https://www.redfin.com/FL/Caryville/Pate-Pond-Rd-32427/home/139143938,CPARMLS,743954,N,Y,30.747601,-85.804129
MLS Listing,,Single Family Residential,781 Main St St,Chipley,FL,32428,210000,3,2.0,Chipley,1938,24306,1896,496,108,,Active,,,https://www.redfin.com/FL/Chipley/781-Main-St-32428/home/180674204,CPARMLS,729941,N,Y,30.7825174,-85.5385093
MLS Listing,,Vacant Land,XXX Pine Bluff Ct Lot 32,Chipley,FL,32428,34999,,,Pine Bluff,,64904,,246,,13,Active,,,https://www.redfin.com/FL/Unknown/Pine-Bluff-Ct-32428/unit-32/home/184920761,CPARMLS,739597,N,Y,30.732134,-85.52873
MLS Listing,,Ranch,,Chipley,FL,32428,749000,3,2.0,,2200,1960200,1998,25,340,,Active,,,https://www.redfin.com/FL/Chipley/Undisclosed-address-32428/home/188527846,CPARMLS,749094,N,Y,30.667811,-85.545176
MLS Listing,,Vacant Land,Lot 13 Madison Ln,Chipley,FL,32428,35000,,,Kiersten Heights,,43124,,35,,,Active,,,https://www.redfin.com/FL/Chipley/lot-13-Madison-LN-32428/home/179536784,CPARMLS,748574,N,Y,30.669103,-85.57809
MLS Listing,,Vacant Land,00 Wells Rd,Bonifay,FL,32425,199000,,,No Named Subdivision,,2090880,,390,,,Active,,,https://www.redfin.com/FL/Bonifay/Wells-Rd-32425/home/170459379,CPARMLS,734420,N,Y,30.730898,-85.689094
